umsatz_im_gastgewerbe_nach_ausgewhlten_wirtschaftszweigen,preisbereinigt_real,col_3,col_4,col_5,col_6
Datum;Hotels,Gasth�feundPensionen,Messzahlen2015=100;Ferienunterk�nfteund�hnlicheBeherbergungsst�tten,Messzahlen2015=100;Restaurants,Gastst�tten,Imbissstuben
01/03/2000;110,0;94,2;147,0;104,9;181,9
01/04/2000;111,0;118,8;157,5;93,6;182,8
01/05/2000;140,4;146,4;166,0;107,8;185,8
01/06/2000;134,3;164,7;165,0;100,5;197,5
01/07/2000;127,6;171,6;165,5;100,6;187,2
01/08/2000;131,9;177,3;165,3;97,1;180,6
01/09/2000;153,7;176,0;162,4;109,0;178,1
01/10/2000;141,1;141,3;158,3;103,7;180,6
01/11/2000;112,7;81,5;141,7;104,1;167,0
01/12/2000;112,7;76,3;162,0;102,6;194,2
01/01/2001;97,5;82,4;132,2;94,5;164,8
01/02/2001;96,2;84,4;130,1;92,7;166,6
01/03/2001;113,6;89,4;145,1;103,2;180,7
01/04/2001;112,1;120,8;151,7;94,8;176,3
01/05/2001;137,2;138,5;165,9;103,8;186,7
01/06/2001;130,7;156,0;162,8;101,2;182,6
01/07/2001;126,7;173,6;166,3;101,4;190,1
01/08/2001;129,3;174,7;167,4;99,1;177,9
01/09/2001;142,9;161,6;155,7;103,7;175,8
01/10/2001;135,8;140,2;159,1;100,7;184,3
01/11/2001;110,9;74,8;143,7;99,6;176,8
01/12/2001;108,0;70,1;162,9;93,5;199,3
01/01/2002;92,6;76,5;125,3;88,1;159,1
01/02/2002;93,7;77,2;120,8;88,4;155,4
01/03/2002;105,1;98,9;140,2;93,3;172,7
01/04/2002;111,1;108,3;139,1;96,8;166,3
01/05/2002;122,6;140,6;152,8;91,4;175,6
01/06/2002;123,1;146,6;144,5;95,2;169,1
01/07/2002;117,5;168,5;148,2;94,8;160,8
01/08/2002;120,7;168,0;149,5;89,5;168,7
01/09/2002;135,4;158,6;142,4;96,7;162,1
01/10/2002;123,9;134,4;135,8;94,9;169,1
01/11/2002;100,7;72,0;123,4;94,0;159,6
01/12/2002;96,8;67,2;138,4;89,6;176,4
01/01/2003;82,7;75,3;112,6;85,7;157,3
01/02/2003;84,9;80,9;110,3;85,6;152,6
01/03/2003;96,7;96,0;125,5;90,1;166,7
01/04/2003;96,5;100,7;126,1;88,2;165,4
01/05/2003;117,7;127,3;139,1;89,8;176,8
01/06/2003;113,0;140,1;135,2;91,0;171,6
01/07/2003;106,3;143,9;138,0;94,5;166,1
01/08/2003;109,2;144,7;140,4;86,3;172,6
01/09/2003;124,0;139,4;132,2;97,4;168,5
01/10/2003;118,5;129,8;128,6;95,3;173,1
01/11/2003;96,0;80,8;118,5;91,1;161,4
01/12/2003;95,0;89,3;132,4;90,5;179,5
01/01/2004;78,7;76,7;108,2;82,4;151,1
01/02/2004;85,4;84,5;108,8;84,1;147,7
01/03/2004;97,4;105,9;115,3;93,6;150,2
01/04/2004;99,4;113,7;123,3;88,7;156,3
01/05/2004;121,0;126,8;132,5;92,0;166,1
01/06/2004;111,5;139,2;123,9;91,6;155,1
01/07/2004;108,3;143,1;131,7;93,0;160,9
01/08/2004;109,4;143,6;131,9;84,5;156,9
01/09/2004;126,6;144,1;126,8;95,9;154,4
01/10/2004;119,1;123,4;125,4;94,0;161,0
01/11/2004;95,4;86,6;112,9;92,0;148,0
01/12/2004;93,3;76,9;127,7;92,2;169,8
