datum,originalwert_messzahlen_2015100,originalwert_vernderung_gegenber_vorjahresmonat_in_,trendkonjunkturkomponente_bv_41_messzahlen_2015100,trendkonjunkturkomponente_bv_41_vernderung_gegenber_vormonat_in_,kalender_und_saisonbereinigte_werte_bv_41_messzahlen_2015100,kalender_und_saisonbereinigte_werte_bv_41_vernderung_gegenber_vormonat_in_,restkomponente_bv_41
01/03/1997,98.0,,102.6,0.2,102.7,1.1,0.1
01/04/1997,99.0,,102.8,0.2,102.9,0.2,0.1
01/05/1997,112.2,,103.0,0.2,102.4,-0.5,-0.6
01/06/1997,108.8,,103.2,0.2,103.3,0.9,0.1
01/07/1997,108.9,,103.3,0.1,103.8,0.4,0.5
01/08/1997,112.0,,103.2,-0.1,103.1,-0.7,-0.1
01/09/1997,114.1,,103.1,-0.1,103.9,0.8,0.8
01/10/1997,110.1,,102.9,-0.2,103.6,-0.3,0.7
01/11/1997,94.9,,102.7,-0.2,102.3,-1.2,-0.4
01/12/1997,102.5,,102.5,-0.2,101.5,-0.8,-1.1
01/01/1998,86.5,1.6,102.3,-0.2,101.7,0.2,-0.6
01/02/1998,87.0,1.3,102.0,-0.3,102.5,0.8,0.5
01/03/1998,95.8,-2.2,101.8,-0.2,101.7,-0.8,-0.1
01/04/1998,97.7,-1.3,101.6,-0.2,101.7,0.0,0.1
01/05/1998,111.8,-0.4,101.4,-0.2,101.6,-0.1,0.2
01/06/1998,105.3,-3.2,101.3,-0.1,101.2,-0.4,-0.1
01/07/1998,107.0,-1.7,101.2,-0.1,100.9,-0.3,-0.3
01/08/1998,109.8,-2.0,101.1,-0.1,100.9,-0.0,-0.2
01/09/1998,110.0,-3.6,101.1,-0.0,100.5,-0.4,-0.6
01/10/1998,107.7,-2.2,101.1,0.0,101.0,0.5,-0.1
01/11/1998,93.0,-2.0,101.2,0.1,100.8,-0.2,-0.4
01/12/1998,101.9,-0.6,101.3,0.1,102.1,1.3,0.9
01/01/1999,86.7,0.2,101.3,0.1,101.9,-0.2,0.6
01/02/1999,85.4,-1.8,101.4,0.1,101.2,-0.8,-0.2
01/03/1999,95.2,-0.6,101.5,0.1,101.9,0.7,0.3
01/04/1999,97.7,0.0,101.6,0.1,101.5,-0.3,-0.1
01/05/1999,110.8,-0.9,101.7,0.1,101.5,0.0,-0.2
01/06/1999,105.6,0.3,101.8,0.1,101.0,-0.5,-0.8
01/07/1999,109.3,2.1,102.0,0.1,102.1,1.1,0.2
01/08/1999,109.6,-0.2,102.1,0.1,102.2,0.1,0.2
01/09/1999,112.7,2.5,102.2,0.1,102.2,0.0,0.1
01/10/1999,109.3,1.5,102.3,0.1,101.8,-0.4,-0.5
01/11/1999,95.5,2.7,102.5,0.2,103.4,1.6,1.0
01/12/1999,103.2,1.3,102.6,0.1,103.1,-0.3,0.5
01/01/2000,86.1,-0.7,102.7,0.1,102.0,-1.1,-0.7
01/02/2000,88.5,3.6,102.9,0.1,103.0,1.0,0.1
01/03/2000,96.3,1.2,102.9,0.1,102.7,-0.3,-0.3
01/04/2000,99.6,1.9,103.0,0.1,102.8,0.1,-0.2
01/05/2000,112.1,1.2,103.0,0.0,103.3,0.5,0.3
01/06/2000,110.8,4.9,103.0,-0.0,104.3,1.0,1.3
01/07/2000,109.4,0.1,102.9,-0.1,101.8,-2.5,-1.1
01/08/2000,110.2,0.5,102.9,-0.0,102.8,1.0,-0.1
01/09/2000,115.6,2.6,102.9,-0.0,104.0,1.1,1.1
01/10/2000,109.6,0.3,102.9,-0.0,102.8,-1.2,-0.1
01/11/2000,94.5,-1.0,102.9,0.0,102.0,-0.8,-0.9
01/12/2000,103.6,0.4,102.9,0.1,101.8,-0.2,-1.1
01/01/2001,87.0,1.0,103.0,0.1,103.8,1.9,0.7
01/02/2001,86.5,-2.3,103.1,0.1,103.0,-0.8,-0.2
01/03/2001,97.7,1.5,103.2,0.1,102.7,-0.3,-0.5
01/04/2001,99.5,-0.1,103.3,0.1,102.9,0.3,-0.4
01/05/2001,112.8,0.6,103.4,0.1,103.9,0.9,0.4
01/06/2001,110.3,-0.5,103.5,0.1,103.2,-0.6,-0.3
01/07/2001,112.1,2.5,103.6,0.1,104.9,1.6,1.3
01/08/2001,112.4,2.0,103.5,-0.1,104.0,-0.9,0.5
01/09/2001,111.9,-3.2,103.4,-0.2,101.6,-2.3,-1.7
01/10/2001,110.7,1.0,103.2,-0.2,104.0,2.4,0.8
