date,indicator,value
01/03/1997,originalwert_messzahlen_2015100,98.0
01/03/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,103.0
01/03/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,0.9
01/04/1997,originalwert_messzahlen_2015100,99.0
01/04/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,102.6
01/04/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-0.4
01/05/1997,originalwert_messzahlen_2015100,112.2
01/05/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,102.1
01/05/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-0.5
01/06/1997,originalwert_messzahlen_2015100,108.8
01/06/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,103.2
01/06/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,1.1
01/07/1997,originalwert_messzahlen_2015100,108.9
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,103.1
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-0.1
01/08/1997,originalwert_messzahlen_2015100,112.0
01/08/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,103.0
01/08/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-0.1
01/09/1997,originalwert_messzahlen_2015100,114.1
01/09/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,103.3
01/09/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,0.3
01/10/1997,originalwert_messzahlen_2015100,110.1
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,102.9
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-0.4
01/11/1997,originalwert_messzahlen_2015100,94.9
01/11/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,102.0
01/11/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-0.9
01/12/1997,originalwert_messzahlen_2015100,102.5
01/12/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,102.7
01/12/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,0.7
01/01/1998,originalwert_messzahlen_2015100,86.5
01/01/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.6
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,102.7
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,0.0
01/02/1998,originalwert_messzahlen_2015100,87.0
01/02/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.3
01/02/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,103.4
01/02/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,0.7
01/03/1998,originalwert_messzahlen_2015100,95.8
01/03/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-2.2
01/03/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,101.5
01/03/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-1.8
01/04/1998,originalwert_messzahlen_2015100,97.7
01/04/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-1.3
01/04/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,101.4
01/04/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-0.1
01/05/1998,originalwert_messzahlen_2015100,111.8
01/05/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-0.4
01/05/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,101.7
01/05/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,0.3
01/06/1998,originalwert_messzahlen_2015100,105.3
01/06/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-3.2
01/06/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,100.0
01/06/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-1.7
01/07/1998,originalwert_messzahlen_2015100,107.0
01/07/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-1.7
01/07/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,100.6
01/07/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,0.6
01/08/1998,originalwert_messzahlen_2015100,109.8
01/08/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-2.0
01/08/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,101.2
01/08/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,0.6
01/09/1998,originalwert_messzahlen_2015100,110.0
01/09/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-3.6
01/09/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,99.9
01/09/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-1.3
01/10/1998,originalwert_messzahlen_2015100,107.7
