date,indicator,value
01/03/1997,originalwert_messzahlen_2015100,135.6
01/03/1997,trendkonjunkturkomponente_bv_41_messzahlen_2015100,141.0
01/03/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.2
01/03/1997,kalender_und_saisonbereinigte_werte_bv_41_messzahlen_2015100,141.2
01/03/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,1.4
01/03/1997,restkomponente_bv_41,0.2
01/04/1997,originalwert_messzahlen_2015100,137.2
01/04/1997,trendkonjunkturkomponente_bv_41_messzahlen_2015100,141.3
01/04/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.2
01/04/1997,kalender_und_saisonbereinigte_werte_bv_41_messzahlen_2015100,141.6
01/04/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,0.3
01/04/1997,restkomponente_bv_41,0.4
01/05/1997,originalwert_messzahlen_2015100,154.1
01/05/1997,trendkonjunkturkomponente_bv_41_messzahlen_2015100,141.5
01/05/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.2
01/05/1997,kalender_und_saisonbereinigte_werte_bv_41_messzahlen_2015100,140.5
01/05/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-0.8
01/05/1997,restkomponente_bv_41,-1.0
01/06/1997,originalwert_messzahlen_2015100,148.8
01/06/1997,trendkonjunkturkomponente_bv_41_messzahlen_2015100,141.7
01/06/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.1
01/06/1997,kalender_und_saisonbereinigte_werte_bv_41_messzahlen_2015100,142.3
01/06/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,1.3
01/06/1997,restkomponente_bv_41,0.6
01/07/1997,originalwert_messzahlen_2015100,146.5
01/07/1997,trendkonjunkturkomponente_bv_41_messzahlen_2015100,141.7
01/07/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.0
01/07/1997,kalender_und_saisonbereinigte_werte_bv_41_messzahlen_2015100,141.9
