datum,originalwert_messzahlen_2015100,originalwert_vernderung_gegenber_vorjahresmonat_in_,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_vernderung_gegenber_vorsmonat_in_
01/03/1997,135.6,,141.9,0.9
01/04/1997,137.2,,142.0,0.1
01/05/1997,154.1,,140.1,-1.3
01/06/1997,148.8,,141.6,1.1
01/07/1997,146.5,,140.9,-0.5
01/08/1997,150.8,,140.5,-0.3
01/09/1997,156.2,,141.4,0.6
01/10/1997,151.1,,141.0,-0.3
01/11/1997,130.8,,139.3,-1.2
01/12/1997,140.6,,140.0,0.5
01/01/1998,118.6,0.3,140.0,0.0
01/02/1998,118.8,0.3,141.0,0.7
01/03/1998,131.4,-3.1,138.7,-1.6
01/04/1998,132.6,-3.4,137.5,-0.9
01/05/1998,151.4,-1.8,137.6,0.1
01/06/1998,141.9,-4.6,135.1,-1.8
01/07/1998,141.8,-3.2,135.2,0.1
01/08/1998,145.3,-3.6,135.5,0.2
01/09/1998,148.4,-5.0,134.7,-0.6
01/10/1998,145.2,-3.9,134.6,-0.1
01/11/1998,126.4,-3.4,135.1,0.4
01/12/1998,138.2,-1.7,138.4,2.4
01/01/1999,117.5,-0.9,138.4,0.0
01/02/1999,115.1,-3.1,136.8,-1.2
01/03/1999,128.6,-2.1,136.0,-0.6
01/04/1999,131.5,-0.8,135.5,-0.4
01/05/1999,148.3,-2.0,135.3,-0.1
01/06/1999,140.6,-0.9,134.4,-0.7
01/07/1999,143.5,1.2,135.4,0.7
01/08/1999,143.2,-1.4,134.3,-0.8
01/09/1999,150.4,1.3,136.6,1.7
01/10/1999,146.0,0.6,135.1,-1.1
01/11/1999,128.6,1.7,137.6,1.9
01/12/1999,138.3,0.1,138.0,0.3
01/01/2000,115.6,-1.6,136.3,-1.2
01/02/2000,118.3,2.8,137.3,0.7
01/03/2000,128.8,0.2,136.2,-0.8
01/04/2000,133.1,1.2,136.7,0.4
01/05/2000,150.0,1.1,138.2,1.1
01/06/2000,147.6,5.0,140.4,1.6
01/07/2000,144.8,0.9,136.4,-2.8
01/08/2000,145.8,1.8,137.4,0.7
01/09/2000,153.9,2.3,137.3,-0.1
01/10/2000,146.0,0.0,136.5,-0.6
01/11/2000,126.0,-2.0,135.7,-0.6
01/12/2000,135.9,-1.7,134.3,-1.0
01/01/2001,115.3,-0.3,136.9,1.9
01/02/2001,114.0,-3.6,135.7,-0.9
01/03/2001,129.0,0.2,135.8,0.1
01/04/2001,130.9,-1.7,135.0,-0.6
01/05/2001,148.3,-1.1,137.3,1.7
01/06/2001,144.4,-2.2,136.2,-0.8
01/07/2001,145.5,0.5,137.7,1.1
01/08/2001,145.8,0.0,136.6,-0.8
01/09/2001,145.9,-5.2,130.6,-4.4
01/10/2001,144.2,-1.2,135.1,3.4
01/11/2001,126.3,0.2,135.1,0.0
01/12/2001,133.5,-1.8,132.4,-2.0
01/01/2002,109.5,-5.0,130.8,-1.2
01/02/2002,107.8,-5.4,128.5,-1.8
01/03/2002,122.4,-5.1,128.9,0.3
01/04/2002,124.7,-4.7,128.5,-0.3
01/05/2002,135.3,-8.8,124.8,-2.9
01/06/2002,132.3,-8.4,125.4,0.5
01/07/2002,131.7,-9.5,124.4,-0.8
01/08/2002,133.3,-8.6,123.9,-0.4
01/09/2002,135.9,-6.9,121.8,-1.7
01/10/2002,128.3,-11.0,120.7,-0.9
01/11/2002,112.2,-11.2,118.9,-1.5
01/12/2002,117.4,-12.1,117.2,-1.4
01/01/2003,100.3,-8.4,119.4,1.9
01/02/2003,99.9,-7.3,119.4,0.0
01/03/2003,112.5,-8.1,118.9,-0.4
01/04/2003,112.9,-9.5,116.6,-1.9
01/05/2003,127.3,-5.9,116.6,0.0
01/06/2003,124.0,-6.3,117.9,1.1
01/07/2003,123.0,-6.6,116.5,-1.2
01/08/2003,124.8,-6.4,115.7,-0.7
01/09/2003,127.4,-6.3,114.2,-1.3
01/10/2003,123.5,-3.7,115.5,1.1
01/11/2003,108.4,-3.4,115.3,-0.2
01/12/2003,115.3,-1.8,115.2,-0.1
01/01/2004,96.2,-4.1,114.0,-1.0
01/02/2004,99.1,-0.8,116.1,1.8
01/03/2004,108.1,-3.9,115.5,-0.5
01/04/2004,112.2,-0.6,115.2,-0.3
01/05/2004,125.5,-1.4,115.1,-0.1
01/06/2004,117.9,-4.9,112.5,-2.3
01/07/2004,120.6,-2.0,112.4,-0.1
01/08/2004,120.0,-3.8,112.3,-0.1
01/09/2004,125.2,-1.7,113.0,0.6
01/10/2004,121.5,-1.6,112.3,-0.6
01/11/2004,105.1,-3.0,112.1,-0.2
01/12/2004,111.6,-3.2,111.1,-0.9
01/01/2005,94.4,-1.9,112.3,1.1
