date,indicator,value
01/03/2005,originalwert_in_1000,226.5
01/03/2005,trendkonjunkturkomponente_bv_41_in_1000,234.7
01/03/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,2.1
01/03/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,236.8
01/03/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,2.3
01/04/2005,originalwert_in_1000,241.4
01/04/2005,trendkonjunkturkomponente_bv_41_in_1000,239.3
01/04/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,2.0
01/04/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,241.1
01/04/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,1.8
01/05/2005,originalwert_in_1000,257.8
01/05/2005,trendkonjunkturkomponente_bv_41_in_1000,244.1
01/05/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,2.0
01/05/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,244.1
01/05/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,1.2
01/06/2005,originalwert_in_1000,266.7
01/06/2005,trendkonjunkturkomponente_bv_41_in_1000,249.0
01/06/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,2.0
01/06/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,248.0
01/06/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,1.6
01/07/2005,originalwert_in_1000,283.3
01/07/2005,trendkonjunkturkomponente_bv_41_in_1000,254.3
01/07/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,2.1
01/07/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,253.5
01/07/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,2.2
01/08/2005,originalwert_in_1000,287.4
01/08/2005,trendkonjunkturkomponente_bv_41_in_1000,260.7
01/08/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,2.5
01/08/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,260.7
01/08/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,2.8
01/09/2005,originalwert_in_1000,292.3
01/09/2005,trendkonjunkturkomponente_bv_41_in_1000,267.4
01/09/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,2.6
01/09/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,270.7
01/09/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,3.8
01/10/2005,originalwert_in_1000,287.2
01/10/2005,trendkonjunkturkomponente_bv_41_in_1000,274.7
01/10/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,2.8
01/10/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,278.8
01/10/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,3.0
01/11/2005,originalwert_in_1000,271.9
01/11/2005,trendkonjunkturkomponente_bv_41_in_1000,282.9
01/11/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,3.0
01/11/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,284.6
