date,indicator,value
01/03/2005,insgesamt_messzahlen_2015100,99.1
01/04/2005,insgesamt_messzahlen_2015100,98.7
01/05/2005,insgesamt_messzahlen_2015100,98.8
01/06/2005,insgesamt_messzahlen_2015100,98.8
01/07/2005,insgesamt_messzahlen_2015100,98.7
01/08/2005,insgesamt_messzahlen_2015100,99.4
01/09/2005,insgesamt_messzahlen_2015100,99.4
01/10/2005,insgesamt_messzahlen_2015100,99.2
01/11/2005,insgesamt_messzahlen_2015100,98.9
01/12/2005,insgesamt_messzahlen_2015100,98.5
01/01/2006,insgesamt_messzahlen_2015100,97.6
01/02/2006,insgesamt_messzahlen_2015100,97.5
01/03/2006,insgesamt_messzahlen_2015100,97.8
01/04/2006,insgesamt_messzahlen_2015100,97.9
01/05/2006,insgesamt_messzahlen_2015100,98.1
01/06/2006,insgesamt_messzahlen_2015100,98.2
01/07/2006,insgesamt_messzahlen_2015100,98.6
01/08/2006,insgesamt_messzahlen_2015100,99.1
01/09/2006,insgesamt_messzahlen_2015100,99.3
01/10/2006,insgesamt_messzahlen_2015100,99.2
01/11/2006,insgesamt_messzahlen_2015100,99.2
01/12/2006,insgesamt_messzahlen_2015100,98.6
01/01/2007,insgesamt_messzahlen_2015100,97.6
01/02/2007,insgesamt_messzahlen_2015100,97.6
01/03/2007,insgesamt_messzahlen_2015100,97.9
01/04/2007,insgesamt_messzahlen_2015100,98.9
01/05/2007,insgesamt_messzahlen_2015100,98.9
01/06/2007,insgesamt_messzahlen_2015100,99.4
01/07/2007,insgesamt_messzahlen_2015100,99.9
01/08/2007,insgesamt_messzahlen_2015100,100.5
01/09/2007,insgesamt_messzahlen_2015100,100.7
01/10/2007,insgesamt_messzahlen_2015100,100.3
01/11/2007,insgesamt_messzahlen_2015100,100.5
01/12/2007,insgesamt_messzahlen_2015100,100.4
01/01/2008,insgesamt_messzahlen_2015100,99.4
01/02/2008,insgesamt_messzahlen_2015100,99.4
01/03/2008,insgesamt_messzahlen_2015100,99.8
01/04/2008,insgesamt_messzahlen_2015100,99.8
01/05/2008,insgesamt_messzahlen_2015100,99.8
01/06/2008,insgesamt_messzahlen_2015100,99.9
01/07/2008,insgesamt_messzahlen_2015100,100.0
01/08/2008,insgesamt_messzahlen_2015100,100.4
01/09/2008,insgesamt_messzahlen_2015100,100.9
01/10/2008,insgesamt_messzahlen_2015100,100.7
01/11/2008,insgesamt_messzahlen_2015100,100.6
01/12/2008,insgesamt_messzahlen_2015100,100.2
01/01/2009,insgesamt_messzahlen_2015100,95.6
01/02/2009,insgesamt_messzahlen_2015100,95.3
01/03/2009,insgesamt_messzahlen_2015100,95.2
01/04/2009,insgesamt_messzahlen_2015100,94.9
01/05/2009,insgesamt_messzahlen_2015100,95.0
01/06/2009,insgesamt_messzahlen_2015100,94.9
01/07/2009,insgesamt_messzahlen_2015100,94.8
01/08/2009,insgesamt_messzahlen_2015100,95.1
01/09/2009,insgesamt_messzahlen_2015100,95.3
01/10/2009,insgesamt_messzahlen_2015100,95.0
01/11/2009,insgesamt_messzahlen_2015100,94.9
01/12/2009,insgesamt_messzahlen_2015100,94.7
01/01/2010,insgesamt_messzahlen_2015100,93.6
01/02/2010,insgesamt_messzahlen_2015100,93.5
01/03/2010,insgesamt_messzahlen_2015100,93.9
01/04/2010,insgesamt_messzahlen_2015100,94.1
01/05/2010,insgesamt_messzahlen_2015100,94.0
01/06/2010,insgesamt_messzahlen_2015100,94.5
01/07/2010,insgesamt_messzahlen_2015100,94.7
01/08/2010,insgesamt_messzahlen_2015100,95.4
01/09/2010,insgesamt_messzahlen_2015100,95.7
01/10/2010,insgesamt_messzahlen_2015100,95.7
01/11/2010,insgesamt_messzahlen_2015100,96.0
01/12/2010,insgesamt_messzahlen_2015100,95.7
01/01/2011,insgesamt_messzahlen_2015100,95.5
01/02/2011,insgesamt_messzahlen_2015100,95.6
01/03/2011,insgesamt_messzahlen_2015100,95.9
01/04/2011,insgesamt_messzahlen_2015100,96.2
01/05/2011,insgesamt_messzahlen_2015100,96.3
01/06/2011,insgesamt_messzahlen_2015100,96.4
01/07/2011,insgesamt_messzahlen_2015100,96.5
01/08/2011,insgesamt_messzahlen_2015100,97.5
01/09/2011,insgesamt_messzahlen_2015100,98.1
01/10/2011,insgesamt_messzahlen_2015100,98.1
01/11/2011,insgesamt_messzahlen_2015100,98.1
01/12/2011,insgesamt_messzahlen_2015100,97.8
01/01/2012,insgesamt_messzahlen_2015100,97.5
01/02/2012,insgesamt_messzahlen_2015100,97.5
01/03/2012,insgesamt_messzahlen_2015100,97.7
01/04/2012,insgesamt_messzahlen_2015100,98.0
01/05/2012,insgesamt_messzahlen_2015100,97.9
01/06/2012,insgesamt_messzahlen_2015100,98.0
01/07/2012,insgesamt_messzahlen_2015100,98.1
01/08/2012,insgesamt_messzahlen_2015100,98.8
01/09/2012,insgesamt_messzahlen_2015100,99.2
01/10/2012,insgesamt_messzahlen_2015100,99.2
01/11/2012,insgesamt_messzahlen_2015100,99.0
01/12/2012,insgesamt_messzahlen_2015100,98.5
01/01/2013,insgesamt_messzahlen_2015100,98.3
01/02/2013,insgesamt_messzahlen_2015100,98.4
01/03/2013,insgesamt_messzahlen_2015100,98.5
01/04/2013,insgesamt_messzahlen_2015100,98.5
01/05/2013,insgesamt_messzahlen_2015100,98.6
01/06/2013,insgesamt_messzahlen_2015100,98.3
01/07/2013,insgesamt_messzahlen_2015100,98.5
01/08/2013,insgesamt_messzahlen_2015100,99.1
01/09/2013,insgesamt_messzahlen_2015100,99.4
01/10/2013,insgesamt_messzahlen_2015100,99.3
01/11/2013,insgesamt_messzahlen_2015100,99.3
01/12/2013,insgesamt_messzahlen_2015100,98.7
01/01/2014,insgesamt_messzahlen_2015100,98.3
01/02/2014,insgesamt_messzahlen_2015100,98.4
01/03/2014,insgesamt_messzahlen_2015100,98.8
01/04/2014,insgesamt_messzahlen_2015100,99.0
01/05/2014,insgesamt_messzahlen_2015100,99.0
01/06/2014,insgesamt_messzahlen_2015100,99.1
01/07/2014,insgesamt_messzahlen_2015100,99.3
01/08/2014,insgesamt_messzahlen_2015100,99.9
01/09/2014,insgesamt_messzahlen_2015100,100.3
01/10/2014,insgesamt_messzahlen_2015100,100.2
01/11/2014,insgesamt_messzahlen_2015100,100.2
01/12/2014,insgesamt_messzahlen_2015100,99.8
01/01/2015,insgesamt_messzahlen_2015100,99.3
01/02/2015,insgesamt_messzahlen_2015100,99.3
01/03/2015,insgesamt_messzahlen_2015100,99.6
01/04/2015,insgesamt_messzahlen_2015100,99.7
01/05/2015,insgesamt_messzahlen_2015100,99.7
01/06/2015,insgesamt_messzahlen_2015100,99.9
01/07/2015,insgesamt_messzahlen_2015100,99.9
01/08/2015,insgesamt_messzahlen_2015100,100.4
01/09/2015,insgesamt_messzahlen_2015100,100.7
01/10/2015,insgesamt_messzahlen_2015100,100.6
01/11/2015,insgesamt_messzahlen_2015100,100.6
01/12/2015,insgesamt_messzahlen_2015100,100.2
01/01/2016,insgesamt_messzahlen_2015100,99.4
01/02/2016,insgesamt_messzahlen_2015100,99.4
01/03/2016,insgesamt_messzahlen_2015100,99.7
01/04/2016,insgesamt_messzahlen_2015100,99.7
01/05/2016,insgesamt_messzahlen_2015100,99.9
01/06/2016,insgesamt_messzahlen_2015100,100.5
01/07/2016,insgesamt_messzahlen_2015100,100.3
01/08/2016,insgesamt_messzahlen_2015100,101.0
01/09/2016,insgesamt_messzahlen_2015100,101.3
01/10/2016,insgesamt_messzahlen_2015100,101.2
01/11/2016,insgesamt_messzahlen_2015100,101.2
01/12/2016,insgesamt_messzahlen_2015100,100.9
01/01/2017,insgesamt_messzahlen_2015100,101.4
01/02/2017,insgesamt_messzahlen_2015100,101.6
01/03/2017,insgesamt_messzahlen_2015100,101.9
01/04/2017,insgesamt_messzahlen_2015100,102.1
01/05/2017,insgesamt_messzahlen_2015100,102.3
01/06/2017,insgesamt_messzahlen_2015100,102.4
01/07/2017,insgesamt_messzahlen_2015100,102.6
01/08/2017,insgesamt_messzahlen_2015100,103.3
01/09/2017,insgesamt_messzahlen_2015100,103.5
01/10/2017,insgesamt_messzahlen_2015100,103.5
01/11/2017,insgesamt_messzahlen_2015100,103.6
01/12/2017,insgesamt_messzahlen_2015100,103.2
01/01/2018,insgesamt_messzahlen_2015100,103.0
01/02/2018,insgesamt_messzahlen_2015100,103.1
01/03/2018,insgesamt_messzahlen_2015100,103.4
01/04/2018,insgesamt_messzahlen_2015100,103.6
01/05/2018,insgesamt_messzahlen_2015100,103.7
01/06/2018,insgesamt_messzahlen_2015100,103.8
01/07/2018,insgesamt_messzahlen_2015100,104.0
01/08/2018,insgesamt_messzahlen_2015100,104.6
01/09/2018,insgesamt_messzahlen_2015100,105.0
01/10/2018,insgesamt_messzahlen_2015100,105.1
01/11/2018,insgesamt_messzahlen_2015100,105.1
01/12/2018,insgesamt_messzahlen_2015100,104.9
01/01/2019,insgesamt_messzahlen_2015100,105.1
01/02/2019,insgesamt_messzahlen_2015100,105.1
01/03/2019,insgesamt_messzahlen_2015100,105.4
01/04/2019,insgesamt_messzahlen_2015100,105.4
01/05/2019,insgesamt_messzahlen_2015100,105.2
01/06/2019,insgesamt_messzahlen_2015100,105.3
01/07/2019,insgesamt_messzahlen_2015100,105.4
01/08/2019,insgesamt_messzahlen_2015100,106.0
01/09/2019,insgesamt_messzahlen_2015100,106.3
01/10/2019,insgesamt_messzahlen_2015100,106.2
01/11/2019,insgesamt_messzahlen_2015100,106.1
01/12/2019,insgesamt_messzahlen_2015100,105.7
01/01/2020,insgesamt_messzahlen_2015100,105.4
01/02/2020,insgesamt_messzahlen_2015100,105.5
01/03/2020,insgesamt_messzahlen_2015100,105.5
01/04/2020,insgesamt_messzahlen_2015100,104.9
01/05/2020,insgesamt_messzahlen_2015100,104.5
01/06/2020,insgesamt_messzahlen_2015100,104.4
01/07/2020,insgesamt_messzahlen_2015100,104.4
01/08/2020,insgesamt_messzahlen_2015100,104.8
01/09/2020,insgesamt_messzahlen_2015100,105.0
01/10/2020,insgesamt_messzahlen_2015100,104.9
01/11/2020,insgesamt_messzahlen_2015100,105.0
01/12/2020,insgesamt_messzahlen_2015100,104.7
01/01/2021,insgesamt_messzahlen_2015100,104.0
01/02/2021,insgesamt_messzahlen_2015100,103.6
01/03/2021,insgesamt_messzahlen_2015100,104.6
01/04/2021,insgesamt_messzahlen_2015100,104.6
01/05/2021,insgesamt_messzahlen_2015100,104.8
01/06/2021,insgesamt_messzahlen_2015100,105.0
01/07/2021,insgesamt_messzahlen_2015100,105.1
01/08/2021,insgesamt_messzahlen_2015100,105.8
01/09/2021,insgesamt_messzahlen_2015100,105.9
01/10/2021,insgesamt_messzahlen_2015100,106.1
01/11/2021,insgesamt_messzahlen_2015100,106.3
01/12/2021,insgesamt_messzahlen_2015100,106.5
01/01/2022,insgesamt_messzahlen_2015100,105.9
01/02/2022,insgesamt_messzahlen_2015100,106.0
01/03/2022,insgesamt_messzahlen_2015100,106.2
01/04/2022,insgesamt_messzahlen_2015100,106.3
01/05/2022,insgesamt_messzahlen_2015100,106.4
01/06/2022,insgesamt_messzahlen_2015100,106.5
01/07/2022,insgesamt_messzahlen_2015100,106.5
01/08/2022,insgesamt_messzahlen_2015100,107.1
01/09/2022,insgesamt_messzahlen_2015100,107.7
01/10/2022,insgesamt_messzahlen_2015100,107.8
01/11/2022,insgesamt_messzahlen_2015100,107.9
01/12/2022,insgesamt_messzahlen_2015100,107.6
01/01/2023,insgesamt_messzahlen_2015100,107.4
01/02/2023,insgesamt_messzahlen_2015100,107.4
01/03/2023,insgesamt_messzahlen_2015100,107.5
01/04/2023,insgesamt_messzahlen_2015100,107.5
01/05/2023,insgesamt_messzahlen_2015100,107.6
01/06/2023,insgesamt_messzahlen_2015100,107.4
01/07/2023,insgesamt_messzahlen_2015100,107.5
01/08/2023,insgesamt_messzahlen_2015100,107.9
01/09/2023,insgesamt_messzahlen_2015100,108.1
01/10/2023,insgesamt_messzahlen_2015100,108.2
01/11/2023,insgesamt_messzahlen_2015100,108.1
01/12/2023,insgesamt_messzahlen_2015100,107.9
01/01/2024,insgesamt_messzahlen_2015100,106.7
01/02/2024,insgesamt_messzahlen_2015100,106.8
01/03/2024,insgesamt_messzahlen_2015100,106.9
01/04/2024,insgesamt_messzahlen_2015100,107.0
01/05/2024,insgesamt_messzahlen_2015100,106.8
01/06/2024,insgesamt_messzahlen_2015100,106.8
01/07/2024,insgesamt_messzahlen_2015100,106.8
01/08/2024,insgesamt_messzahlen_2015100,107.2
01/09/2024,insgesamt_messzahlen_2015100,107.4
01/10/2024,insgesamt_messzahlen_2015100,107.3
01/11/2024,insgesamt_messzahlen_2015100,107.2
01/12/2024,insgesamt_messzahlen_2015100,106.7
01/01/2025,insgesamt_messzahlen_2015100,106.9
01/02/2025,insgesamt_messzahlen_2015100,106.9
01/03/2025,insgesamt_messzahlen_2015100,107.0
01/04/2025,insgesamt_messzahlen_2015100,106.9
01/05/2025,insgesamt_messzahlen_2015100,106.8
01/06/2025,insgesamt_messzahlen_2015100,106.6
01/07/2025,insgesamt_messzahlen_2015100,106.3
01/08/2025,insgesamt_messzahlen_2015100,106.7
01/09/2025,insgesamt_messzahlen_2015100,106.8
01/10/2025,insgesamt_messzahlen_2015100,106.8
01/11/2025,insgesamt_messzahlen_2015100,106.6
01/12/2025,insgesamt_messzahlen_2015100,106.1
01/01/2026,insgesamt_messzahlen_2015100,106.1
01/02/2026,insgesamt_messzahlen_2015100,105.8
01/03/2026,insgesamt_messzahlen_2015100,105.9
01/04/2026,insgesamt_messzahlen_2015100,105.8
