date,indicator,value
01/03/2005;110,ausruestungen_und_zubehoer,4
01/04/2005;110,ausruestungen_und_zubehoer,7
01/05/2005;111,ausruestungen_und_zubehoer,3
01/06/2005;111,ausruestungen_und_zubehoer,7
01/07/2005;111,ausruestungen_und_zubehoer,6
01/08/2005;112,ausruestungen_und_zubehoer,4
01/09/2005;112,ausruestungen_und_zubehoer,1
01/10/2005;111,ausruestungen_und_zubehoer,9
01/11/2005;111,ausruestungen_und_zubehoer,0
01/12/2005;110,ausruestungen_und_zubehoer,9
01/01/2006;109,ausruestungen_und_zubehoer,6
01/02/2006;109,ausruestungen_und_zubehoer,1
01/03/2006;108,ausruestungen_und_zubehoer,6
01/04/2006;109,ausruestungen_und_zubehoer,4
01/05/2006;109,ausruestungen_und_zubehoer,6
01/06/2006;110,ausruestungen_und_zubehoer,4
01/07/2006;110,ausruestungen_und_zubehoer,1
01/08/2006;110,ausruestungen_und_zubehoer,9
01/09/2006;111,ausruestungen_und_zubehoer,4
01/10/2006;110,ausruestungen_und_zubehoer,3
01/11/2006;110,ausruestungen_und_zubehoer,9
01/12/2006;110,ausruestungen_und_zubehoer,9
01/01/2007;105,ausruestungen_und_zubehoer,0
01/02/2007;105,ausruestungen_und_zubehoer,1
01/03/2007;105,ausruestungen_und_zubehoer,2
01/04/2007;105,ausruestungen_und_zubehoer,6
01/05/2007;105,ausruestungen_und_zubehoer,1
01/06/2007;105,ausruestungen_und_zubehoer,1
01/07/2007;106,ausruestungen_und_zubehoer,0
01/08/2007;107,ausruestungen_und_zubehoer,0
01/09/2007;106,ausruestungen_und_zubehoer,4
01/10/2007;105,ausruestungen_und_zubehoer,8
01/11/2007;105,ausruestungen_und_zubehoer,9
01/12/2007;105,ausruestungen_und_zubehoer,8
01/01/2008;102,ausruestungen_und_zubehoer,8
01/02/2008;103,ausruestungen_und_zubehoer,9
01/03/2008;104,ausruestungen_und_zubehoer,6
01/04/2008;104,ausruestungen_und_zubehoer,1
01/05/2008;104,ausruestungen_und_zubehoer,2
