date,indicator,value
01/03/1997,originalwert_messzahlen_2015100,73.2
01/03/1997,trendkonjunkturkomponente_bv_41_messzahlen_2015100,75.1
01/03/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.4
01/03/1997,kalender_und_saisonbereinigte_werte_bv_41_messzahlen_2015100,74.9
01/03/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,0.3
01/03/1997,restkomponente_bv_41,-0.2
01/04/1997,originalwert_messzahlen_2015100,80.7
01/04/1997,trendkonjunkturkomponente_bv_41_messzahlen_2015100,75.4
01/04/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.4
01/04/1997,kalender_und_saisonbereinigte_werte_bv_41_messzahlen_2015100,75.1
01/04/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,0.4
01/04/1997,restkomponente_bv_41,-0.3
01/05/1997,originalwert_messzahlen_2015100,72.4
01/05/1997,trendkonjunkturkomponente_bv_41_messzahlen_2015100,75.7
01/05/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.4
01/05/1997,kalender_und_saisonbereinigte_werte_bv_41_messzahlen_2015100,75.5
01/05/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,0.5
01/05/1997,restkomponente_bv_41,-0.2
01/06/1997,originalwert_messzahlen_2015100,78.7
01/06/1997,trendkonjunkturkomponente_bv_41_messzahlen_2015100,76.1
01/06/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.4
01/06/1997,kalender_und_saisonbereinigte_werte_bv_41_messzahlen_2015100,76.7
01/06/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,1.5
01/06/1997,restkomponente_bv_41,0.6
01/07/1997,originalwert_messzahlen_2015100,77.5
01/07/1997,trendkonjunkturkomponente_bv_41_messzahlen_2015100,76.4
01/07/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.4
01/07/1997,kalender_und_saisonbereinigte_werte_bv_41_messzahlen_2015100,76.2
01/07/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-0.6
01/07/1997,restkomponente_bv_41,-0.1
01/08/1997,originalwert_messzahlen_2015100,70.8
01/08/1997,trendkonjunkturkomponente_bv_41_messzahlen_2015100,76.6
01/08/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.4
01/08/1997,kalender_und_saisonbereinigte_werte_bv_41_messzahlen_2015100,75.6
01/08/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-0.9
01/08/1997,restkomponente_bv_41,-1.1
01/09/1997,originalwert_messzahlen_2015100,80.8
01/09/1997,trendkonjunkturkomponente_bv_41_messzahlen_2015100,76.8
01/09/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.3
01/09/1997,kalender_und_saisonbereinigte_werte_bv_41_messzahlen_2015100,76.5
01/09/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,1.3
01/09/1997,restkomponente_bv_41,-0.3
01/10/1997,originalwert_messzahlen_2015100,83.6
