date,indicator,value
01/03/1997,originalwert_messzahlen_2015100,73.2
01/03/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,75.2
01/03/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,0.3
01/04/1997,originalwert_messzahlen_2015100,80.7
01/04/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,75.9
01/04/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,0.9
01/05/1997,originalwert_messzahlen_2015100,72.4
01/05/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,75.6
01/05/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-0.4
01/06/1997,originalwert_messzahlen_2015100,78.7
01/06/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,76.2
01/06/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,0.8
01/07/1997,originalwert_messzahlen_2015100,77.5
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,76.2
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,0.0
01/08/1997,originalwert_messzahlen_2015100,70.8
01/08/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,75.8
01/08/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-0.5
01/09/1997,originalwert_messzahlen_2015100,80.8
01/09/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,75.7
01/09/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-0.1
01/10/1997,originalwert_messzahlen_2015100,83.6
