datum,originalwert_messzahlen_2015100,originalwert_vernderung_gegenber_vorjahresmonat_in_,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_vernderung_gegenber_vorsmonat_in_
01/03/1997,90.9,,93.7,-0.2
01/04/1997,100.1,,94.6,1.0
01/05/1997,89.0,,93.4,-1.3
01/06/1997,97.2,,94.5,1.2
01/07/1997,96.5,,94.9,0.4
01/08/1997,87.7,,93.8,-1.2
01/09/1997,100.1,,93.7,-0.1
01/10/1997,103.6,,94.8,1.2
01/11/1997,94.6,,91.7,-3.3
01/12/1997,93.5,,94.2,2.7
01/01/1998,85.8,-1.3,97.3,3.3
01/02/1998,87.1,3.3,97.0,-0.3
01/03/1998,103.7,14.1,98.3,1.3
01/04/1998,96.5,-3.6,96.0,-2.3
01/05/1998,93.1,4.6,95.6,-0.4
01/06/1998,96.2,-1.0,95.7,0.1
01/07/1998,96.7,0.2,94.9,-0.8
01/08/1998,90.1,2.7,95.4,0.5
01/09/1998,101.9,1.8,95.4,0.0
01/10/1998,101.3,-2.2,92.5,-3.0
01/11/1998,99.6,5.3,93.6,1.2
01/12/1998,97.7,4.5,96.3,2.9
01/01/1999,80.5,-6.2,94.2,-2.2
01/02/1999,84.2,-3.3,93.8,-0.4
01/03/1999,106.8,3.0,96.7,3.1
01/04/1999,93.3,-3.3,93.9,-2.9
01/05/1999,91.7,-1.5,94.2,0.3
01/06/1999,98.4,2.3,94.7,0.5
01/07/1999,95.4,-1.3,96.6,2.0
01/08/1999,94.4,4.8,96.6,0.0
01/09/1999,103.3,1.4,96.9,0.3
01/10/1999,101.4,0.1,95.8,-1.1
01/11/1999,105.7,6.1,98.5,2.8
01/12/1999,102.2,4.6,98.6,0.1
01/01/2000,81.4,1.1,92.1,-6.6
01/02/2000,91.9,9.1,97.8,6.2
01/03/2000,103.1,-3.5,96.1,-1.7
01/04/2000,93.1,-0.2,98.4,2.4
01/05/2000,106.7,16.4,99.5,1.1
01/06/2000,95.3,-3.2,98.0,-1.5
01/07/2000,92.9,-2.6,97.0,-1.0
01/08/2000,99.1,5.0,98.5,1.5
01/09/2000,102.1,-1.2,99.0,0.5
01/10/2000,104.9,3.5,99.6,0.6
01/11/2000,108.2,2.4,101.0,1.4
01/12/2000,96.4,-5.7,97.3,-3.7
01/01/2001,88.5,8.7,95.5,-1.8
01/02/2001,86.5,-5.9,96.3,0.8
01/03/2001,100.0,-3.0,94.9,-1.5
01/04/2001,92.8,-0.3,94.9,0.0
01/05/2001,99.1,-7.1,95.6,0.7
01/06/2001,92.8,-2.6,95.5,-0.1
01/07/2001,93.4,0.5,94.3,-1.3
01/08/2001,96.1,-3.0,95.4,1.2
01/09/2001,93.8,-8.1,94.1,-1.4
01/10/2001,101.7,-3.1,93.6,-0.5
01/11/2001,99.0,-8.5,92.4,-1.3
01/12/2001,86.8,-10.0,91.6,-0.9
01/01/2002,82.9,-6.3,89.4,-2.4
01/02/2002,80.5,-6.9,89.6,0.2
01/03/2002,90.5,-9.5,90.1,0.6
01/04/2002,93.1,0.3,90.8,0.8
01/05/2002,89.1,-10.1,90.9,0.1
01/06/2002,87.4,-5.8,87.9,-3.3
01/07/2002,92.1,-1.4,89.9,2.3
01/08/2002,88.1,-8.3,90.4,0.6
01/09/2002,90.9,-3.1,88.2,-2.4
01/10/2002,97.2,-4.4,89.5,1.5
01/11/2002,91.3,-7.8,88.0,-1.7
01/12/2002,86.8,0.0,89.6,1.8
01/01/2003,81.7,-1.4,89.3,-0.3
01/02/2003,81.4,1.1,89.2,-0.1
01/03/2003,91.0,0.6,90.6,1.6
01/04/2003,91.5,-1.7,90.5,-0.1
01/05/2003,89.4,0.3,89.0,-1.7
01/06/2003,87.6,0.2,90.3,1.5
01/07/2003,92.4,0.3,90.1,-0.2
01/08/2003,85.3,-3.2,90.5,0.4
01/09/2003,94.1,3.5,88.4,-2.3
01/10/2003,96.7,-0.5,89.1,0.8
01/11/2003,91.9,0.7,89.5,0.4
01/12/2003,88.6,2.1,89.4,-0.1
01/01/2004,80.5,-1.5,90.9,1.7
01/02/2004,81.9,0.6,90.8,-0.1
01/03/2004,98.5,8.2,90.2,-0.7
01/04/2004,92.4,1.0,91.9,1.9
01/05/2004,87.4,-2.2,90.1,-2.0
01/06/2004,94.2,7.5,90.9,0.9
01/07/2004,91.1,-1.4,91.8,1.0
01/08/2004,89.2,4.6,90.9,-1.0
01/09/2004,98.3,4.5,92.5,1.8
01/10/2004,95.7,-1.0,90.9,-1.7
01/11/2004,98.7,7.4,92.1,1.3
01/12/2004,95.6,7.9,92.3,0.2
01/01/2005,83.5,3.7,94.0,1.8
01/02/2005,85.0,3.8,94.2,0.2
01/03/2005,98.1,-0.4,94.6,0.4
01/04/2005,96.3,4.2,93.8,-0.8
01/05/2005,94.6,8.2,96.7,3.1
01/06/2005,99.2,5.3,93.7,-3.1
01/07/2005,92.0,1.0,95.8,2.2
01/08/2005,97.2,9.0,96.5,0.7
01/09/2005,101.9,3.7,95.9,-0.6
01/10/2005,98.3,2.7,96.9,1.0
01/11/2005,103.3,4.7,96.3,-0.6
01/12/2005,99.8,4.4,96.5,0.2
01/01/2006,87.1,4.3,94.7,-1.9
01/02/2006,87.5,2.9,96.8,2.2
01/03/2006,104.8,6.8,96.1,-0.7
01/04/2006,92.5,-3.9,97.8,1.8
01/05/2006,102.5,8.4,99.3,1.5
01/06/2006,98.9,-0.3,98.8,-0.5
01/07/2006,95.0,3.3,98.9,0.1
01/08/2006,99.9,2.8,99.2,0.3
01/09/2006,103.4,1.5,100.4,1.2
01/10/2006,104.6,6.4,100.0,-0.4
01/11/2006,107.8,4.4,100.4,0.4
01/12/2006,102.8,3.0,104.0,3.6
01/01/2007,89.6,2.9,96.0,-7.7
01/02/2007,88.3,0.9,97.6,1.7
01/03/2007,104.9,0.1,98.2,0.6
01/04/2007,95.6,3.4,98.9,0.7
