date,indicator,value
01/03/2007,erwerbstaetige_millionen,36.54
01/03/2007,erwerbslose_millionen,3.69
01/03/2007,erwerbspersonen_insgesamt_millionen,40.23
01/03/2007,erwerbslosenquote_in_,9.2
01/04/2007,erwerbstaetige_millionen,36.99
01/04/2007,erwerbslose_millionen,3.49
01/04/2007,erwerbspersonen_insgesamt_millionen,40.48
01/04/2007,erwerbslosenquote_in_,8.6
01/05/2007,erwerbstaetige_millionen,37.10
01/05/2007,erwerbslose_millionen,3.45
01/05/2007,erwerbspersonen_insgesamt_millionen,40.55
01/05/2007,erwerbslosenquote_in_,8.5
01/06/2007,erwerbstaetige_millionen,36.94
01/06/2007,erwerbslose_millionen,3.36
01/06/2007,erwerbspersonen_insgesamt_millionen,40.30
01/06/2007,erwerbslosenquote_in_,8.3
01/07/2007,erwerbstaetige_millionen,37.58
01/07/2007,erwerbslose_millionen,3.42
01/07/2007,erwerbspersonen_insgesamt_millionen,41.00
01/07/2007,erwerbslosenquote_in_,8.3
01/08/2007,erwerbstaetige_millionen,37.50
01/08/2007,erwerbslose_millionen,3.45
01/08/2007,erwerbspersonen_insgesamt_millionen,40.95
01/08/2007,erwerbslosenquote_in_,8.4
01/09/2007,erwerbstaetige_millionen,37.51
01/09/2007,erwerbslose_millionen,3.32
01/09/2007,erwerbspersonen_insgesamt_millionen,40.83
01/09/2007,erwerbslosenquote_in_,8.1
01/10/2007,erwerbstaetige_millionen,37.94
01/10/2007,erwerbslose_millionen,3.20
01/10/2007,erwerbspersonen_insgesamt_millionen,41.14
01/10/2007,erwerbslosenquote_in_,7.8
01/11/2007,erwerbstaetige_millionen,37.33
01/11/2007,erwerbslose_millionen,3.33
01/11/2007,erwerbspersonen_insgesamt_millionen,40.66
01/11/2007,erwerbslosenquote_in_,8.2
01/12/2007,erwerbstaetige_millionen,37.53
01/12/2007,erwerbslose_millionen,3.36
01/12/2007,erwerbspersonen_insgesamt_millionen,40.89
01/12/2007,erwerbslosenquote_in_,8.2
01/01/2008,erwerbstaetige_millionen,37.11
01/01/2008,erwerbslose_millionen,3.31
01/01/2008,erwerbspersonen_insgesamt_millionen,40.42
01/01/2008,erwerbslosenquote_in_,8.2
01/02/2008,erwerbstaetige_millionen,37.07
01/02/2008,erwerbslose_millionen,3.27
01/02/2008,erwerbspersonen_insgesamt_millionen,40.34
01/02/2008,erwerbslosenquote_in_,8.1
01/03/2008,erwerbstaetige_millionen,37.18
01/03/2008,erwerbslose_millionen,3.25
01/03/2008,erwerbspersonen_insgesamt_millionen,40.43
01/03/2008,erwerbslosenquote_in_,8.0
01/04/2008,erwerbstaetige_millionen,37.28
01/04/2008,erwerbslose_millionen,3.21
01/04/2008,erwerbspersonen_insgesamt_millionen,40.49
01/04/2008,erwerbslosenquote_in_,7.9
01/05/2008,erwerbstaetige_millionen,37.37
01/05/2008,erwerbslose_millionen,2.94
01/05/2008,erwerbspersonen_insgesamt_millionen,40.31
01/05/2008,erwerbslosenquote_in_,7.3
01/06/2008,erwerbstaetige_millionen,37.12
01/06/2008,erwerbslose_millionen,3.15
01/06/2008,erwerbspersonen_insgesamt_millionen,40.27
01/06/2008,erwerbslosenquote_in_,7.8
01/07/2008,erwerbstaetige_millionen,37.88
01/07/2008,erwerbslose_millionen,3.02
01/07/2008,erwerbspersonen_insgesamt_millionen,40.90
01/07/2008,erwerbslosenquote_in_,7.4
01/08/2008,erwerbstaetige_millionen,37.90
01/08/2008,erwerbslose_millionen,2.93
01/08/2008,erwerbspersonen_insgesamt_millionen,40.83
01/08/2008,erwerbslosenquote_in_,7.2
01/09/2008,erwerbstaetige_millionen,38.44
01/09/2008,erwerbslose_millionen,2.70
01/09/2008,erwerbspersonen_insgesamt_millionen,41.14
01/09/2008,erwerbslosenquote_in_,6.6
01/10/2008,erwerbstaetige_millionen,38.47
01/10/2008,erwerbslose_millionen,2.63
01/10/2008,erwerbspersonen_insgesamt_millionen,41.10
01/10/2008,erwerbslosenquote_in_,6.4
01/11/2008,erwerbstaetige_millionen,38.00
01/11/2008,erwerbslose_millionen,2.78
01/11/2008,erwerbspersonen_insgesamt_millionen,40.78
01/11/2008,erwerbslosenquote_in_,6.8
01/12/2008,erwerbstaetige_millionen,37.83
01/12/2008,erwerbslose_millionen,3.03
01/12/2008,erwerbspersonen_insgesamt_millionen,40.86
01/12/2008,erwerbslosenquote_in_,7.4
01/01/2009,erwerbstaetige_millionen,37.67
01/01/2009,erwerbslose_millionen,2.96
01/01/2009,erwerbspersonen_insgesamt_millionen,40.63
01/01/2009,erwerbslosenquote_in_,7.3
01/02/2009,erwerbstaetige_millionen,37.51
01/02/2009,erwerbslose_millionen,3.24
01/02/2009,erwerbspersonen_insgesamt_millionen,40.75
01/02/2009,erwerbslosenquote_in_,7.9
01/03/2009,erwerbstaetige_millionen,37.63
01/03/2009,erwerbslose_millionen,3.13
01/03/2009,erwerbspersonen_insgesamt_millionen,40.76
01/03/2009,erwerbslosenquote_in_,7.7
01/04/2009,erwerbstaetige_millionen,37.57
01/04/2009,erwerbslose_millionen,3.08
01/04/2009,erwerbspersonen_insgesamt_millionen,40.65
01/04/2009,erwerbslosenquote_in_,7.6
01/05/2009,erwerbstaetige_millionen,37.78
01/05/2009,erwerbslose_millionen,2.97
01/05/2009,erwerbspersonen_insgesamt_millionen,40.75
01/05/2009,erwerbslosenquote_in_,7.3
01/06/2009,erwerbstaetige_millionen,37.84
01/06/2009,erwerbslose_millionen,3.00
01/06/2009,erwerbspersonen_insgesamt_millionen,40.84
01/06/2009,erwerbslosenquote_in_,7.3
01/07/2009,erwerbstaetige_millionen,37.66
01/07/2009,erwerbslose_millionen,3.07
01/07/2009,erwerbspersonen_insgesamt_millionen,40.73
01/07/2009,erwerbslosenquote_in_,7.5
01/08/2009,erwerbstaetige_millionen,37.67
01/08/2009,erwerbslose_millionen,3.10
01/08/2009,erwerbspersonen_insgesamt_millionen,40.77
01/08/2009,erwerbslosenquote_in_,7.6
01/09/2009,erwerbstaetige_millionen,37.96
01/09/2009,erwerbslose_millionen,2.95
01/09/2009,erwerbspersonen_insgesamt_millionen,40.91
01/09/2009,erwerbslosenquote_in_,7.2
01/10/2009,erwerbstaetige_millionen,38.62
01/10/2009,erwerbslose_millionen,2.81
01/10/2009,erwerbspersonen_insgesamt_millionen,41.43
01/10/2009,erwerbslosenquote_in_,6.8
01/11/2009,erwerbstaetige_millionen,38.53
01/11/2009,erwerbslose_millionen,2.84
01/11/2009,erwerbspersonen_insgesamt_millionen,41.37
01/11/2009,erwerbslosenquote_in_,6.9
01/12/2009,erwerbstaetige_millionen,38.21
01/12/2009,erwerbslose_millionen,2.88
01/12/2009,erwerbspersonen_insgesamt_millionen,41.09
01/12/2009,erwerbslosenquote_in_,7.0
01/01/2010,erwerbstaetige_millionen,36.90
01/01/2010,erwerbslose_millionen,3.03
01/01/2010,erwerbspersonen_insgesamt_millionen,39.93
01/01/2010,erwerbslosenquote_in_,7.6
01/02/2010,erwerbstaetige_millionen,36.91
01/02/2010,erwerbslose_millionen,3.05
01/02/2010,erwerbspersonen_insgesamt_millionen,39.96
01/02/2010,erwerbslosenquote_in_,7.6
01/03/2010,erwerbstaetige_millionen,37.10
01/03/2010,erwerbslose_millionen,2.88
01/03/2010,erwerbspersonen_insgesamt_millionen,39.98
01/03/2010,erwerbslosenquote_in_,7.2
01/04/2010,erwerbstaetige_millionen,37.21
01/04/2010,erwerbslose_millionen,2.72
01/04/2010,erwerbspersonen_insgesamt_millionen,39.93
01/04/2010,erwerbslosenquote_in_,6.8
01/05/2010,erwerbstaetige_millionen,37.24
01/05/2010,erwerbslose_millionen,2.61
01/05/2010,erwerbspersonen_insgesamt_millionen,39.85
01/05/2010,erwerbslosenquote_in_,6.5
01/06/2010,erwerbstaetige_millionen,37.38
01/06/2010,erwerbslose_millionen,2.53
01/06/2010,erwerbspersonen_insgesamt_millionen,39.91
01/06/2010,erwerbslosenquote_in_,6.3
01/07/2010,erwerbstaetige_millionen,37.26
01/07/2010,erwerbslose_millionen,2.60
01/07/2010,erwerbspersonen_insgesamt_millionen,39.86
01/07/2010,erwerbslosenquote_in_,6.5
01/08/2010,erwerbstaetige_millionen,37.81
01/08/2010,erwerbslose_millionen,2.50
01/08/2010,erwerbspersonen_insgesamt_millionen,40.31
01/08/2010,erwerbslosenquote_in_,6.2
01/09/2010,erwerbstaetige_millionen,37.74
01/09/2010,erwerbslose_millionen,2.47
01/09/2010,erwerbspersonen_insgesamt_millionen,40.21
01/09/2010,erwerbslosenquote_in_,6.1
01/10/2010,erwerbstaetige_millionen,37.81
01/10/2010,erwerbslose_millionen,2.47
01/10/2010,erwerbspersonen_insgesamt_millionen,40.28
01/10/2010,erwerbslosenquote_in_,6.1
01/11/2010,erwerbstaetige_millionen,37.82
01/11/2010,erwerbslose_millionen,2.39
01/11/2010,erwerbspersonen_insgesamt_millionen,40.21
01/11/2010,erwerbslosenquote_in_,5.9
01/12/2010,erwerbstaetige_millionen,37.76
01/12/2010,erwerbslose_millionen,2.46
01/12/2010,erwerbspersonen_insgesamt_millionen,40.22
01/12/2010,erwerbslosenquote_in_,6.1
01/01/2011,erwerbstaetige_millionen,37.48
01/01/2011,erwerbslose_millionen,2.58
01/01/2011,erwerbspersonen_insgesamt_millionen,40.06
01/01/2011,erwerbslosenquote_in_,6.4
01/02/2011,erwerbstaetige_millionen,37.45
01/02/2011,erwerbslose_millionen,2.47
01/02/2011,erwerbspersonen_insgesamt_millionen,39.92
01/02/2011,erwerbslosenquote_in_,6.2
01/03/2011,erwerbstaetige_millionen,37.63
01/03/2011,erwerbslose_millionen,2.43
01/03/2011,erwerbspersonen_insgesamt_millionen,40.06
01/03/2011,erwerbslosenquote_in_,6.1
01/04/2011,erwerbstaetige_millionen,38.10
01/04/2011,erwerbslose_millionen,2.21
01/04/2011,erwerbspersonen_insgesamt_millionen,40.31
01/04/2011,erwerbslosenquote_in_,5.5
01/05/2011,erwerbstaetige_millionen,38.09
01/05/2011,erwerbslose_millionen,2.15
01/05/2011,erwerbspersonen_insgesamt_millionen,40.24
01/05/2011,erwerbslosenquote_in_,5.4
01/06/2011,erwerbstaetige_millionen,38.06
01/06/2011,erwerbslose_millionen,2.25
01/06/2011,erwerbspersonen_insgesamt_millionen,40.31
01/06/2011,erwerbslosenquote_in_,5.6
01/07/2011,erwerbstaetige_millionen,38.03
01/07/2011,erwerbslose_millionen,2.27
01/07/2011,erwerbspersonen_insgesamt_millionen,40.30
01/07/2011,erwerbslosenquote_in_,5.6
01/08/2011,erwerbstaetige_millionen,38.32
01/08/2011,erwerbslose_millionen,2.27
01/08/2011,erwerbspersonen_insgesamt_millionen,40.59
01/08/2011,erwerbslosenquote_in_,5.6
01/09/2011,erwerbstaetige_millionen,38.91
01/09/2011,erwerbslose_millionen,2.01
01/09/2011,erwerbspersonen_insgesamt_millionen,40.92
01/09/2011,erwerbslosenquote_in_,4.9
01/10/2011,erwerbstaetige_millionen,38.81
01/10/2011,erwerbslose_millionen,1.96
01/10/2011,erwerbspersonen_insgesamt_millionen,40.77
01/10/2011,erwerbslosenquote_in_,4.8
01/11/2011,erwerbstaetige_millionen,38.70
01/11/2011,erwerbslose_millionen,2.09
01/11/2011,erwerbspersonen_insgesamt_millionen,40.79
01/11/2011,erwerbslosenquote_in_,5.1
01/12/2011,erwerbstaetige_millionen,38.56
01/12/2011,erwerbslose_millionen,2.06
01/12/2011,erwerbspersonen_insgesamt_millionen,40.62
01/12/2011,erwerbslosenquote_in_,5.1
01/01/2012,erwerbstaetige_millionen,37.77
01/01/2012,erwerbslose_millionen,2.36
01/01/2012,erwerbspersonen_insgesamt_millionen,40.13
01/01/2012,erwerbslosenquote_in_,5.9
01/02/2012,erwerbstaetige_millionen,37.99
01/02/2012,erwerbslose_millionen,2.22
01/02/2012,erwerbspersonen_insgesamt_millionen,40.21
01/02/2012,erwerbslosenquote_in_,5.5
01/03/2012,erwerbstaetige_millionen,38.19
01/03/2012,erwerbslose_millionen,2.05
01/03/2012,erwerbspersonen_insgesamt_millionen,40.24
01/03/2012,erwerbslosenquote_in_,5.1
01/04/2012,erwerbstaetige_millionen,38.14
01/04/2012,erwerbslose_millionen,1.98
01/04/2012,erwerbspersonen_insgesamt_millionen,40.12
01/04/2012,erwerbslosenquote_in_,4.9
01/05/2012,erwerbstaetige_millionen,38.58
01/05/2012,erwerbslose_millionen,2.11
01/05/2012,erwerbspersonen_insgesamt_millionen,40.69
01/05/2012,erwerbslosenquote_in_,5.2
01/06/2012,erwerbstaetige_millionen,38.34
01/06/2012,erwerbslose_millionen,1.99
01/06/2012,erwerbspersonen_insgesamt_millionen,40.33
01/06/2012,erwerbslosenquote_in_,4.9
01/07/2012,erwerbstaetige_millionen,38.36
01/07/2012,erwerbslose_millionen,2.16
01/07/2012,erwerbspersonen_insgesamt_millionen,40.52
01/07/2012,erwerbslosenquote_in_,5.3
01/08/2012,erwerbstaetige_millionen,38.83
01/08/2012,erwerbslose_millionen,2.04
01/08/2012,erwerbspersonen_insgesamt_millionen,40.87
01/08/2012,erwerbslosenquote_in_,5.0
01/09/2012,erwerbstaetige_millionen,39.18
01/09/2012,erwerbslose_millionen,1.94
01/09/2012,erwerbspersonen_insgesamt_millionen,41.12
01/09/2012,erwerbslosenquote_in_,4.7
01/10/2012,erwerbstaetige_millionen,38.66
01/10/2012,erwerbslose_millionen,1.96
01/10/2012,erwerbspersonen_insgesamt_millionen,40.62
01/10/2012,erwerbslosenquote_in_,4.8
01/11/2012,erwerbstaetige_millionen,38.91
01/11/2012,erwerbslose_millionen,1.97
01/11/2012,erwerbspersonen_insgesamt_millionen,40.88
01/11/2012,erwerbslosenquote_in_,4.8
01/12/2012,erwerbstaetige_millionen,38.75
01/12/2012,erwerbslose_millionen,1.99
01/12/2012,erwerbspersonen_insgesamt_millionen,40.74
01/12/2012,erwerbslosenquote_in_,4.9
01/01/2013,erwerbstaetige_millionen,38.29
01/01/2013,erwerbslose_millionen,2.22
01/01/2013,erwerbspersonen_insgesamt_millionen,40.51
01/01/2013,erwerbslosenquote_in_,5.5
01/02/2013,erwerbstaetige_millionen,38.28
01/02/2013,erwerbslose_millionen,2.26
01/02/2013,erwerbspersonen_insgesamt_millionen,40.54
01/02/2013,erwerbslosenquote_in_,5.6
01/03/2013,erwerbstaetige_millionen,38.43
01/03/2013,erwerbslose_millionen,2.11
01/03/2013,erwerbspersonen_insgesamt_millionen,40.54
