date,indicator,value
01/03/2000,insgesamt_mill_eur,46034
01/03/2000,ernaehrungswirtschaft_zusammen_mill_eur,3292
01/03/2000,gewerbliche_wirtschaft_zusammen_mill_eur,40623
01/03/2000,rohstoffe_mill_eur,3155
01/03/2000,halbwaren_mill_eur,3177
01/03/2000,fertigwaren_mill_eur,34291
01/04/2000,insgesamt_mill_eur,39965
01/04/2000,ernaehrungswirtschaft_zusammen_mill_eur,3303
01/04/2000,gewerbliche_wirtschaft_zusammen_mill_eur,34430
01/04/2000,rohstoffe_mill_eur,2949
01/04/2000,halbwaren_mill_eur,2708
01/04/2000,fertigwaren_mill_eur,28773
01/05/2000,insgesamt_mill_eur,47689
01/05/2000,ernaehrungswirtschaft_zusammen_mill_eur,3702
01/05/2000,gewerbliche_wirtschaft_zusammen_mill_eur,41893
01/05/2000,rohstoffe_mill_eur,3795
01/05/2000,halbwaren_mill_eur,3665
01/05/2000,fertigwaren_mill_eur,34434
01/06/2000,insgesamt_mill_eur,42999
01/06/2000,ernaehrungswirtschaft_zusammen_mill_eur,3509
01/06/2000,gewerbliche_wirtschaft_zusammen_mill_eur,37628
01/06/2000,rohstoffe_mill_eur,2811
01/06/2000,halbwaren_mill_eur,3265
01/06/2000,fertigwaren_mill_eur,31553
01/07/2000,insgesamt_mill_eur,43854
01/07/2000,ernaehrungswirtschaft_zusammen_mill_eur,3364
01/07/2000,gewerbliche_wirtschaft_zusammen_mill_eur,38260
01/07/2000,rohstoffe_mill_eur,3638
01/07/2000,halbwaren_mill_eur,3427
01/07/2000,fertigwaren_mill_eur,31195
01/08/2000,insgesamt_mill_eur,44302
01/08/2000,ernaehrungswirtschaft_zusammen_mill_eur,3479
01/08/2000,gewerbliche_wirtschaft_zusammen_mill_eur,39004
01/08/2000,rohstoffe_mill_eur,3420
01/08/2000,halbwaren_mill_eur,3291
01/08/2000,fertigwaren_mill_eur,32294
01/09/2000,insgesamt_mill_eur,44735
01/09/2000,ernaehrungswirtschaft_zusammen_mill_eur,3339
01/09/2000,gewerbliche_wirtschaft_zusammen_mill_eur,39767
01/09/2000,rohstoffe_mill_eur,3650
01/09/2000,halbwaren_mill_eur,4047
01/09/2000,fertigwaren_mill_eur,32069
01/10/2000,insgesamt_mill_eur,50025
01/10/2000,ernaehrungswirtschaft_zusammen_mill_eur,3736
01/10/2000,gewerbliche_wirtschaft_zusammen_mill_eur,43665
01/10/2000,rohstoffe_mill_eur,3482
01/10/2000,halbwaren_mill_eur,3872
01/10/2000,fertigwaren_mill_eur,36312
01/11/2000,insgesamt_mill_eur,52092
01/11/2000,ernaehrungswirtschaft_zusammen_mill_eur,3591
01/11/2000,gewerbliche_wirtschaft_zusammen_mill_eur,45700
01/11/2000,rohstoffe_mill_eur,4484
01/11/2000,halbwaren_mill_eur,3848
01/11/2000,fertigwaren_mill_eur,37368
01/12/2000,insgesamt_mill_eur,48371
01/12/2000,ernaehrungswirtschaft_zusammen_mill_eur,3528
01/12/2000,gewerbliche_wirtschaft_zusammen_mill_eur,42107
01/12/2000,rohstoffe_mill_eur,4167
01/12/2000,halbwaren_mill_eur,3468
01/12/2000,fertigwaren_mill_eur,34473
01/01/2001,insgesamt_mill_eur,46215
01/01/2001,ernaehrungswirtschaft_zusammen_mill_eur,3608
01/01/2001,gewerbliche_wirtschaft_zusammen_mill_eur,41228
01/01/2001,rohstoffe_mill_eur,4195
01/01/2001,halbwaren_mill_eur,3277
01/01/2001,fertigwaren_mill_eur,33756
01/02/2001,insgesamt_mill_eur,44914
01/02/2001,ernaehrungswirtschaft_zusammen_mill_eur,3367
01/02/2001,gewerbliche_wirtschaft_zusammen_mill_eur,40284
01/02/2001,rohstoffe_mill_eur,3567
01/02/2001,halbwaren_mill_eur,3129
01/02/2001,fertigwaren_mill_eur,33587
01/03/2001,insgesamt_mill_eur,46418
01/03/2001,ernaehrungswirtschaft_zusammen_mill_eur,3482
01/03/2001,gewerbliche_wirtschaft_zusammen_mill_eur,41617
01/03/2001,rohstoffe_mill_eur,3542
01/03/2001,halbwaren_mill_eur,3371
01/03/2001,fertigwaren_mill_eur,34704
01/04/2001,insgesamt_mill_eur,46695
01/04/2001,ernaehrungswirtschaft_zusammen_mill_eur,3767
01/04/2001,gewerbliche_wirtschaft_zusammen_mill_eur,41455
01/04/2001,rohstoffe_mill_eur,4083
01/04/2001,halbwaren_mill_eur,3267
01/04/2001,fertigwaren_mill_eur,34105
01/05/2001,insgesamt_mill_eur,46451
01/05/2001,ernaehrungswirtschaft_zusammen_mill_eur,3819
01/05/2001,gewerbliche_wirtschaft_zusammen_mill_eur,41097
01/05/2001,rohstoffe_mill_eur,3238
01/05/2001,halbwaren_mill_eur,3308
