date,indicator,value
01/07/1997,originalwert_kettenindex_2020100,39.00
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,40.08
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,4.4
01/10/1997,originalwert_kettenindex_2020100,41.61
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,40.50
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.0
01/01/1998,originalwert_kettenindex_2020100,42.07
01/01/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,13.4
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,42.69
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,5.4
01/04/1998,originalwert_kettenindex_2020100,43.56
01/04/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,11.6
01/04/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,43.58
01/04/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,2.1
01/07/1998,originalwert_kettenindex_2020100,42.61
01/07/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,9.3
01/07/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,43.70
01/07/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.3
01/10/1998,originalwert_kettenindex_2020100,45.51
01/10/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,9.4
01/10/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,43.37
01/10/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.8
01/01/1999,originalwert_kettenindex_2020100,45.12
01/01/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,7.2
01/01/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,45.79
01/01/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,5.6
01/04/1999,originalwert_kettenindex_2020100,47.05
01/04/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,8.0
01/04/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,46.69
01/04/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,2.0
01/07/1999,originalwert_kettenindex_2020100,46.89
01/07/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,10.0
01/07/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,48.10
01/07/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,3.0
01/10/1999,originalwert_kettenindex_2020100,49.48
01/10/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,8.7
01/10/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,46.94
01/10/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-2.4
01/01/2000,originalwert_kettenindex_2020100,49.53
01/01/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,9.8
01/01/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,49.50
01/01/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,5.5
01/04/2000,originalwert_kettenindex_2020100,50.95
01/04/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,8.3
01/04/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,51.00
01/04/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,3.0
