date,indicator,value
01/07/1997,originalwert_2020100,61.4
01/07/1997,trendkonjunkturkomponente_bv_41_2020100,65.6
01/07/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.1
01/07/1997,kalender_und_saisonbereinigte_werte_bv_41_2020100,65.2
01/07/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,-0.2
01/07/1997,kalenderbereinigte_werte_bv_41_2020100,61.4
01/10/1997,originalwert_2020100,71.5
01/10/1997,trendkonjunkturkomponente_bv_41_2020100,65.7
01/10/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.2
01/10/1997,kalender_und_saisonbereinigte_werte_bv_41_2020100,65.3
01/10/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.1
01/10/1997,kalenderbereinigte_werte_bv_41_2020100,71.3
01/01/1998,originalwert_2020100,61.2
01/01/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-0.5
01/01/1998,trendkonjunkturkomponente_bv_41_2020100,66.0
01/01/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.5
01/01/1998,kalender_und_saisonbereinigte_werte_bv_41_2020100,65.5
01/01/1998,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.4
01/01/1998,kalenderbereinigte_werte_bv_41_2020100,61.1
01/04/1998,originalwert_2020100,68.1
01/04/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.3
01/04/1998,trendkonjunkturkomponente_bv_41_2020100,66.4
01/04/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.7
01/04/1998,kalender_und_saisonbereinigte_werte_bv_41_2020100,66.0
01/04/1998,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.7
01/04/1998,kalenderbereinigte_werte_bv_41_2020100,67.8
01/07/1998,originalwert_2020100,62.8
01/07/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.4
01/07/1998,trendkonjunkturkomponente_bv_41_2020100,66.9
01/07/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.7
01/07/1998,kalender_und_saisonbereinigte_werte_bv_41_2020100,66.7
01/07/1998,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,1.1
01/07/1998,kalenderbereinigte_werte_bv_41_2020100,62.9
01/10/1998,originalwert_2020100,73.0
01/10/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.1
01/10/1998,trendkonjunkturkomponente_bv_41_2020100,67.4
01/10/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.7
01/10/1998,kalender_und_saisonbereinigte_werte_bv_41_2020100,67.4
01/10/1998,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.9
01/10/1998,kalenderbereinigte_werte_bv_41_2020100,73.3
01/01/1999,originalwert_2020100,62.5
01/01/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.2
01/01/1999,trendkonjunkturkomponente_bv_41_2020100,67.5
01/01/1999,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.2
01/01/1999,kalender_und_saisonbereinigte_werte_bv_41_2020100,66.8
01/01/1999,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,-0.9
01/01/1999,kalenderbereinigte_werte_bv_41_2020100,62.4
01/04/1999,originalwert_2020100,69.6
01/04/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.3
01/04/1999,trendkonjunkturkomponente_bv_41_2020100,67.8
01/04/1999,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.4
01/04/1999,kalender_und_saisonbereinigte_werte_bv_41_2020100,67.7
01/04/1999,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,1.3
01/04/1999,kalenderbereinigte_werte_bv_41_2020100,69.6
01/07/1999,originalwert_2020100,63.7
01/07/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.3
01/07/1999,trendkonjunkturkomponente_bv_41_2020100,68.2
01/07/1999,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.6
01/07/1999,kalender_und_saisonbereinigte_werte_bv_41_2020100,67.8
01/07/1999,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.1
01/07/1999,kalenderbereinigte_werte_bv_41_2020100,63.7
01/10/1999,originalwert_2020100,73.3
01/10/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.4
01/10/1999,trendkonjunkturkomponente_bv_41_2020100,68.9
01/10/1999,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,1.0
01/10/1999,kalender_und_saisonbereinigte_werte_bv_41_2020100,68.2
01/10/1999,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.6
01/10/1999,kalenderbereinigte_werte_bv_41_2020100,73.8
01/01/2000,originalwert_2020100,65.4
01/01/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,4.6
01/01/2000,trendkonjunkturkomponente_bv_41_2020100,69.7
01/01/2000,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,1.2
01/01/2000,kalender_und_saisonbereinigte_werte_bv_41_2020100,69.7
01/01/2000,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,2.3
01/01/2000,kalenderbereinigte_werte_bv_41_2020100,65.8
01/04/2000,originalwert_2020100,71.9
01/04/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.3
01/04/2000,trendkonjunkturkomponente_bv_41_2020100,70.3
01/04/2000,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.9
01/04/2000,kalender_und_saisonbereinigte_werte_bv_41_2020100,69.6
01/04/2000,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,-0.1
01/04/2000,kalenderbereinigte_werte_bv_41_2020100,71.6
01/07/2000,originalwert_2020100,66.7
01/07/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,4.7
01/07/2000,trendkonjunkturkomponente_bv_41_2020100,71.0
01/07/2000,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,1.0
01/07/2000,kalender_und_saisonbereinigte_werte_bv_41_2020100,70.7
01/07/2000,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,1.5
01/07/2000,kalenderbereinigte_werte_bv_41_2020100,66.4
01/10/2000,originalwert_2020100,77.2
01/10/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,5.3
01/10/2000,trendkonjunkturkomponente_bv_41_2020100,71.5
01/10/2000,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.8
01/10/2000,kalender_und_saisonbereinigte_werte_bv_41_2020100,71.5
01/10/2000,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,1.1
01/10/2000,kalenderbereinigte_werte_bv_41_2020100,76.9
01/01/2001,originalwert_2020100,67.4
01/01/2001,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.0
01/01/2001,trendkonjunkturkomponente_bv_41_2020100,71.8
01/01/2001,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.4
01/01/2001,kalender_und_saisonbereinigte_werte_bv_41_2020100,71.1
01/01/2001,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,-0.5
01/01/2001,kalenderbereinigte_werte_bv_41_2020100,67.5
01/04/2001,originalwert_2020100,74.5
01/04/2001,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.6
01/04/2001,trendkonjunkturkomponente_bv_41_2020100,72.1
01/04/2001,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.4
01/04/2001,kalender_und_saisonbereinigte_werte_bv_41_2020100,72.0
01/04/2001,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,1.1
