date,indicator,value
01/03/2005,originalwert_in_1000,173.8
01/03/2005,trendkonjunkturkomponente_bv_41_in_1000,143.0
01/03/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-1.3
01/03/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,134.7
01/03/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-1.0
01/04/2005,originalwert_in_1000,158.9
01/04/2005,trendkonjunkturkomponente_bv_41_in_1000,139.8
01/04/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-2.3
01/04/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,144.6
01/04/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,7.4
01/05/2005,originalwert_in_1000,142.0
01/05/2005,trendkonjunkturkomponente_bv_41_in_1000,136.0
01/05/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-2.7
01/05/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,138.6
01/05/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-4.1
01/06/2005,originalwert_in_1000,136.7
01/06/2005,trendkonjunkturkomponente_bv_41_in_1000,131.7
01/06/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-3.2
01/06/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,139.4
01/06/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,0.5
01/07/2005,originalwert_in_1000,108.6
01/07/2005,trendkonjunkturkomponente_bv_41_in_1000,127.7
01/07/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-3.1
01/07/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,125.6
01/07/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-9.9
01/08/2005,originalwert_in_1000,89.4
01/08/2005,trendkonjunkturkomponente_bv_41_in_1000,121.0
01/08/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-5.2
01/08/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,116.0
01/08/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-7.7
01/09/2005,originalwert_in_1000,96.2
01/09/2005,trendkonjunkturkomponente_bv_41_in_1000,113.8
01/09/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-6.0
01/09/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,117.3
01/09/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,1.1
01/10/2005,originalwert_in_1000,102.4
01/10/2005,trendkonjunkturkomponente_bv_41_in_1000,106.7
01/10/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-6.2
01/10/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,121.4
01/10/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,3.5
01/11/2005,originalwert_in_1000,98.0
01/11/2005,trendkonjunkturkomponente_bv_41_in_1000,100.6
01/11/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-5.8
01/11/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,116.3
01/11/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-4.2
01/12/2005,originalwert_in_1000,83.7
01/12/2005,trendkonjunkturkomponente_bv_41_in_1000,94.4
01/12/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-6.2
01/12/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,92.3
01/12/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-20.6
01/01/2006,originalwert_in_1000,96.1
01/01/2006,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-35.2
01/01/2006,originalwert_in_1000_veraenderung_gegenueber_vorjahresmonat_absolut,-52.3
01/01/2006,trendkonjunkturkomponente_bv_41_in_1000,87.5
01/01/2006,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-7.3
01/01/2006,kalender_und_saisonbereinigte_werte_bv_41_in_1000,68.6
01/01/2006,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-25.7
01/02/2006,originalwert_in_1000,100.7
01/02/2006,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-40.0
01/02/2006,originalwert_in_1000_veraenderung_gegenueber_vorjahresmonat_absolut,-67.3
01/02/2006,trendkonjunkturkomponente_bv_41_in_1000,80.4
01/02/2006,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-8.2
01/02/2006,kalender_und_saisonbereinigte_werte_bv_41_in_1000,56.3
01/02/2006,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-17.9
01/03/2006,originalwert_in_1000,104.8
01/03/2006,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-39.7
01/03/2006,originalwert_in_1000_veraenderung_gegenueber_vorjahresmonat_absolut,-68.9
01/03/2006,trendkonjunkturkomponente_bv_41_in_1000,75.3
01/03/2006,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-6.2
01/03/2006,kalender_und_saisonbereinigte_werte_bv_41_in_1000,59.4
01/03/2006,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,5.4
01/04/2006,originalwert_in_1000,83.3
01/04/2006,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-47.6
01/04/2006,originalwert_in_1000_veraenderung_gegenueber_vorjahresmonat_absolut,-75.6
01/04/2006,trendkonjunkturkomponente_bv_41_in_1000,72.0
01/04/2006,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-4.4
01/04/2006,kalender_und_saisonbereinigte_werte_bv_41_in_1000,78.1
01/04/2006,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,31.5
01/05/2006,originalwert_in_1000,72.0
01/05/2006,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-49.2
01/05/2006,originalwert_in_1000_veraenderung_gegenueber_vorjahresmonat_absolut,-69.9
01/05/2006,trendkonjunkturkomponente_bv_41_in_1000,70.0
01/05/2006,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-2.8
01/05/2006,kalender_und_saisonbereinigte_werte_bv_41_in_1000,74.5
01/05/2006,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-4.6
01/06/2006,originalwert_in_1000,61.5
01/06/2006,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-55.0
01/06/2006,originalwert_in_1000_veraenderung_gegenueber_vorjahresmonat_absolut,-75.2
01/06/2006,trendkonjunkturkomponente_bv_41_in_1000,69.1
01/06/2006,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-1.2
01/06/2006,kalender_und_saisonbereinigte_werte_bv_41_in_1000,70.5
01/06/2006,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-5.4
01/07/2006,originalwert_in_1000,53.9
01/07/2006,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-50.3
01/07/2006,originalwert_in_1000_veraenderung_gegenueber_vorjahresmonat_absolut,-54.6
01/07/2006,trendkonjunkturkomponente_bv_41_in_1000,69.0
01/07/2006,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.1
01/07/2006,kalender_und_saisonbereinigte_werte_bv_41_in_1000,74.0
01/07/2006,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,4.9
01/08/2006,originalwert_in_1000,47.9
01/08/2006,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-46.4
01/08/2006,originalwert_in_1000_veraenderung_gegenueber_vorjahresmonat_absolut,-41.5
01/08/2006,trendkonjunkturkomponente_bv_41_in_1000,69.5
01/08/2006,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.7
01/08/2006,kalender_und_saisonbereinigte_werte_bv_41_in_1000,76.9
01/08/2006,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,4.0
01/09/2006,originalwert_in_1000,46.0
01/09/2006,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-52.2
01/09/2006,originalwert_in_1000_veraenderung_gegenueber_vorjahresmonat_absolut,-50.2
01/09/2006,trendkonjunkturkomponente_bv_41_in_1000,70.1
01/09/2006,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.9
01/09/2006,kalender_und_saisonbereinigte_werte_bv_41_in_1000,72.9
