datum,originalwert_2021100,originalwert_vernderung_gegenber_vorjahresmonat_in_,trendkonjunkturkomponente_bv_41_2021100,trendkonjunkturkomponente_bv_41_vernderung_gegenber_vormonat_in_
01/03/2005,71.5,,70.1,0.6
01/04/2005,74.1,,70.4,0.4
01/05/2005,70.3,,70.7,0.4
01/06/2005,76.8,,71.1,0.6
01/07/2005,71.1,,71.5,0.6
01/08/2005,71.8,,72.0,0.7
01/09/2005,77.5,,72.5,0.7
01/10/2005,75.2,,73.0,0.7
01/11/2005,79.2,,73.6,0.8
01/12/2005,69.0,,74.2,0.8
01/01/2006,70.3,12.7,74.8,0.8
01/02/2006,69.7,8.1,75.4,0.8
01/03/2006,82.6,15.5,76.1,0.9
01/04/2006,72.1,-2.7,76.8,0.9
01/05/2006,82.8,17.8,77.4,0.8
01/06/2006,79.3,3.3,78.1,0.9
01/07/2006,78.2,10.0,78.7,0.8
01/08/2006,79.4,10.6,79.3,0.8
01/09/2006,81.6,5.3,79.9,0.8
01/10/2006,83.9,11.6,80.5,0.8
01/11/2006,86.2,8.8,81.0,0.6
01/12/2006,70.8,2.6,81.4,0.5
01/01/2007,79.4,12.9,81.8,0.5
01/02/2007,76.5,9.8,82.2,0.5
01/03/2007,88.9,7.6,82.5,0.4
01/04/2007,79.0,9.6,82.8,0.4
01/05/2007,84.4,1.9,83.1,0.4
01/06/2007,84.5,6.6,83.4,0.4
01/07/2007,85.1,8.8,83.7,0.4
01/08/2007,83.5,5.2,84.0,0.4
01/09/2007,83.0,1.7,84.3,0.4
01/10/2007,91.4,8.9,84.6,0.4
01/11/2007,89.4,3.7,84.8,0.2
01/12/2007,68.8,-2.8,85.1,0.4
01/01/2008,84.5,6.4,85.3,0.2
01/02/2008,84.2,10.1,85.4,0.1
01/03/2008,82.3,-7.4,85.4,0.0
01/04/2008,92.1,16.6,85.2,-0.2
01/05/2008,83.9,-0.6,84.7,-0.6
01/06/2008,86.4,2.2,84.1,-0.7
01/07/2008,88.7,4.2,83.3,-1.0
01/08/2008,77.4,-7.3,82.3,-1.2
01/09/2008,88.3,6.4,81.2,-1.3
01/10/2008,89.0,-2.6,80.0,-1.5
01/11/2008,79.9,-10.6,78.8,-1.5
01/12/2008,66.9,-2.8,77.6,-1.5
01/01/2009,68.6,-18.8,76.4,-1.5
01/02/2009,68.3,-18.9,75.4,-1.3
01/03/2009,77.2,-6.2,74.6,-1.1
01/04/2009,73.5,-20.2,73.9,-0.9
01/05/2009,71.2,-15.1,73.5,-0.5
01/06/2009,74.1,-14.2,73.2,-0.4
01/07/2009,77.7,-12.4,73.1,-0.1
01/08/2009,69.6,-10.1,73.2,0.1
01/09/2009,79.5,-10.0,73.4,0.3
01/10/2009,80.4,-9.7,73.8,0.5
01/11/2009,77.0,-3.6,74.4,0.8
01/12/2009,66.8,-0.1,74.9,0.7
01/01/2010,66.1,-3.6,75.4,0.7
01/02/2010,69.4,1.6,75.9,0.7
01/03/2010,85.4,10.6,76.4,0.7
01/04/2010,77.7,5.7,76.8,0.5
01/05/2010,76.2,7.0,77.2,0.5
01/06/2010,82.3,11.1,77.6,0.5
01/07/2010,80.6,3.7,77.9,0.4
01/08/2010,76.4,9.8,78.3,0.5
01/09/2010,83.7,5.3,78.6,0.4
01/10/2010,82.8,3.0,79.0,0.5
01/11/2010,83.8,8.8,79.2,0.3
01/12/2010,71.6,7.2,79.5,0.4
01/01/2011,73.4,11.0,79.8,0.4
01/02/2011,76.0,9.5,80.1,0.4
01/03/2011,89.2,4.4,80.2,0.1
01/04/2011,78.8,1.4,80.3,0.1
01/05/2011,87.9,15.4,80.4,0.1
01/06/2011,78.6,-4.5,80.5,0.1
01/07/2011,80.2,-0.5,80.5,0.0
01/08/2011,81.5,6.7,80.5,0.0
01/09/2011,85.3,1.9,80.5,0.0
01/10/2011,81.9,-1.1,80.4,-0.1
01/11/2011,86.3,3.0,80.3,-0.1
01/12/2011,72.3,1.0,80.2,-0.1
01/01/2012,75.8,3.3,80.1,-0.1
01/02/2012,76.9,1.2,80.0,-0.1
01/03/2012,87.0,-2.5,80.0,0.0
01/04/2012,77.0,-2.3,79.9,-0.1
01/05/2012,82.3,-6.4,79.9,0.0
01/06/2012,81.4,3.6,79.9,0.0
01/07/2012,82.2,2.5,79.9,0.0
01/08/2012,80.8,-0.9,79.9,0.0
01/09/2012,79.6,-6.7,80.0,0.1
01/10/2012,86.7,5.9,80.0,0.0
01/11/2012,83.8,-2.9,80.0,0.0
01/12/2012,64.1,-11.3,80.1,0.1
01/01/2013,77.6,2.4,80.2,0.1
01/02/2013,74.2,-3.5,80.2,0.0
01/03/2013,79.2,-9.0,80.3,0.1
01/04/2013,84.2,9.4,80.4,0.1
01/05/2013,80.2,-2.6,80.6,0.2
01/06/2013,81.2,-0.2,80.8,0.2
01/07/2013,86.8,5.6,81.1,0.4
01/08/2013,79.1,-2.1,81.4,0.4
01/09/2013,83.0,4.3,81.7,0.4
01/10/2013,88.7,2.3,81.9,0.2
01/11/2013,84.3,0.6,82.2,0.4
01/12/2013,68.2,6.4,82.4,0.2
01/01/2014,80.0,3.1,82.6,0.2
01/02/2014,78.5,5.8,82.8,0.2
01/03/2014,86.3,9.0,82.9,0.1
01/04/2014,84.7,0.6,83.0,0.1
01/05/2014,83.7,4.4,83.1,0.1
01/06/2014,81.3,0.1,83.3,0.2
01/07/2014,89.6,3.2,83.4,0.1
01/08/2014,76.7,-3.0,83.5,0.1
01/09/2014,87.9,5.9,83.6,0.1
01/10/2014,90.1,1.6,83.8,0.2
01/11/2014,84.1,-0.2,84.0,0.2
01/12/2014,72.5,6.3,84.2,0.2
01/01/2015,78.7,-1.6,84.4,0.2
01/02/2015,79.5,1.3,84.7,0.4
01/03/2015,92.0,6.6,84.9,0.2
01/04/2015,85.5,0.9,85.2,0.4
01/05/2015,81.4,-2.7,85.5,0.4
01/06/2015,89.9,10.6,85.8,0.4
01/07/2015,91.4,2.0,86.1,0.3
01/08/2015,80.5,5.0,86.4,0.3
01/09/2015,91.1,3.6,86.7,0.3
01/10/2015,93.1,3.3,87.0,0.3
01/11/2015,90.6,7.7,87.3,0.3
01/12/2015,77.5,6.9,87.6,0.3
01/01/2016,79.4,0.9,87.9,0.3
01/02/2016,87.3,9.8,88.1,0.2
01/03/2016,93.0,1.1,88.3,0.2
01/04/2016,93.8,9.7,88.6,0.3
01/05/2016,87.8,7.9,88.8,0.2
01/06/2016,95.5,6.2,89.1,0.3
01/07/2016,87.3,-4.5,89.3,0.2
01/08/2016,89.6,11.3,89.6,0.3
01/09/2016,94.3,3.5,89.9,0.3
01/10/2016,90.9,-2.4,90.2,0.3
01/11/2016,97.0,7.1,90.5,0.3
01/12/2016,82.0,5.8,90.9,0.4
01/01/2017,86.4,8.8,91.3,0.4
01/02/2017,87.1,-0.2,91.7,0.4
01/03/2017,103.6,11.4,92.2,0.5
01/04/2017,87.3,-6.9,92.7,0.5
01/05/2017,98.5,12.2,93.1,0.4
01/06/2017,94.5,-1.0,93.6,0.5
01/07/2017,91.9,5.3,94.0,0.4
01/08/2017,94.6,5.6,94.4,0.4
01/09/2017,96.2,2.0,94.7,0.3
01/10/2017,95.0,4.5,95.0,0.3
01/11/2017,102.8,6.0,95.3,0.3
01/12/2017,81.1,-1.1,95.5,0.2
01/01/2018,94.5,9.4,95.6,0.1
01/02/2018,90.4,3.8,95.7,0.1
01/03/2018,99.5,-4.0,95.9,0.2
01/04/2018,95.5,9.4,96.1,0.2
01/05/2018,96.3,-2.2,96.3,0.2
01/06/2018,100.1,5.9,96.4,0.1
01/07/2018,97.5,6.1,96.6,0.2
01/08/2018,96.0,1.5,96.8,0.2
01/09/2018,94.3,-2.0,97.0,0.2
01/10/2018,104.2,9.7,97.1,0.1
01/11/2018,103.5,0.7,97.3,0.2
01/12/2018,79.0,-2.6,97.4,0.1
01/01/2019,96.7,2.3,97.4,0.0
01/02/2019,94.0,4.0,97.4,0.0
01/03/2019,101.4,1.9,97.3,-0.1
01/04/2019,98.2,2.8,97.3,0.0
01/05/2019,101.1,5.0,97.2,-0.1
01/06/2019,91.1,-9.0,97.0,-0.2
01/07/2019,102.4,5.0,96.8,-0.2
01/08/2019,92.3,-3.9,96.5,-0.3
01/09/2019,96.7,2.5,96.2,-0.3
01/10/2019,103.0,-1.2,95.8,-0.4
01/11/2019,99.0,-4.3,95.5,-0.3
01/12/2019,79.3,0.4,95.2,-0.3
01/01/2020,94.9,-1.9,95.1,-0.1
01/02/2020,94.6,0.6,94.9,-0.2
01/03/2020,102.1,0.7,94.9,0.0
01/04/2020,84.6,-13.8,94.9,0.0
01/05/2020,87.2,-13.7,95.0,0.1
01/06/2020,94.3,3.5,95.3,0.3
01/07/2020,100.4,-2.0,95.8,0.5
01/08/2020,89.8,-2.7,96.3,0.5
01/09/2020,101.7,5.2,96.9,0.6
01/10/2020,104.8,1.7,97.4,0.5
01/11/2020,103.2,4.2,98.0,0.6
01/12/2020,89.9,13.4,98.5,0.5
01/01/2021,89.3,-5.9,98.9,0.4
01/02/2021,93.4,-1.3,99.3,0.4
01/03/2021,114.4,12.0,99.7,0.4
01/04/2021,100.8,19.1,99.9,0.2
01/05/2021,97.8,12.2,99.9,0.0
01/06/2021,105.4,11.8,100.0,0.1
01/07/2021,100.9,0.5,99.9,-0.1
01/08/2021,94.0,4.7,99.8,-0.1
01/09/2021,102.0,0.3,99.8,0.0
01/10/2021,102.7,-2.0,99.7,-0.1
01/11/2021,106.5,3.2,99.7,0.0
01/12/2021,92.7,3.1,99.7,0.0
01/01/2022,93.7,4.9,99.6,-0.1
01/02/2022,97.3,4.2,99.5,-0.1
01/03/2022,112.7,-1.5,99.4,-0.1
01/04/2022,95.8,-5.0,99.3,-0.1
01/05/2022,103.1,5.4,99.1,-0.2
01/06/2022,100.4,-4.7,98.9,-0.2
01/07/2022,95.7,-5.2,98.7,-0.2
01/08/2022,97.6,3.8,98.4,-0.3
01/09/2022,102.3,0.3,98.1,-0.3
01/10/2022,98.2,-4.4,97.8,-0.3
01/11/2022,105.8,-0.7,97.5,-0.3
01/12/2022,87.0,-6.1,97.2,-0.3
01/01/2023,92.8,-1.0,96.9,-0.3
01/02/2023,93.4,-4.0,96.6,-0.3
01/03/2023,108.4,-3.8,96.4,-0.2
01/04/2023,89.4,-6.7,96.1,-0.3
01/05/2023,98.1,-4.8,95.9,-0.2
01/06/2023,100.8,0.4,95.6,-0.3
01/07/2023,93.7,-2.1,95.5,-0.1
01/08/2023,94.4,-3.3,95.3,-0.2
01/09/2023,96.0,-6.2,95.1,-0.2
01/10/2023,97.0,-1.2,95.0,-0.1
01/11/2023,102.0,-3.6,95.0,0.0
01/12/2023,78.8,-9.4,94.9,-0.1
01/01/2024,92.6,-0.2,94.9,0.0
01/02/2024,96.2,3.0,94.9,0.0
01/03/2024,96.5,-11.0,94.9,0.0
01/04/2024,100.1,12.0,94.9,0.0
01/05/2024,93.9,-4.3,94.9,0.0
01/06/2024,95.3,-5.5,94.9,0.0
01/07/2024,99.9,6.6,94.9,0.0
01/08/2024,90.4,-4.2,94.9,0.0
01/09/2024,94.9,-1.1,94.9,0.0
01/10/2024,102.2,5.4,94.9,0.0
01/11/2024,98.5,-3.4,94.8,-0.1
01/12/2024,78.6,-0.3,94.8,0.0
01/01/2025,92.4,-0.2,94.8,0.0
01/02/2025,91.5,-4.9,94.7,-0.1
01/03/2025,99.5,3.1,94.7,0.0
01/04/2025,96.1,-4.0,94.7,0.0
01/05/2025,96.0,2.2,94.7,0.0
01/06/2025,91.8,-3.7,94.7,0.0
01/07/2025,101.1,1.2,94.7,0.0
01/08/2025,86.2,-4.6,94.7,0.0
01/09/2025,98.2,3.5,94.8,0.1
01/10/2025,101.4,-0.8,94.8,0.0
01/11/2025,96.3,-2.2,94.8,0.0
01/12/2025,82.3,4.7,94.8,0.0
01/01/2026,88.3,-4.4,94.8,0.0
01/02/2026,91.6,0.1,94.8,0.0
