date,indicator,value
01/03/2012,verbraucherpreisindex_2020100,91.7
01/03/2012,index_der_einzelhandelspreise_2020100,94.2
01/03/2012,index_der_erzeugerpreise_gewerblicher_produkte_2021100,90.6
01/03/2012,index_der_grosshandelsverkaufspreise_2021100,93.3
01/03/2012,index_der_einfuhrpreise_2021100,100.7
01/03/2012,index_der_ausfuhrpreise_2021100,93.4
01/04/2012,verbraucherpreisindex_2020100,91.6
01/04/2012,index_der_einzelhandelspreise_2020100,94.3
01/04/2012,index_der_erzeugerpreise_gewerblicher_produkte_2021100,90.8
01/04/2012,index_der_grosshandelsverkaufspreise_2021100,93.7
01/04/2012,index_der_einfuhrpreise_2021100,100.4
01/04/2012,index_der_ausfuhrpreise_2021100,93.7
01/05/2012,verbraucherpreisindex_2020100,91.5
01/05/2012,index_der_einzelhandelspreise_2020100,94.1
01/05/2012,index_der_erzeugerpreise_gewerblicher_produkte_2021100,90.5
01/05/2012,index_der_grosshandelsverkaufspreise_2021100,93.2
01/05/2012,index_der_einfuhrpreise_2021100,100.0
01/05/2012,index_der_ausfuhrpreise_2021100,93.6
01/06/2012,verbraucherpreisindex_2020100,91.4
01/06/2012,index_der_einzelhandelspreise_2020100,93.9
01/06/2012,index_der_erzeugerpreise_gewerblicher_produkte_2021100,90.1
01/06/2012,index_der_grosshandelsverkaufspreise_2021100,92.3
01/06/2012,index_der_einfuhrpreise_2021100,98.6
01/06/2012,index_der_ausfuhrpreise_2021100,93.4
01/07/2012,verbraucherpreisindex_2020100,91.7
01/07/2012,index_der_einzelhandelspreise_2020100,93.5
01/07/2012,index_der_erzeugerpreise_gewerblicher_produkte_2021100,90.1
01/07/2012,index_der_grosshandelsverkaufspreise_2021100,92.4
01/07/2012,index_der_einfuhrpreise_2021100,99.0
01/07/2012,index_der_ausfuhrpreise_2021100,93.6
01/08/2012,verbraucherpreisindex_2020100,92.1
01/08/2012,index_der_einzelhandelspreise_2020100,93.9
01/08/2012,index_der_erzeugerpreise_gewerblicher_produkte_2021100,90.5
01/08/2012,index_der_grosshandelsverkaufspreise_2021100,93.1
01/08/2012,index_der_einfuhrpreise_2021100,100.0
01/08/2012,index_der_ausfuhrpreise_2021100,93.8
01/09/2012,verbraucherpreisindex_2020100,92.2
01/09/2012,index_der_einzelhandelspreise_2020100,94.4
01/09/2012,index_der_erzeugerpreise_gewerblicher_produkte_2021100,90.8
01/09/2012,index_der_grosshandelsverkaufspreise_2021100,94.0
01/09/2012,index_der_einfuhrpreise_2021100,99.3
01/09/2012,index_der_ausfuhrpreise_2021100,93.8
01/10/2012,verbraucherpreisindex_2020100,92.2
01/10/2012,index_der_einzelhandelspreise_2020100,94.7
01/10/2012,index_der_erzeugerpreise_gewerblicher_produkte_2021100,90.8
01/10/2012,index_der_grosshandelsverkaufspreise_2021100,93.4
01/10/2012,index_der_einfuhrpreise_2021100,98.8
01/10/2012,index_der_ausfuhrpreise_2021100,93.6
01/11/2012,verbraucherpreisindex_2020100,92.2
01/11/2012,index_der_einzelhandelspreise_2020100,94.7
01/11/2012,index_der_erzeugerpreise_gewerblicher_produkte_2021100,90.8
01/11/2012,index_der_grosshandelsverkaufspreise_2021100,93.0
01/11/2012,index_der_einfuhrpreise_2021100,98.8
01/11/2012,index_der_ausfuhrpreise_2021100,93.7
01/12/2012,verbraucherpreisindex_2020100,92.5
01/12/2012,index_der_einzelhandelspreise_2020100,94.6
01/12/2012,index_der_erzeugerpreise_gewerblicher_produkte_2021100,90.6
01/12/2012,index_der_grosshandelsverkaufspreise_2021100,93.0
01/12/2012,index_der_einfuhrpreise_2021100,98.3
01/12/2012,index_der_ausfuhrpreise_2021100,93.4
01/01/2013,verbraucherpreisindex_2020100,92.1
01/01/2013,index_der_einzelhandelspreise_2020100,94.2
01/01/2013,index_der_erzeugerpreise_gewerblicher_produkte_2021100,91.1
01/01/2013,index_der_grosshandelsverkaufspreise_2021100,93.3
01/01/2013,index_der_einfuhrpreise_2021100,98.2
01/01/2013,index_der_ausfuhrpreise_2021100,93.4
01/02/2013,verbraucherpreisindex_2020100,92.6
01/02/2013,index_der_einzelhandelspreise_2020100,94.6
01/02/2013,index_der_erzeugerpreise_gewerblicher_produkte_2021100,90.9
01/02/2013,index_der_grosshandelsverkaufspreise_2021100,93.3
01/02/2013,index_der_einfuhrpreise_2021100,98.5
01/02/2013,index_der_ausfuhrpreise_2021100,93.3
