datum,originalwert_kettenindex_2015100,originalwert_vernderung_gegenber_vorjahresquartal_in_,trendkonjunkturkomponente_bv_41_kettenindex_2015100,trendkonjunkturkomponente_bv_41_vernderung_gegenber_vorquartal_in_,kalender_und_saisonbereinigte_werte_bv_41_kettenindex_2015100,kalender_und_saisonbereinigte_werte_bv_41_vernderung_gegenber_vorquartal_in_,restkomponente_bv_41
01/07/1995,83.44,,83.67,0.6,83.63,0.2,-0.0
01/10/1995,87.12,,84.01,0.4,83.81,0.2,-0.2
01/01/1996,81.90,2.3,84.28,0.3,84.41,0.7,0.1
01/04/1996,83.43,1.0,84.51,0.3,84.39,-0.0,-0.1
01/07/1996,84.83,1.7,84.77,0.3,84.85,0.5,0.1
01/10/1996,88.37,1.4,84.91,0.2,84.91,0.1,-0.0
01/01/1997,81.87,-0.0,85.03,0.1,84.99,0.1,-0.0
01/04/1997,84.60,1.4,85.23,0.2,85.34,0.4,0.1
01/07/1997,85.18,0.4,85.36,0.2,85.20,-0.2,-0.2
01/10/1997,89.39,1.2,85.58,0.3,85.75,0.6,0.2
01/01/1998,83.02,1.4,85.81,0.3,85.74,-0.0,-0.1
01/04/1998,84.74,0.2,86.20,0.5,86.01,0.3,-0.2
01/07/1998,86.97,2.1,86.78,0.7,86.90,1.0,0.1
01/10/1998,91.24,2.1,87.37,0.7,87.31,0.5,-0.1
01/01/1999,85.45,2.9,87.99,0.7,88.21,1.0,0.2
01/04/1999,87.42,3.2,88.39,0.5,88.29,0.1,-0.1
01/07/1999,88.83,2.1,88.76,0.4,88.63,0.4,-0.1
01/10/1999,93.27,2.2,89.30,0.6,89.45,0.9,0.2
01/01/2000,87.03,1.8,89.78,0.5,89.54,0.1,-0.2
01/04/2000,89.75,2.7,90.25,0.5,90.55,1.1,0.3
01/07/2000,90.74,2.2,90.51,0.3,90.61,0.1,0.1
01/10/2000,93.30,0.0,90.66,0.2,90.12,-0.5,-0.5
01/01/2001,88.46,1.6,91.03,0.4,91.31,1.3,0.3
01/04/2001,90.32,0.6,91.28,0.3,91.37,0.1,0.1
01/07/2001,91.47,0.8,91.25,-0.0,91.17,-0.2,-0.1
01/10/2001,94.88,1.7,90.87,-0.4,91.22,0.1,0.4
01/01/2002,86.65,-2.0,90.34,-0.6,90.20,-1.1,-0.1
01/04/2002,88.49,-2.0,90.04,-0.3,89.66,-0.6,-0.4
01/07/2002,90.77,-0.8,90.01,-0.0,90.08,0.5,0.1
01/10/2002,94.16,-0.8,90.16,0.2,90.32,0.3,0.2
01/01/2003,86.66,0.0,90.36,0.2,90.20,-0.1,-0.2
01/04/2003,89.43,1.1,90.53,0.2,90.68,0.5,0.1
01/07/2003,91.42,0.7,90.62,0.1,90.70,0.0,0.1
01/10/2003,94.10,-0.1,90.70,0.1,90.57,-0.1,-0.1
01/01/2004,87.68,1.2,90.76,0.1,90.88,0.3,0.1
01/04/2004,89.89,0.5,90.74,-0.0,90.68,-0.2,-0.1
01/07/2004,91.35,-0.1,90.82,0.1,90.70,0.0,-0.1
01/10/2004,95.00,1.0,91.06,0.3,91.10,0.4,0.0
01/01/2005,87.80,0.1,91.32,0.3,91.39,0.3,0.1
01/04/2005,91.35,1.6,91.52,0.2,91.59,0.2,0.1
01/07/2005,92.38,1.1,91.67,0.2,91.70,0.1,0.0
01/10/2005,95.15,0.2,91.85,0.2,91.57,-0.1,-0.3
01/01/2006,89.08,1.5,92.28,0.5,92.38,0.9,0.1
01/04/2006,91.96,0.7,92.72,0.5,92.75,0.4,0.0
01/07/2006,93.53,1.2,92.98,0.3,92.92,0.2,-0.1
01/10/2006,97.06,2.0,93.10,0.1,93.56,0.7,0.5
01/01/2007,88.86,-0.2,92.93,-0.2,92.54,-1.1,-0.4
