date,indicator,value
01/07/1997,originalwert_kettenindex_2020100,82.39
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,82.50
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.2
01/10/1997,originalwert_kettenindex_2020100,86.67
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,83.06
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.7
01/01/1998,originalwert_kettenindex_2020100,80.81
01/01/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.6
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,83.53
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.6
01/04/1998,originalwert_kettenindex_2020100,82.05
01/04/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.3
01/04/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,83.23
01/04/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.4
01/07/1998,originalwert_kettenindex_2020100,83.85
01/07/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.8
01/07/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,83.90
01/07/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.8
01/10/1998,originalwert_kettenindex_2020100,88.58
01/10/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.2
01/10/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,84.61
01/10/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.8
01/01/1999,originalwert_kettenindex_2020100,83.33
01/01/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.1
01/01/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,85.89
01/01/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.5
01/04/1999,originalwert_kettenindex_2020100,84.94
01/04/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.5
01/04/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,86.26
01/04/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.4
01/07/1999,originalwert_kettenindex_2020100,86.29
01/07/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.9
01/07/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,86.24
01/07/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.0
01/10/1999,originalwert_kettenindex_2020100,91.47
01/10/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.3
01/10/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,87.27
01/10/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.2
01/01/2000,originalwert_kettenindex_2020100,85.43
01/01/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.5
01/01/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,87.85
01/01/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.7
01/04/2000,originalwert_kettenindex_2020100,87.52
01/04/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.0
01/04/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,88.60
01/04/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.9
01/07/2000,originalwert_kettenindex_2020100,88.63
01/07/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.7
01/07/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,88.63
01/07/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.0
01/10/2000,originalwert_kettenindex_2020100,92.09
01/10/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.7
01/10/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,88.56
01/10/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.1
01/01/2001,originalwert_kettenindex_2020100,86.83
01/01/2001,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.6
01/01/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,89.60
01/01/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.2
01/04/2001,originalwert_kettenindex_2020100,87.80
01/04/2001,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.3
01/04/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,88.90
01/04/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.8
01/07/2001,originalwert_kettenindex_2020100,89.22
01/07/2001,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.7
01/07/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,89.31
01/07/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.5
01/10/2001,originalwert_kettenindex_2020100,93.32
01/10/2001,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.3
01/10/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,89.62
01/10/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.3
01/01/2002,originalwert_kettenindex_2020100,85.81
01/01/2002,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.2
01/01/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,88.95
01/01/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.7
01/04/2002,originalwert_kettenindex_2020100,87.18
01/04/2002,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-0.7
01/04/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,88.30
01/04/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.7
01/07/2002,originalwert_kettenindex_2020100,89.38
01/07/2002,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.2
01/07/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,88.96
01/07/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.7
01/10/2002,originalwert_kettenindex_2020100,92.80
01/10/2002,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-0.6
01/10/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,89.37
01/10/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.5
01/01/2003,originalwert_kettenindex_2020100,85.93
01/01/2003,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.1
01/01/2003,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,89.23
01/01/2003,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.2
01/04/2003,originalwert_kettenindex_2020100,88.20
01/04/2003,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.2
01/04/2003,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,89.25
01/04/2003,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.0
01/07/2003,originalwert_kettenindex_2020100,90.47
01/07/2003,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.2
01/07/2003,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,89.86
01/07/2003,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.7
01/10/2003,originalwert_kettenindex_2020100,93.21
01/10/2003,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.4
01/10/2003,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,89.85
01/10/2003,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.0
01/01/2004,originalwert_kettenindex_2020100,87.18
01/01/2004,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.5
01/01/2004,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,89.92
01/01/2004,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.1
01/04/2004,originalwert_kettenindex_2020100,88.84
01/04/2004,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.7
01/04/2004,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,89.81
01/04/2004,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.1
01/07/2004,originalwert_kettenindex_2020100,90.32
