datum,originalwert_2021100,originalwert_vernderung_gegenber_vorjahresmonat_in_,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_vernderung_gegenber_vorsmonat_in_
01/03/1997,75.1,,79.4,-0.4
01/04/1997,93.8,,80.5,1.4
01/05/1997,79.9,,80.5,0.0
01/06/1997,92.7,,81.7,1.5
01/07/1997,94.6,,81.9,0.2
01/08/1997,78.4,,79.7,-2.7
01/09/1997,95.0,,80.9,1.5
01/10/1997,93.0,,80.1,-1.0
01/11/1997,82.2,,78.7,-1.7
01/12/1997,60.9,,78.3,-0.5
01/01/1998,55.8,10.7,77.4,-1.1
01/02/1998,56.2,-6.6,75.4,-2.6
01/03/1998,78.4,4.4,78.5,4.1
01/04/1998,81.4,-13.2,76.5,-2.5
01/05/1998,80.2,0.4,78.2,2.2
01/06/1998,87.1,-6.0,78.9,0.9
01/07/1998,91.8,-3.0,78.8,-0.1
01/08/1998,77.3,-1.4,77.7,-1.4
01/09/1998,91.3,-3.9,77.4,-0.4
01/10/1998,89.7,-3.5,76.6,-1.0
01/11/1998,80.8,-1.7,75.5,-1.4
01/12/1998,57.7,-5.3,73.3,-2.9
01/01/1999,56.0,0.4,79.1,7.9
01/02/1999,51.0,-9.3,70.2,-11.3
01/03/1999,79.4,1.3,78.4,11.7
01/04/1999,81.2,-0.2,76.6,-2.3
01/05/1999,78.9,-1.6,77.0,0.5
01/06/1999,89.0,2.2,76.7,-0.4
01/07/1999,86.5,-5.8,77.2,0.7
01/08/1999,79.6,3.0,76.2,-1.3
01/09/1999,89.8,-1.6,76.0,-0.3
01/10/1999,85.5,-4.7,76.7,0.9
01/11/1999,81.4,0.7,75.6,-1.4
01/12/1999,61.4,6.4,75.0,-0.8
01/01/2000,53.0,-5.4,75.1,0.1
01/02/2000,61.7,21.0,79.1,5.3
01/03/2000,76.5,-3.7,76.3,-3.5
01/04/2000,72.9,-10.2,75.4,-1.2
01/05/2000,88.4,12.0,75.3,-0.1
01/06/2000,77.3,-13.1,72.4,-3.9
01/07/2000,79.0,-8.7,73.0,0.8
01/08/2000,79.3,-0.4,73.1,0.1
01/09/2000,80.7,-10.1,71.0,-2.9
01/10/2000,78.0,-8.8,69.3,-2.4
01/11/2000,77.4,-4.9,71.4,3.0
01/12/2000,54.9,-10.6,70.4,-1.4
01/01/2001,48.2,-9.1,68.5,-2.7
01/02/2001,50.0,-19.0,69.3,1.2
01/03/2001,62.8,-17.9,64.2,-7.4
01/04/2001,64.4,-11.7,63.4,-1.2
01/05/2001,74.9,-15.3,66.2,4.4
01/06/2001,71.0,-8.2,65.8,-0.6
01/07/2001,74.9,-5.2,65.1,-1.1
01/08/2001,73.0,-7.9,66.8,2.6
01/09/2001,72.3,-10.4,66.2,-0.9
01/10/2001,78.6,0.8,66.7,0.8
01/11/2001,71.4,-7.8,65.5,-1.8
01/12/2001,48.9,-10.9,66.3,1.2
01/01/2002,45.0,-6.6,65.1,-1.8
01/02/2002,48.7,-2.6,67.9,4.3
01/03/2002,60.3,-4.0,65.2,-4.0
01/04/2002,70.9,10.1,64.0,-1.8
01/05/2002,66.1,-11.7,63.0,-1.6
01/06/2002,69.5,-2.1,62.0,-1.6
01/07/2002,74.7,-0.3,61.5,-0.8
01/08/2002,65.6,-10.1,62.5,1.6
01/09/2002,71.4,-1.2,62.2,-0.5
01/10/2002,72.7,-7.5,61.1,-1.8
01/11/2002,65.9,-7.7,61.6,0.8
01/12/2002,44.3,-9.4,59.7,-3.1
01/01/2003,39.7,-11.8,60.0,0.5
01/02/2003,38.8,-20.3,57.0,-5.0
01/03/2003,57.6,-4.5,62.1,8.9
01/04/2003,65.0,-8.3,61.4,-1.1
01/05/2003,65.6,-0.8,60.5,-1.5
01/06/2003,67.1,-3.5,61.8,2.1
01/07/2003,75.4,0.9,62.1,0.5
01/08/2003,60.6,-7.6,60.1,-3.2
01/09/2003,72.5,1.5,60.4,0.5
01/10/2003,71.0,-2.3,59.8,-1.0
01/11/2003,63.2,-4.1,59.5,-0.5
01/12/2003,47.2,6.5,60.9,2.4
01/01/2004,37.1,-6.5,58.1,-4.6
01/02/2004,41.9,8.0,60.0,3.3
01/03/2004,58.9,2.3,60.4,0.7
01/04/2004,61.8,-4.9,58.4,-3.3
01/05/2004,60.6,-7.6,58.5,0.2
01/06/2004,68.9,2.7,57.7,-1.4
01/07/2004,67.4,-10.6,57.3,-0.7
01/08/2004,60.3,-0.5,56.3,-1.7
01/09/2004,68.2,-5.9,56.3,0.0
01/10/2004,63.7,-10.3,55.5,-1.4
01/11/2004,60.9,-3.6,55.2,-0.5
01/12/2004,44.8,-5.1,55.9,1.3
01/01/2005,33.7,-9.2,52.5,-6.1
01/02/2005,30.5,-27.2,47.8,-9.0
01/03/2005,41.2,-30.1,44.7,-6.5
01/04/2005,56.3,-8.9,50.2,12.3
01/05/2005,54.9,-9.4,52.0,3.6
01/06/2005,63.7,-7.5,52.2,0.4
01/07/2005,59.0,-12.5,52.5,0.6
01/08/2005,58.2,-3.5,52.1,-0.8
01/09/2005,62.2,-8.8,51.9,-0.4
01/10/2005,57.3,-10.0,52.8,1.7
01/11/2005,57.1,-6.2,50.9,-3.6
01/12/2005,42.5,-5.1,54.2,6.5
01/01/2006,30.4,-9.8,48.0,-11.4
01/02/2006,33.1,8.5,50.3,4.8
01/03/2006,45.9,11.4,45.6,-9.3
