datum,originalwert_2021100,originalwert_vernderung_gegenber_vorjahresmonat_in_,trendkonjunkturkomponente_bv_41_2021100,trendkonjunkturkomponente_bv_41_vernderung_gegenber_vormonat_in_
01/03/1997,72.0,,81.2,-0.6
01/04/1997,95.5,,80.8,-0.5
01/05/1997,80.2,,80.4,-0.5
01/06/1997,94.0,,80.3,-0.1
01/07/1997,95.9,,80.2,-0.1
01/08/1997,80.4,,80.2,0.0
01/09/1997,98.8,,80.1,-0.1
01/10/1997,97.7,,80.1,0.0
01/11/1997,87.2,,80.0,-0.1
01/12/1997,61.6,,79.6,-0.5
01/01/1998,48.3,39.2,79.2,-0.5
01/02/1998,49.6,2.5,78.6,-0.8
01/03/1998,75.2,4.4,77.8,-1.0
01/04/1998,81.5,-14.7,77.3,-0.6
01/05/1998,79.9,-0.4,76.9,-0.5
01/06/1998,87.5,-6.9,76.6,-0.4
01/07/1998,91.9,-4.2,76.4,-0.3
01/08/1998,78.5,-2.4,76.2,-0.3
01/09/1998,94.5,-4.4,76.1,-0.1
01/10/1998,92.1,-5.7,76.2,0.1
01/11/1998,82.7,-5.2,76.3,0.1
01/12/1998,54.7,-11.2,76.8,0.7
01/01/1999,49.9,3.3,77.2,0.5
01/02/1999,44.9,-9.5,77.7,0.6
01/03/1999,79.9,6.3,78.1,0.5
01/04/1999,85.8,5.3,78.6,0.6
01/05/1999,82.7,3.5,79.0,0.5
01/06/1999,93.8,7.2,79.3,0.4
01/07/1999,91.1,-0.9,79.6,0.4
01/08/1999,85.6,9.0,79.8,0.3
01/09/1999,97.8,3.5,79.9,0.1
01/10/1999,94.2,2.3,79.8,-0.1
01/11/1999,88.8,7.4,79.5,-0.4
01/12/1999,64.5,17.9,79.1,-0.5
01/01/2000,48.6,-2.6,78.7,-0.5
01/02/2000,60.6,35.0,78.2,-0.6
01/03/2000,75.5,-5.5,77.8,-0.5
01/04/2000,76.0,-11.4,77.4,-0.5
01/05/2000,93.5,13.1,77.1,-0.4
01/06/2000,80.9,-13.8,76.6,-0.6
01/07/2000,82.3,-9.7,76.1,-0.7
01/08/2000,85.0,-0.7,75.9,-0.3
01/09/2000,88.0,-10.0,75.5,-0.5
01/10/2000,85.5,-9.2,75.2,-0.4
01/11/2000,86.9,-2.1,75.1,-0.1
01/12/2000,60.7,-5.9,75.0,-0.1
01/01/2001,44.7,-8.0,74.9,-0.1
01/02/2001,51.6,-14.9,74.8,-0.1
01/03/2001,66.9,-11.4,74.6,-0.3
01/04/2001,72.8,-4.2,74.7,0.1
01/05/2001,85.8,-8.2,74.8,0.1
01/06/2001,81.3,0.5,75.0,0.3
01/07/2001,85.6,4.0,75.2,0.3
01/08/2001,85.5,0.6,75.3,0.1
01/09/2001,84.8,-3.6,75.2,-0.1
01/10/2001,92.8,8.5,75.3,0.1
01/11/2001,84.8,-2.4,75.3,0.0
01/12/2001,56.3,-7.2,75.3,0.0
01/01/2002,42.5,-4.9,75.3,0.0
01/02/2002,50.9,-1.4,75.2,-0.1
01/03/2002,67.3,0.6,74.8,-0.5
01/04/2002,83.3,14.4,74.4,-0.5
01/05/2002,76.2,-11.2,73.7,-0.9
01/06/2002,81.1,-0.2,73.0,-0.9
01/07/2002,86.1,0.6,72.5,-0.7
01/08/2002,78.0,-8.8,72.0,-0.7
01/09/2002,86.2,1.7,71.4,-0.8
01/10/2002,86.9,-6.4,70.8,-0.8
01/11/2002,80.2,-5.4,70.4,-0.6
01/12/2002,49.3,-12.4,69.9,-0.7
01/01/2003,38.3,-9.9,70.1,0.3
01/02/2003,38.3,-24.8,69.9,-0.3
01/03/2003,64.8,-3.7,69.9,0.0
01/04/2003,76.5,-8.2,69.9,0.0
01/05/2003,74.8,-1.8,69.9,0.0
01/06/2003,76.3,-5.9,69.8,-0.1
01/07/2003,85.3,-0.9,69.7,-0.1
01/08/2003,70.9,-9.1,69.1,-0.9
01/09/2003,85.1,-1.3,68.7,-0.6
01/10/2003,84.3,-3.0,68.4,-0.4
01/11/2003,75.7,-5.6,68.0,-0.6
01/12/2003,54.3,10.1,67.6,-0.6
