date,indicator,value
01/03/1997,originalwert_2021100,123.1
01/03/1997,trendkonjunkturkomponente_bv_41_2021100,118.4
01/03/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.3
01/04/1997,originalwert_2021100,118.7
01/04/1997,trendkonjunkturkomponente_bv_41_2021100,118.1
01/04/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.3
01/05/1997,originalwert_2021100,109.4
01/05/1997,trendkonjunkturkomponente_bv_41_2021100,117.8
01/05/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.3
01/06/1997,originalwert_2021100,104.2
01/06/1997,trendkonjunkturkomponente_bv_41_2021100,117.4
01/06/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.3
01/07/1997,originalwert_2021100,106.2
01/07/1997,trendkonjunkturkomponente_bv_41_2021100,117.1
01/07/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.3
01/08/1997,originalwert_2021100,101.4
01/08/1997,trendkonjunkturkomponente_bv_41_2021100,116.9
01/08/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.2
01/09/1997,originalwert_2021100,106.5
01/09/1997,trendkonjunkturkomponente_bv_41_2021100,116.6
01/09/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.3
01/10/1997,originalwert_2021100,121.6
01/10/1997,trendkonjunkturkomponente_bv_41_2021100,116.8
01/10/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.2
01/11/1997,originalwert_2021100,127.9
01/11/1997,trendkonjunkturkomponente_bv_41_2021100,116.8
01/11/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.0
01/12/1997,originalwert_2021100,130.0
01/12/1997,trendkonjunkturkomponente_bv_41_2021100,117.1
01/12/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.3
01/01/1998,originalwert_2021100,132.6
01/01/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-5.6
01/01/1998,trendkonjunkturkomponente_bv_41_2021100,117.3
01/01/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.2
01/02/1998,originalwert_2021100,118.5
01/02/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-2.0
01/02/1998,trendkonjunkturkomponente_bv_41_2021100,117.7
01/02/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.3
01/03/1998,originalwert_2021100,126.2
01/03/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,2.5
01/03/1998,trendkonjunkturkomponente_bv_41_2021100,118.0
01/03/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.3
01/04/1998,originalwert_2021100,116.6
01/04/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-1.8
01/04/1998,trendkonjunkturkomponente_bv_41_2021100,118.3
01/04/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.3
01/05/1998,originalwert_2021100,109.4
01/05/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,0.0
01/05/1998,trendkonjunkturkomponente_bv_41_2021100,118.6
01/05/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.3
01/06/1998,originalwert_2021100,105.1
01/06/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,0.9
01/06/1998,trendkonjunkturkomponente_bv_41_2021100,118.9
01/06/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.3
01/07/1998,originalwert_2021100,111.0
01/07/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,4.5
01/07/1998,trendkonjunkturkomponente_bv_41_2021100,119.0
01/07/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.1
01/08/1998,originalwert_2021100,109.4
01/08/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,7.9
01/08/1998,trendkonjunkturkomponente_bv_41_2021100,119.2
01/08/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.2
01/09/1998,originalwert_2021100,112.6
01/09/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,5.7
01/09/1998,trendkonjunkturkomponente_bv_41_2021100,119.3
01/09/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.1
01/10/1998,originalwert_2021100,122.0
01/10/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,0.3
01/10/1998,trendkonjunkturkomponente_bv_41_2021100,119.0
01/10/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.3
01/11/1998,originalwert_2021100,128.0
01/11/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,0.1
01/11/1998,trendkonjunkturkomponente_bv_41_2021100,118.9
01/11/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.1
01/12/1998,originalwert_2021100,130.9
01/12/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,0.7
01/12/1998,trendkonjunkturkomponente_bv_41_2021100,119.0
01/12/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.1
01/01/1999,originalwert_2021100,132.1
01/01/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-0.4
01/01/1999,trendkonjunkturkomponente_bv_41_2021100,118.8
01/01/1999,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.2
01/02/1999,originalwert_2021100,122.6
01/02/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,3.5
01/02/1999,trendkonjunkturkomponente_bv_41_2021100,118.8
01/02/1999,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.0
01/03/1999,originalwert_2021100,128.7
01/03/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,2.0
01/03/1999,trendkonjunkturkomponente_bv_41_2021100,118.8
01/03/1999,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.0
01/04/1999,originalwert_2021100,115.5
01/04/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-0.9
01/04/1999,trendkonjunkturkomponente_bv_41_2021100,118.8
01/04/1999,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.0
01/05/1999,originalwert_2021100,110.3
01/05/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,0.8
01/05/1999,trendkonjunkturkomponente_bv_41_2021100,118.9
01/05/1999,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.1
01/06/1999,originalwert_2021100,107.7
01/06/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,2.5
01/06/1999,trendkonjunkturkomponente_bv_41_2021100,119.2
01/06/1999,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.3
01/07/1999,originalwert_2021100,109.2
01/07/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-1.6
01/07/1999,trendkonjunkturkomponente_bv_41_2021100,119.2
01/07/1999,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.0
01/08/1999,originalwert_2021100,106.8
01/08/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-2.4
01/08/1999,trendkonjunkturkomponente_bv_41_2021100,119.3
01/08/1999,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.1
01/09/1999,originalwert_2021100,109.5
01/09/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-2.8
01/09/1999,trendkonjunkturkomponente_bv_41_2021100,119.5
01/09/1999,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.2
01/10/1999,originalwert_2021100,121.7
01/10/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-0.2
01/10/1999,trendkonjunkturkomponente_bv_41_2021100,119.9
01/10/1999,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.3
01/11/1999,originalwert_2021100,131.2
01/11/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,2.5
01/11/1999,trendkonjunkturkomponente_bv_41_2021100,120.0
01/11/1999,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.1
01/12/1999,originalwert_2021100,135.5
01/12/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,3.5
01/12/1999,trendkonjunkturkomponente_bv_41_2021100,120.3
01/12/1999,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.3
01/01/2000,originalwert_2021100,137.7
01/01/2000,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,4.2
01/01/2000,trendkonjunkturkomponente_bv_41_2021100,120.4
01/01/2000,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.1
01/02/2000,originalwert_2021100,127.2
01/02/2000,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,3.8
01/02/2000,trendkonjunkturkomponente_bv_41_2021100,120.4
01/02/2000,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.0
01/03/2000,originalwert_2021100,130.1
01/03/2000,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.1
01/03/2000,trendkonjunkturkomponente_bv_41_2021100,120.6
01/03/2000,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.2
01/04/2000,originalwert_2021100,115.8
01/04/2000,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,0.3
01/04/2000,trendkonjunkturkomponente_bv_41_2021100,120.4
01/04/2000,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.2
