datum,originalwert_2021100,originalwert_vernderung_gegenber_vorjahresmonat_in_,trendkonjunkturkomponente_bv_41_2021100,trendkonjunkturkomponente_bv_41_vernderung_gegenber_vormonat_in_
01/03/1997,105.8,,105.6,0.0
01/04/1997,115.6,,105.6,0.0
01/05/1997,87.8,,105.7,0.1
01/06/1997,110.7,,106.1,0.4
01/07/1997,100.5,,106.4,0.3
01/08/1997,76.4,,106.7,0.3
01/09/1997,124.4,,107.2,0.5
01/10/1997,124.7,,107.7,0.5
01/11/1997,119.3,,108.3,0.6
01/12/1997,98.9,,108.8,0.5
01/01/1998,99.8,-1.3,109.2,0.4
01/02/1998,108.6,4.5,109.7,0.5
01/03/1998,126.9,19.9,110.0,0.3
01/04/1998,108.9,-5.8,110.0,0.0
01/05/1998,102.6,16.9,110.0,0.0
01/06/1998,108.0,-2.4,109.8,-0.2
01/07/1998,101.4,0.9,109.3,-0.5
01/08/1998,82.7,8.2,108.9,-0.4
01/09/1998,127.6,2.6,108.3,-0.6
01/10/1998,124.0,-0.6,107.8,-0.5
01/11/1998,123.1,3.2,107.6,-0.2
01/12/1998,98.2,-0.7,107.3,-0.3
01/01/1999,94.3,-5.5,107.1,-0.2
01/02/1999,102.5,-5.6,107.0,-0.1
01/03/1999,122.3,-3.6,107.2,0.2
01/04/1999,103.6,-4.9,107.3,0.1
01/05/1999,97.8,-4.7,107.8,0.5
01/06/1999,111.7,3.4,108.0,0.2
01/07/1999,95.9,-5.4,108.5,0.5
01/08/1999,91.2,10.3,108.8,0.3
01/09/1999,127.0,-0.5,109.3,0.5
01/10/1999,123.4,-0.5,109.9,0.5
01/11/1999,130.4,5.9,110.3,0.4
01/12/1999,106.8,8.8,110.6,0.3
01/01/2000,99.5,5.5,110.8,0.2
01/02/2000,116.3,13.5,111.2,0.4
01/03/2000,124.8,2.0,111.3,0.1
01/04/2000,103.1,-0.5,111.6,0.3
01/05/2000,123.4,26.2,111.9,0.3
01/06/2000,102.6,-8.1,112.1,0.2
01/07/2000,97.5,1.7,112.3,0.2
01/08/2000,96.0,5.3,112.8,0.4
01/09/2000,124.8,-1.7,112.9,0.1
01/10/2000,123.9,0.4,113.4,0.4
01/11/2000,130.0,-0.3,113.4,0.0
01/12/2000,101.2,-5.2,113.6,0.2
01/01/2001,111.3,11.9,113.8,0.2
01/02/2001,112.0,-3.7,113.7,-0.1
01/03/2001,127.5,2.2,113.6,-0.1
01/04/2001,106.8,3.6,113.4,-0.2
01/05/2001,115.0,-6.8,113.1,-0.3
01/06/2001,109.1,6.3,112.6,-0.4
01/07/2001,98.2,0.7,112.0,-0.5
01/08/2001,98.7,2.8,111.3,-0.6
01/09/2001,117.0,-6.3,110.2,-1.0
01/10/2001,122.7,-1.0,109.2,-0.9
01/11/2001,123.1,-5.3,108.3,-0.8
01/12/2001,94.1,-7.0,107.2,-1.0
01/01/2002,103.8,-6.7,106.2,-0.9
01/02/2002,101.7,-9.2,105.2,-0.9
01/03/2002,106.7,-16.3,104.4,-0.8
01/04/2002,105.1,-1.6,103.8,-0.6
01/05/2002,90.3,-21.5,103.0,-0.8
01/06/2002,102.6,-6.0,102.3,-0.7
01/07/2002,96.7,-1.5,101.6,-0.7
01/08/2002,81.4,-17.5,101.0,-0.6
01/09/2002,113.6,-2.9,100.5,-0.5
