datum,originalwert_2021100,originalwert_vernderung_gegenber_vorjahresmonat_in_,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_vernderung_gegenber_vorsmonat_in_
01/03/1997,64.1,,66.2,1.7
01/04/1997,70.2,,65.2,-1.5
01/05/1997,59.4,,64.6,-0.9
01/06/1997,73.6,,68.0,5.3
01/07/1997,70.1,,69.2,1.8
01/08/1997,53.8,,65.6,-5.2
01/09/1997,73.2,,66.6,1.5
01/10/1997,72.0,,67.7,1.7
01/11/1997,72.1,,68.6,1.3
01/12/1997,72.7,,69.3,1.0
01/01/1998,59.0,4.1,69.7,0.6
01/02/1998,66.0,9.1,70.8,1.6
01/03/1998,78.8,22.9,72.3,2.1
01/04/1998,71.2,1.4,71.5,-1.1
01/05/1998,68.2,14.8,72.3,1.1
01/06/1998,75.1,2.0,71.3,-1.4
01/07/1998,75.8,8.1,74.3,4.2
01/08/1998,59.9,11.3,72.2,-2.8
01/09/1998,78.0,6.6,71.1,-1.5
01/10/1998,77.6,7.8,73.1,2.8
01/11/1998,78.4,8.7,71.8,-1.8
01/12/1998,78.2,7.6,73.2,1.9
01/01/1999,58.1,-1.5,71.3,-2.6
01/02/1999,66.3,0.5,71.0,-0.4
01/03/1999,80.5,2.2,71.1,0.1
01/04/1999,72.1,1.3,72.6,2.1
01/05/1999,68.5,0.4,72.8,0.3
01/06/1999,79.3,5.6,72.4,-0.5
01/07/1999,71.7,-5.4,72.6,0.3
01/08/1999,64.3,7.3,74.3,2.3
01/09/1999,79.9,2.4,73.0,-1.7
01/10/1999,76.5,-1.4,74.9,2.6
01/11/1999,81.8,4.3,74.1,-1.1
01/12/1999,80.4,2.8,73.8,-0.4
01/01/2000,63.8,9.8,75.1,1.8
01/02/2000,75.4,13.7,76.4,1.7
01/03/2000,86.2,7.1,77.1,0.9
01/04/2000,72.3,0.3,78.8,2.2
01/05/2000,84.9,23.9,80.3,1.9
01/06/2000,79.4,0.1,78.5,-2.2
01/07/2000,77.0,7.4,80.6,2.7
01/08/2000,72.7,13.1,81.1,0.6
01/09/2000,86.1,7.8,81.8,0.9
01/10/2000,82.8,8.2,81.3,-0.6
01/11/2000,89.9,9.9,81.7,0.5
01/12/2000,85.4,6.2,82.7,1.2
01/01/2001,75.2,17.9,83.5,1.0
01/02/2001,78.8,4.5,84.3,1.0
01/03/2001,90.8,5.3,83.1,-1.4
01/04/2001,77.9,7.7,81.7,-1.7
01/05/2001,83.7,-1.4,82.3,0.7
01/06/2001,83.1,4.7,82.4,0.1
01/07/2001,79.4,3.1,79.7,-3.3
01/08/2001,74.2,2.1,82.5,3.5
01/09/2001,83.0,-3.6,82.1,-0.5
01/10/2001,84.1,1.6,79.2,-3.5
01/11/2001,86.1,-4.2,78.4,-1.0
01/12/2001,77.5,-9.3,79.1,0.9
01/01/2002,72.3,-3.9,80.0,1.1
01/02/2002,74.0,-6.1,79.2,-1.0
01/03/2002,80.7,-11.1,79.8,0.8
01/04/2002,83.0,6.5,80.4,0.8
01/05/2002,74.8,-10.6,78.6,-2.2
01/06/2002,85.4,2.8,82.7,5.2
01/07/2002,82.7,4.2,79.6,-3.7
01/08/2002,71.5,-3.6,82.7,3.9
01/09/2002,85.3,2.8,81.0,-2.1
01/10/2002,84.6,0.6,79.6,-1.7
01/11/2002,87.2,1.3,82.6,3.8
01/12/2002,80.2,3.5,80.5,-2.5
01/01/2003,73.2,1.2,82.1,2.0
01/02/2003,78.9,6.6,82.8,0.9
01/03/2003,84.5,4.7,81.7,-1.3
01/04/2003,79.8,-3.9,80.5,-1.5
01/05/2003,78.5,4.9,80.3,-0.2
01/06/2003,78.7,-7.8,78.4,-2.4
01/07/2003,84.6,2.3,81.6,4.1
01/08/2003,66.2,-7.4,79.5,-2.6
01/09/2003,87.0,2.0,79.4,-0.1
01/10/2003,86.6,2.4,81.4,2.5
01/11/2003,88.3,1.3,84.6,3.9
01/12/2003,85.3,6.4,84.0,-0.7
01/01/2004,70.8,-3.3,82.2,-2.1
01/02/2004,77.4,-1.9,82.3,0.1
01/03/2004,94.1,11.4,82.8,0.6
01/04/2004,83.2,4.3,83.7,1.1
01/05/2004,81.0,3.2,86.2,3.0
01/06/2004,91.6,16.4,84.3,-2.2
01/07/2004,85.7,1.3,85.9,1.9
01/08/2004,74.9,13.1,85.9,0.0
01/09/2004,93.2,7.1,85.0,-1.0
01/10/2004,89.6,3.5,87.2,2.6
01/11/2004,91.9,4.1,83.7,-4.0
01/12/2004,88.2,3.4,83.3,-0.5
01/01/2005,73.8,4.2,85.9,3.1
01/02/2005,79.4,2.6,84.7,-1.4
01/03/2005,92.0,-2.2,87.4,3.2
01/04/2005,90.5,8.8,87.6,0.2
01/05/2005,81.8,1.0,85.7,-2.2
01/06/2005,99.8,9.0,89.2,4.1
01/07/2005,86.5,0.9,90.4,1.3
01/08/2005,77.5,3.5,86.1,-4.8
01/09/2005,100.0,7.3,91.1,5.8
01/10/2005,90.1,0.6,91.6,0.5
01/11/2005,100.0,8.8,90.7,-1.0
01/12/2005,96.1,9.0,90.7,0.0
01/01/2006,81.1,9.9,90.5,-0.2
01/02/2006,86.1,8.4,91.9,1.5
01/03/2006,103.6,12.6,90.9,-1.1
01/04/2006,84.2,-7.0,92.0,1.2
01/05/2006,95.7,17.0,93.7,1.8
01/06/2006,97.1,-2.7,93.2,-0.5
01/07/2006,91.6,5.9,96.0,3.0
01/08/2006,85.4,10.2,94.9,-1.1
01/09/2006,101.4,1.4,96.0,1.2
01/10/2006,97.8,8.5,95.3,-0.7
01/11/2006,108.4,8.4,98.3,3.1
01/12/2006,98.2,2.2,97.3,-1.0
01/01/2007,90.2,11.2,99.2,2.0
01/02/2007,93.5,8.6,99.5,0.3
01/03/2007,109.3,5.5,99.9,0.4
01/04/2007,94.0,11.6,98.6,-1.3
01/05/2007,99.3,3.8,101.3,2.7
01/06/2007,106.1,9.3,102.0,0.7
01/07/2007,102.6,12.0,103.4,1.4
01/08/2007,91.9,7.6,102.3,-1.1
01/09/2007,105.4,3.9,103.8,1.5
01/10/2007,112.6,15.1,105.0,1.2
01/11/2007,116.0,7.0,105.0,0.0
01/12/2007,100.7,2.5,104.9,-0.1
01/01/2008,98.6,9.3,108.7,3.6
01/02/2008,105.3,12.6,107.5,-1.1
01/03/2008,102.7,-6.0,105.7,-1.7
01/04/2008,115.4,22.8,107.5,1.7
01/05/2008,99.7,0.4,104.4,-2.9
01/06/2008,113.7,7.2,106.5,2.0
01/07/2008,107.2,4.5,103.8,-2.5
01/08/2008,87.9,-4.4,106.1,2.2
01/09/2008,114.6,8.7,104.3,-1.7
01/10/2008,108.1,-4.0,100.6,-3.5
01/11/2008,102.5,-11.6,97.8,-2.8
01/12/2008,95.2,-5.5,94.7,-3.2
01/01/2009,71.4,-27.6,83.2,-12.1
01/02/2009,73.9,-29.8,78.5,-5.6
01/03/2009,89.5,-12.9,81.6,3.9
01/04/2009,75.7,-34.4,76.5,-6.3
01/05/2009,77.6,-22.2,82.3,7.6
01/06/2009,86.0,-24.4,82.8,0.6
01/07/2009,82.6,-22.9,80.2,-3.1
01/08/2009,67.5,-23.2,80.6,0.5
01/09/2009,95.0,-17.1,86.6,7.4
01/10/2009,88.8,-17.9,82.3,-5.0
01/11/2009,90.9,-11.3,83.1,1.0
01/12/2009,85.9,-9.8,83.5,0.5
01/01/2010,68.6,-3.9,83.7,0.2
01/02/2010,78.7,6.5,83.3,-0.5
01/03/2010,100.4,12.2,87.4,4.9
01/04/2010,87.4,15.5,88.4,1.1
01/05/2010,87.0,12.1,92.5,4.6
01/06/2010,99.8,16.0,92.2,-0.3
01/07/2010,89.7,8.6,90.2,-2.2
01/08/2010,81.0,20.0,92.2,2.2
01/09/2010,104.5,10.0,95.4,3.5
01/10/2010,101.2,14.0,98.7,3.5
01/11/2010,108.3,19.1,97.7,-1.0
01/12/2010,108.0,25.7,102.8,5.2
01/01/2011,84.5,23.2,99.3,-3.4
01/02/2011,96.9,23.1,100.8,1.5
01/03/2011,115.5,15.0,102.0,1.2
01/04/2011,97.0,11.0,102.2,0.2
01/05/2011,111.6,28.3,105.1,2.8
01/06/2011,102.1,2.3,102.4,-2.6
01/07/2011,102.0,13.7,106.9,4.4
01/08/2011,97.6,20.5,107.0,0.1
01/09/2011,114.1,9.2,104.3,-2.5
01/10/2011,104.5,3.3,106.6,2.2
01/11/2011,117.1,8.1,105.7,-0.8
01/12/2011,109.4,1.3,104.4,-1.2
01/01/2012,93.3,10.4,105.5,1.1
01/02/2012,103.9,7.2,105.4,-0.1
01/03/2012,118.8,2.9,107.4,1.9
01/04/2012,98.9,2.0,104.2,-3.0
01/05/2012,104.8,-6.1,107.0,2.7
01/06/2012,108.7,6.5,104.8,-2.1
01/07/2012,106.7,4.6,107.4,2.5
01/08/2012,97.8,0.2,107.0,-0.4
01/09/2012,106.1,-7.0,105.3,-1.6
01/10/2012,108.7,4.0,102.3,-2.8
01/11/2012,114.0,-2.6,102.8,0.5
01/12/2012,100.1,-8.5,104.0,1.2
01/01/2013,90.9,-2.6,101.2,-2.7
01/02/2013,98.4,-5.3,103.8,2.6
01/03/2013,107.3,-9.7,105.1,1.3
01/04/2013,109.9,11.1,106.6,1.4
01/05/2013,98.7,-5.8,103.9,-2.5
01/06/2013,110.0,1.2,107.3,3.3
01/07/2013,107.3,0.6,103.6,-3.4
01/08/2013,96.1,-1.7,109.2,5.4
01/09/2013,112.2,5.7,107.0,-2.0
01/10/2013,110.9,2.0,104.5,-2.3
01/11/2013,116.1,1.8,109.1,4.4
01/12/2013,106.6,6.5,108.7,-0.4
01/01/2014,95.5,5.1,108.2,-0.5
01/02/2014,104.1,5.8,107.9,-0.3
01/03/2014,113.8,6.1,108.6,0.6
01/04/2014,106.1,-3.5,107.3,-1.2
01/05/2014,105.7,7.1,108.1,0.7
01/06/2014,106.9,-2.8,107.3,-0.7
01/07/2014,115.7,7.8,111.3,3.7
01/08/2014,87.7,-8.7,103.5,-7.0
01/09/2014,118.9,6.0,108.9,5.2
01/10/2014,114.4,3.2,108.1,-0.7
01/11/2014,114.7,-1.2,109.1,0.9
01/12/2014,110.7,3.8,110.8,1.6
01/01/2015,90.6,-5.1,107.4,-3.1
01/02/2015,103.3,-0.8,109.0,1.5
01/03/2015,120.5,5.9,108.2,-0.7
01/04/2015,108.3,2.1,109.8,1.5
01/05/2015,100.4,-5.0,111.3,1.4
01/06/2015,117.4,9.8,108.5,-2.5
01/07/2015,116.6,0.8,112.3,3.5
