datum,originalwert_2021100,originalwert_vernderung_gegenber_vorjahresmonat_in_,trendkonjunkturkomponente_bv_41_2021100,trendkonjunkturkomponente_bv_41_vernderung_gegenber_vormonat_in_
01/03/1997,71.1,,72.9,0.6
01/04/1997,77.8,,73.2,0.4
01/05/1997,67.4,,73.4,0.3
01/06/1997,78.6,,73.8,0.5
01/07/1997,76.8,,74.0,0.3
01/08/1997,64.0,,74.4,0.5
01/09/1997,80.0,,74.6,0.3
01/10/1997,80.7,,75.2,0.8
01/11/1997,78.4,,75.7,0.7
01/12/1997,72.7,,76.1,0.5
01/01/1998,69.0,4.5,76.4,0.4
01/02/1998,72.0,6.0,76.6,0.3
01/03/1998,83.5,17.4,76.9,0.4
01/04/1998,76.8,-1.3,77.1,0.3
01/05/1998,74.2,10.1,77.2,0.1
01/06/1998,79.2,0.8,77.2,0.0
01/07/1998,80.2,4.4,77.1,-0.1
01/08/1998,67.9,6.1,77.3,0.3
01/09/1998,82.5,3.1,77.0,-0.4
01/10/1998,82.8,2.6,76.9,-0.1
01/11/1998,81.5,4.0,77.0,0.1
01/12/1998,74.4,2.3,76.9,-0.1
01/01/1999,67.0,-2.9,76.8,-0.1
01/02/1999,71.2,-1.1,76.9,0.1
01/03/1999,84.8,1.6,76.9,0.0
01/04/1999,76.4,-0.5,77.0,0.1
01/05/1999,73.9,-0.4,77.2,0.3
01/06/1999,82.4,4.0,77.4,0.3
01/07/1999,77.4,-3.5,77.6,0.3
01/08/1999,72.0,6.0,77.9,0.4
01/09/1999,84.8,2.8,78.3,0.5
01/10/1999,82.5,-0.4,78.6,0.4
01/11/1999,86.2,5.8,78.9,0.4
01/12/1999,79.5,6.9,79.3,0.5
01/01/2000,70.9,5.8,79.9,0.8
01/02/2000,79.5,11.7,80.3,0.5
01/03/2000,88.7,4.6,81.0,0.9
01/04/2000,76.2,-0.3,81.5,0.6
01/05/2000,88.5,19.8,82.1,0.7
01/06/2000,81.4,-1.2,82.6,0.6
01/07/2000,80.4,3.9,83.1,0.6
01/08/2000,79.2,10.0,83.6,0.6
01/09/2000,87.7,3.4,83.9,0.4
01/10/2000,87.1,5.6,84.3,0.5
01/11/2000,91.7,6.4,84.7,0.5
01/12/2000,80.6,1.4,84.7,0.0
01/01/2001,80.0,12.8,84.6,-0.1
01/02/2001,80.7,1.5,84.6,0.0
01/03/2001,90.9,2.5,84.4,-0.2
01/04/2001,80.0,5.0,84.1,-0.4
01/05/2001,85.8,-3.1,83.8,-0.4
01/06/2001,83.7,2.8,83.4,-0.5
01/07/2001,82.0,2.0,83.1,-0.4
01/08/2001,79.2,0.0,82.7,-0.5
01/09/2001,83.5,-4.8,82.4,-0.4
01/10/2001,87.3,0.2,82.0,-0.5
01/11/2001,87.2,-4.9,81.8,-0.2
01/12/2001,72.8,-9.7,81.9,0.1
01/01/2002,76.9,-3.9,81.7,-0.2
01/02/2002,76.8,-4.8,81.7,0.0
01/03/2002,82.3,-9.5,81.8,0.1
01/04/2002,84.6,5.8,81.9,0.1
01/05/2002,78.2,-8.9,82.0,0.1
01/06/2002,84.7,1.2,82.2,0.2
01/07/2002,84.9,3.5,82.2,0.0
01/08/2002,76.4,-3.5,82.3,0.1
01/09/2002,86.2,3.2,82.4,0.1
01/10/2002,87.7,0.5,82.2,-0.2
01/11/2002,87.2,0.0,82.3,0.1
01/12/2002,75.2,3.3,82.3,0.0
01/01/2003,77.2,0.4,82.0,-0.4
01/02/2003,79.0,2.9,82.1,0.1
01/03/2003,84.8,3.0,82.1,0.0
01/04/2003,81.9,-3.2,81.9,-0.2
01/05/2003,80.6,3.1,81.7,-0.2
01/06/2003,80.3,-5.2,81.7,0.0
01/07/2003,86.2,1.5,81.9,0.2
01/08/2003,71.7,-6.2,82.3,0.5
01/09/2003,87.2,1.2,82.6,0.4
01/10/2003,89.1,1.6,82.9,0.4
01/11/2003,87.0,-0.2,83.2,0.4
01/12/2003,79.2,5.3,83.5,0.4
01/01/2004,75.9,-1.7,83.8,0.4
01/02/2004,79.7,0.9,84.2,0.5
01/03/2004,93.1,9.8,84.6,0.5
01/04/2004,84.8,3.5,84.8,0.2
01/05/2004,81.9,1.6,85.0,0.2
01/06/2004,90.6,12.8,85.0,0.0
01/07/2004,86.7,0.6,85.2,0.2
01/08/2004,78.9,10.0,85.3,0.1
01/09/2004,92.0,5.5,85.4,0.1
01/10/2004,89.7,0.7,85.5,0.1
01/11/2004,91.6,5.3,85.5,0.0
01/12/2004,83.6,5.6,85.7,0.2
01/01/2005,78.9,4.0,86.0,0.4
01/02/2005,80.9,1.5,86.3,0.3
01/03/2005,90.2,-3.1,86.6,0.3
01/04/2005,90.2,6.4,86.9,0.3
01/05/2005,83.6,2.1,87.2,0.3
01/06/2005,96.2,6.2,87.7,0.6
