datum,originalwert_2021100,originalwert_vernderung_gegenber_vorjahresmonat_in_,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_vernderung_gegenber_vorsmonat_in_
01/03/1997,86.9,,91.0,0.1
01/04/1997,92.4,,90.0,-1.1
01/05/1997,83.6,,90.5,0.6
01/06/1997,91.8,,90.6,0.1
01/07/1997,93.1,,91.0,0.4
01/08/1997,83.8,,89.1,-2.1
01/09/1997,94.8,,89.7,0.7
01/10/1997,99.0,,90.3,0.7
01/11/1997,94.9,,89.5,-0.9
01/12/1997,88.3,,92.8,3.7
01/01/1998,87.3,-0.7,92.5,-0.3
01/02/1998,84.5,-0.9,90.2,-2.5
01/03/1998,94.4,8.6,90.8,0.7
01/04/1998,89.0,-3.7,91.7,1.0
01/05/1998,85.4,2.2,90.3,-1.5
01/06/1998,90.0,-2.0,90.6,0.3
01/07/1998,93.3,0.2,90.9,0.3
01/08/1998,84.1,0.4,88.8,-2.3
01/09/1998,94.9,0.1,90.0,1.4
01/10/1998,97.3,-1.7,88.7,-1.4
01/11/1998,97.1,2.3,89.2,0.6
01/12/1998,88.9,0.7,90.8,1.8
01/01/1999,83.9,-3.9,91.4,0.7
01/02/1999,84.3,-0.2,90.1,-1.4
01/03/1999,98.3,4.1,91.9,2.0
01/04/1999,88.1,-1.0,90.6,-1.4
01/05/1999,87.2,2.1,91.9,1.4
01/06/1999,93.5,3.9,91.2,-0.8
01/07/1999,92.0,-1.4,92.0,0.9
01/08/1999,89.6,6.5,91.7,-0.3
01/09/1999,96.6,1.8,91.6,-0.1
01/10/1999,97.9,0.6,91.9,0.3
01/11/1999,102.2,5.3,93.4,1.6
01/12/1999,93.5,5.2,92.8,-0.6
01/01/2000,83.6,-0.4,88.6,-4.5
01/02/2000,88.5,5.0,90.9,2.6
01/03/2000,96.8,-1.5,91.7,0.9
01/04/2000,85.2,-3.3,92.6,1.0
01/05/2000,97.7,12.0,94.4,1.9
01/06/2000,90.5,-3.2,93.6,-0.8
01/07/2000,90.4,-1.7,92.7,-1.0
01/08/2000,94.4,5.4,94.3,1.7
01/09/2000,96.4,-0.2,94.2,-0.1
01/10/2000,99.2,1.3,93.6,-0.6
01/11/2000,102.9,0.7,94.2,0.6
01/12/2000,87.9,-6.0,92.2,-2.1
01/01/2001,89.3,6.8,90.9,-1.4
01/02/2001,87.2,-1.5,93.4,2.8
01/03/2001,95.6,-1.2,92.3,-1.2
01/04/2001,87.2,2.3,91.8,-0.5
01/05/2001,93.5,-4.3,92.9,1.2
01/06/2001,89.7,-0.9,92.8,-0.1
01/07/2001,92.8,2.7,92.2,-0.6
01/08/2001,94.7,0.3,94.4,2.4
01/09/2001,90.6,-6.0,91.3,-3.3
01/10/2001,100.4,1.2,92.1,0.9
01/11/2001,98.7,-4.1,90.6,-1.6
01/12/2001,82.0,-6.7,91.0,0.4
01/01/2002,89.9,0.7,91.6,0.7
01/02/2002,86.2,-1.1,92.3,0.8
01/03/2002,90.2,-5.6,92.3,0.0
01/04/2002,92.0,5.5,91.3,-1.1
01/05/2002,88.3,-5.6,92.1,0.9
01/06/2002,90.2,0.6,91.5,-0.7
01/07/2002,94.2,1.5,90.8,-0.8
01/08/2002,89.9,-5.1,92.1,1.4
01/09/2002,93.6,3.3,91.5,-0.7
01/10/2002,100.0,-0.4,91.8,0.3
01/11/2002,97.8,-0.9,92.4,0.7
01/12/2002,84.0,2.4,90.8,-1.7
01/01/2003,88.5,-1.6,91.3,0.6
01/02/2003,85.8,-0.5,90.7,-0.7
01/03/2003,90.3,0.1,90.8,0.1
01/04/2003,90.9,-1.2,92.8,2.2
01/05/2003,88.2,-0.1,90.1,-2.9
01/06/2003,88.5,-1.9,91.7,1.8
01/07/2003,96.2,2.1,92.8,1.2
01/08/2003,86.7,-3.6,91.2,-1.7
01/09/2003,93.9,0.3,89.3,-2.1
01/10/2003,100.0,0.0,91.9,2.9
01/11/2003,94.4,-3.5,90.2,-1.8
01/12/2003,87.7,4.4,92.5,2.5
01/01/2004,86.0,-2.8,91.5,-1.1
01/02/2004,85.6,-0.2,91.5,0.0
01/03/2004,96.5,6.9,90.5,-1.1
01/04/2004,90.1,-0.9,91.8,1.4
01/05/2004,86.0,-2.5,90.4,-1.5
01/06/2004,93.8,6.0,91.8,1.5
01/07/2004,93.0,-3.3,92.3,0.5
01/08/2004,90.0,3.8,91.2,-1.2
01/09/2004,95.9,2.1,91.0,-0.2
01/10/2004,96.8,-3.2,91.3,0.3
01/11/2004,99.9,5.8,92.1,0.9
01/12/2004,92.7,5.7,92.5,0.4
01/01/2005,87.4,1.6,92.8,0.3
01/02/2005,87.8,2.6,93.7,1.0
01/03/2005,94.9,-1.7,94.2,0.5
01/04/2005,94.4,4.8,93.4,-0.8
01/05/2005,90.7,5.5,94.4,1.1
01/06/2005,98.3,4.8,94.6,0.2
01/07/2005,94.0,1.1,96.5,2.0
01/08/2005,96.3,7.0,95.3,-1.2
01/09/2005,101.1,5.4,95.9,0.6
01/10/2005,100.9,4.2,98.3,2.5
01/11/2005,104.4,4.5,96.4,-1.9
01/12/2005,94.6,2.0,94.4,-2.1
01/01/2006,92.7,6.1,95.7,1.4
01/02/2006,89.7,2.2,95.6,-0.1
01/03/2006,101.2,6.6,94.9,-0.7
01/04/2006,90.2,-4.4,96.9,2.1
01/05/2006,98.2,8.3,97.3,0.4
01/06/2006,95.9,-2.4,97.0,-0.3
01/07/2006,95.1,1.2,97.5,0.5
01/08/2006,98.3,2.1,97.4,-0.1
01/09/2006,99.1,-2.0,96.7,-0.7
01/10/2006,103.1,2.2,97.6,0.9
01/11/2006,107.0,2.5,98.9,1.3
01/12/2006,93.7,-1.0,98.7,-0.2
01/01/2007,96.6,4.2,98.7,0.0
01/02/2007,93.5,4.2,99.7,1.0
01/03/2007,104.7,3.5,100.8,1.1
01/04/2007,97.6,8.2,101.9,1.1
01/05/2007,100.7,2.5,102.8,0.9
01/06/2007,97.4,1.6,98.6,-4.1
01/07/2007,100.1,5.3,99.9,1.3
01/08/2007,103.6,5.4,102.7,2.8
01/09/2007,102.9,3.8,103.2,0.5
01/10/2007,109.9,6.6,101.3,-1.8
01/11/2007,108.6,1.5,100.4,-0.9
01/12/2007,91.2,-2.7,101.6,1.2
01/01/2008,100.4,3.9,102.7,1.1
01/02/2008,97.6,4.4,101.2,-1.5
01/03/2008,96.7,-7.6,101.0,-0.2
01/04/2008,103.0,5.5,98.7,-2.3
01/05/2008,94.7,-6.0,98.5,-0.2
01/06/2008,99.6,2.3,98.8,0.3
01/07/2008,101.9,1.8,98.9,0.1
01/08/2008,95.5,-7.8,100.3,1.4
01/09/2008,104.5,1.6,99.0,-1.3
01/10/2008,107.9,-1.8,99.6,0.6
01/11/2008,101.0,-7.0,96.9,-2.7
01/12/2008,94.5,3.6,99.7,2.9
01/01/2009,92.8,-7.6,98.8,-0.9
01/02/2009,90.4,-7.4,96.5,-2.3
01/03/2009,98.6,2.0,94.5,-2.1
01/04/2009,94.8,-8.0,96.1,1.7
01/05/2009,91.3,-3.6,95.8,-0.3
01/06/2009,93.6,-6.0,94.8,-1.0
01/07/2009,97.4,-4.4,94.5,-0.3
01/08/2009,90.9,-4.8,94.9,0.4
01/09/2009,102.7,-1.7,97.2,2.4
01/10/2009,103.4,-4.2,95.1,-2.2
01/11/2009,103.1,2.1,96.1,1.1
01/12/2009,95.6,1.2,98.0,2.0
01/01/2010,90.0,-3.0,98.3,0.3
01/02/2010,89.5,-1.0,95.8,-2.5
01/03/2010,104.3,5.8,97.4,1.7
01/04/2010,95.0,0.2,96.5,-0.9
01/05/2010,92.6,1.4,97.0,0.5
01/06/2010,98.4,5.1,97.1,0.1
01/07/2010,98.2,0.8,98.1,1.0
01/08/2010,97.2,6.9,98.6,0.5
01/09/2010,105.3,2.5,99.5,0.9
01/10/2010,104.2,0.8,98.6,-0.9
01/11/2010,107.2,4.0,99.5,0.9
01/12/2010,97.3,1.8,97.2,-2.3
01/01/2011,93.3,3.7,99.0,1.9
01/02/2011,95.1,6.3,100.7,1.7
01/03/2011,106.4,2.0,100.4,-0.3
01/04/2011,96.5,1.6,100.9,0.5
01/05/2011,104.4,12.7,100.5,-0.4
01/06/2011,96.4,-2.0,100.6,0.1
01/07/2011,98.3,0.1,101.0,0.4
01/08/2011,98.5,1.3,97.6,-3.4
01/09/2011,104.4,-0.9,98.7,1.1
01/10/2011,100.7,-3.4,98.3,-0.4
01/11/2011,106.1,-1.0,98.5,0.2
01/12/2011,98.6,1.3,98.3,-0.2
01/01/2012,93.4,0.1,96.3,-2.0
01/02/2012,93.0,-2.2,96.9,0.6
01/03/2012,103.9,-2.3,99.5,2.7
01/04/2012,90.8,-5.9,95.0,-4.5
01/05/2012,96.4,-7.7,98.1,3.3
01/06/2012,96.7,0.3,98.1,0.0
01/07/2012,97.6,-0.7,97.6,-0.5
01/08/2012,99.2,0.7,98.4,0.8
01/09/2012,99.0,-5.2,99.1,0.7
01/10/2012,107.8,7.1,99.5,0.4
01/11/2012,104.8,-1.2,97.2,-2.3
01/12/2012,91.8,-6.9,100.0,2.9
01/01/2013,96.9,3.7,98.9,-1.1
01/02/2013,90.8,-2.4,97.5,-1.4
01/03/2013,96.7,-6.9,97.9,0.4
01/04/2013,98.8,8.8,97.9,0.0
01/05/2013,95.5,-0.9,99.0,1.1
01/06/2013,95.6,-1.1,97.8,-1.2
01/07/2013,101.0,3.5,98.3,0.5
01/08/2013,96.9,-2.3,98.9,0.6
01/09/2013,101.5,2.5,98.9,0.0
01/10/2013,107.8,0.0,99.5,0.6
01/11/2013,105.3,0.5,100.3,0.8
01/12/2013,95.6,4.1,101.9,1.6
01/01/2014,97.6,0.7,100.7,-1.2
01/02/2014,94.5,4.1,100.4,-0.3
01/03/2014,101.1,4.6,100.4,0.0
01/04/2014,100.0,1.2,102.0,1.6
01/05/2014,97.1,1.7,98.8,-3.1
01/06/2014,96.1,0.5,100.1,1.3
01/07/2014,103.2,2.2,100.5,0.4
01/08/2014,95.5,-1.4,100.2,-0.3
01/09/2014,105.1,3.5,99.7,-0.5
01/10/2014,109.3,1.4,100.9,1.2
01/11/2014,103.9,-1.3,99.8,-1.1
01/12/2014,97.8,2.3,101.8,2.0
01/01/2015,93.3,-4.4,98.9,-2.8
01/02/2015,91.6,-3.1,98.8,-0.1
01/03/2015,106.8,5.6,101.0,2.2
01/04/2015,97.8,-2.2,100.1,-0.9
01/05/2015,92.4,-4.8,99.6,-0.5
01/06/2015,104.6,8.8,102.9,3.3
01/07/2015,105.8,2.5,102.6,-0.3
01/08/2015,96.3,0.8,100.3,-2.2
01/09/2015,104.5,-0.6,98.9,-1.4
01/10/2015,106.4,-2.7,97.8,-1.1
01/11/2015,106.6,2.6,99.8,2.0
01/12/2015,97.3,-0.5,100.3,0.5
01/01/2016,94.0,0.8,102.6,2.3
01/02/2016,96.8,5.7,101.5,-1.1
01/03/2016,103.1,-3.5,100.3,-1.2
01/04/2016,101.9,4.2,101.3,1.0
01/05/2016,97.6,5.6,101.3,0.0
01/06/2016,105.0,0.4,101.1,-0.2
01/07/2016,97.9,-7.5,100.7,-0.4
01/08/2016,103.0,7.0,101.8,1.1
01/09/2016,107.3,2.7,101.5,-0.3
