datum,originalwert_in_1000,originalwert_vernderung_gegenber_vorjahresquartal_in_,trendkonjunkturkomponente_bv_41_in_1000,trendkonjunkturkomponente_bv_41_vernderung_gegenber_vorquartal_in_,kalender_und_saisonbereinigte_werte_bv_41_in_1000,kalender_und_saisonbereinigte_werte_bv_41_vernderung_gegenber_vorquartal_in_,restkomponente_bv_41
01/07/1991,3557,,3564,0.2,3559,-0.1,-4.8
01/10/1991,3564,,3575,0.3,3577,0.5,2.6
01/01/1992,3603,0.9,3588,0.4,3588,0.3,0.3
01/04/1992,3600,1.1,3601,0.4,3601,0.4,-0.4
01/07/1992,3618,1.7,3615,0.4,3618,0.5,3.2
01/10/1992,3612,1.3,3627,0.3,3626,0.2,-1.3
01/01/1993,3656,1.5,3642,0.4,3642,0.4,-0.1
01/04/1993,3656,1.6,3658,0.4,3657,0.4,-0.7
01/07/1993,3678,1.7,3677,0.5,3676,0.5,-1.0
01/10/1993,3683,2.0,3698,0.6,3697,0.6,-0.3
01/01/1994,3732,2.1,3719,0.6,3719,0.6,0.4
01/04/1994,3739,2.3,3739,0.5,3740,0.6,1.3
01/07/1994,3759,2.2,3755,0.4,3756,0.4,1.0
01/10/1994,3756,2.0,3768,0.3,3769,0.3,0.7
01/01/1995,3790,1.6,3779,0.3,3779,0.3,-0.6
01/04/1995,3788,1.3,3790,0.3,3790,0.3,-0.7
01/07/1995,3805,1.2,3803,0.3,3802,0.3,-0.6
01/10/1995,3804,1.3,3817,0.4,3816,0.4,-0.5
01/01/1996,3843,1.4,3832,0.4,3832,0.4,0.5
01/04/1996,3846,1.5,3848,0.4,3848,0.4,0.2
01/07/1996,3867,1.6,3864,0.4,3864,0.4,0.1
01/10/1996,3868,1.7,3879,0.4,3879,0.4,0.3
01/01/1997,3903,1.6,3894,0.4,3893,0.4,-0.2
01/04/1997,3906,1.6,3908,0.4,3908,0.4,-0.3
01/07/1997,3926,1.5,3922,0.4,3923,0.4,0.3
01/10/1997,3925,1.5,3935,0.3,3935,0.3,-0.1
01/01/1998,3956,1.4,3947,0.3,3947,0.3,-0.0
01/04/1998,3957,1.3,3958,0.3,3959,0.3,0.4
01/07/1998,3971,1.1,3968,0.2,3968,0.2,-0.1
01/10/1998,3967,1.1,3976,0.2,3977,0.2,0.4
01/01/1999,3991,0.9,3983,0.2,3983,0.2,-0.1
01/04/1999,3987,0.8,3989,0.2,3989,0.2,-0.3
01/07/1999,3998,0.7,3995,0.1,3995,0.2,-0.1
01/10/1999,3991,0.6,4001,0.1,4000,0.1,-0.3
01/01/2000,4014,0.6,4006,0.1,4006,0.1,0.1
01/04/2000,4009,0.6,4011,0.1,4011,0.1,0.4
01/07/2000,4018,0.5,4015,0.1,4015,0.1,0.2
01/10/2000,4009,0.5,4018,0.1,4018,0.1,0.1
01/01/2001,4029,0.4,4021,0.1,4021,0.1,0.2
01/04/2001,4022,0.3,4025,0.1,4024,0.1,-0.4
01/07/2001,4033,0.4,4030,0.1,4029,0.1,-0.3
01/10/2001,4028,0.5,4036,0.2,4037,0.2,0.2
01/01/2002,4052,0.6,4045,0.2,4045,0.2,-0.3
01/04/2002,4053,0.8,4055,0.3,4056,0.3,0.2
01/07/2002,4072,1.0,4068,0.3,4068,0.3,0.7
01/10/2002,4073,1.1,4082,0.3,4082,0.3,-0.1
01/01/2003,4106,1.3,4099,0.4,4099,0.4,-0.3
01/04/2003,4117,1.6,4120,0.5,4119,0.5,-0.5
01/07/2003,4148,1.9,4145,0.6,4144,0.6,-0.8
01/10/2003,4166,2.3,4175,0.7,4175,0.7,-0.3
01/01/2004,4216,2.7,4208,0.8,4209,0.8,0.2
01/04/2004,4241,3.0,4243,0.8,4243,0.8,-0.0
01/07/2004,4282,3.2,4278,0.8,4278,0.8,-0.3
01/10/2004,4304,3.3,4313,0.8,4313,0.8,-0.2
01/01/2005,4352,3.2,4345,0.7,4345,0.8,0.5
01/04/2005,4371,3.1,4373,0.6,4373,0.6,0.9
01/07/2005,4400,2.8,4394,0.5,4395,0.5,1.2
01/10/2005,4403,2.3,4410,0.4,4411,0.4,0.9
01/01/2006,4427,1.7,4422,0.3,4421,0.2,-0.7
01/04/2006,4428,1.3,4432,0.2,4431,0.2,-0.9
01/07/2006,4445,1.0,4441,0.2,4440,0.2,-0.7
01/10/2006,4442,0.9,4450,0.2,4450,0.2,-0.7
01/01/2007,4466,0.9,4460,0.2,4460,0.2,0.7
01/04/2007,4465,0.8,4467,0.2,4468,0.2,0.6
01/07/2007,4477,0.7,4472,0.1,4472,0.1,0.3
01/10/2007,4468,0.6,4475,0.1,4476,0.1,0.4
01/01/2008,4482,0.4,4477,0.0,4477,0.0,-0.5
01/04/2008,4476,0.2,4479,0.0,4479,0.0,-0.1
01/07/2008,4485,0.2,4480,0.0,4480,0.0,-0.0
01/10/2008,4475,0.2,4483,0.1,4483,0.1,-0.0
01/01/2009,4491,0.2,4486,0.1,4486,0.1,-0.1
01/04/2009,4487,0.2,4490,0.1,4490,0.1,-0.3
01/07/2009,4500,0.3,4495,0.1,4495,0.1,-0.2
01/10/2009,4494,0.4,4502,0.1,4502,0.1,-0.4
01/01/2010,4515,0.5,4509,0.2,4510,0.2,0.6
01/04/2010,4513,0.6,4515,0.1,4516,0.1,0.1
01/07/2010,4526,0.6,4521,0.1,4521,0.1,0.3
01/10/2010,4518,0.5,4525,0.1,4525,0.1,-0.1
01/01/2011,4533,0.4,4529,0.1,4529,0.1,-0.1
01/04/2011,4529,0.4,4531,0.1,4531,0.1,-0.0
01/07/2011,4537,0.2,4533,0.0,4533,0.0,-0.0
01/10/2011,4527,0.2,4533,0.0,4533,0.0,0.0
01/01/2012,4535,0.0,4532,-0.0,4532,-0.0,-0.2
01/04/2012,4528,-0.0,4530,-0.0,4530,-0.0,0.1
01/07/2012,4530,-0.2,4526,-0.1,4526,-0.1,0.4
01/10/2012,4516,-0.2,4520,-0.1,4521,-0.1,0.3
01/01/2013,4516,-0.4,4513,-0.2,4513,-0.2,-0.1
01/04/2013,4504,-0.5,4506,-0.2,4505,-0.2,-0.4
01/07/2013,4500,-0.7,4498,-0.2,4498,-0.2,-0.3
01/10/2013,4486,-0.7,4490,-0.2,4489,-0.2,-0.7
01/01/2014,4484,-0.7,4482,-0.2,4482,-0.2,0.5
01/04/2014,4472,-0.7,4472,-0.2,4473,-0.2,0.5
01/07/2014,4462,-0.8,4461,-0.3,4461,-0.3,0.2
01/10/2014,4447,-0.9,4448,-0.3,4448,-0.3,0.5
01/01/2015,4434,-1.1,4434,-0.3,4433,-0.3,-0.6
01/04/2015,4420,-1.2,4420,-0.3,4420,-0.3,-0.4
01/07/2015,4407,-1.2,4407,-0.3,4407,-0.3,-0.6
01/10/2015,4395,-1.2,4395,-0.3,4395,-0.3,0.2
01/01/2016,4382,-1.2,4382,-0.3,4382,-0.3,0.1
01/04/2016,4369,-1.2,4368,-0.3,4369,-0.3,0.6
01/07/2016,4353,-1.2,4353,-0.4,4353,-0.4,0.5
01/10/2016,4336,-1.3,4336,-0.4,4336,-0.4,0.2
01/01/2017,4318,-1.5,4318,-0.4,4318,-0.4,-0.2
01/04/2017,4301,-1.6,4301,-0.4,4300,-0.4,-0.6
01/07/2017,4284,-1.6,4285,-0.4,4284,-0.4,-0.8
01/10/2017,4269,-1.5,4270,-0.4,4269,-0.4,-0.6
01/01/2018,4255,-1.5,4255,-0.3,4255,-0.3,0.6
01/04/2018,4240,-1.4,4239,-0.4,4240,-0.4,1.3
01/07/2018,4221,-1.5,4220,-0.4,4221,-0.4,0.9
01/10/2018,4200,-1.6,4199,-0.5,4199,-0.5,-0.5
01/01/2019,4176,-1.9,4178,-0.5,4176,-0.5,-1.8
01/04/2019,4155,-2.0,4157,-0.5,4156,-0.5,-0.9
01/07/2019,4136,-2.0,4136,-0.5,4137,-0.5,0.8
01/10/2019,4117,-2.0,4113,-0.6,4115,-0.5,2.2
01/01/2020,4088,-2.1,4084,-0.7,4086,-0.7,1.9
01/04/2020,4051,-2.5,4053,-0.8,4052,-0.8,-0.9
01/07/2020,4019,-2.8,4024,-0.7,4022,-0.8,-2.0
01/10/2020,3998,-2.9,3998,-0.6,3997,-0.6,-1.2
01/01/2021,3979,-2.7,3977,-0.5,3977,-0.5,-0.2
01/04/2021,3960,-2.2,3959,-0.5,3960,-0.4,0.8
01/07/2021,3941,-1.9,3942,-0.4,3943,-0.4,0.2
