date,indicator,value
01/03/1997,originalwert_1000,20346.0
01/03/1997,trendkonjunkturkomponente_bv_41_1000,25791.0
01/03/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.3
01/03/1997,kalender_und_saisonbereinigte_werte_bv_41_1000,26523.1
01/03/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,2.8
01/03/1997,restkomponente_bv_41,732.1
01/04/1997,originalwert_1000,21751.4
01/04/1997,trendkonjunkturkomponente_bv_41_1000,25699.0
01/04/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.4
01/04/1997,kalender_und_saisonbereinigte_werte_bv_41_1000,25024.5
01/04/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-5.7
01/04/1997,restkomponente_bv_41,-674.5
01/05/1997,originalwert_1000,30421.3
01/05/1997,trendkonjunkturkomponente_bv_41_1000,25617.5
01/05/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.3
01/05/1997,kalender_und_saisonbereinigte_werte_bv_41_1000,25572.5
01/05/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,2.2
01/05/1997,restkomponente_bv_41,-45.0
01/06/1997,originalwert_1000,30575.5
01/06/1997,trendkonjunkturkomponente_bv_41_1000,25548.7
01/06/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.3
01/06/1997,kalender_und_saisonbereinigte_werte_bv_41_1000,25411.9
01/06/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-0.6
01/06/1997,restkomponente_bv_41,-136.7
01/07/1997,originalwert_1000,38183.7
01/07/1997,trendkonjunkturkomponente_bv_41_1000,25514.6
01/07/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.1
01/07/1997,kalender_und_saisonbereinigte_werte_bv_41_1000,26044.0
01/07/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,2.5
01/07/1997,restkomponente_bv_41,529.4
01/08/1997,originalwert_1000,40698.8
01/08/1997,trendkonjunkturkomponente_bv_41_1000,25516.2
01/08/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.0
01/08/1997,kalender_und_saisonbereinigte_werte_bv_41_1000,24925.2
01/08/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-4.3
01/08/1997,restkomponente_bv_41,-591.0
01/09/1997,originalwert_1000,32664.2
01/09/1997,trendkonjunkturkomponente_bv_41_1000,25530.0
01/09/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.1
01/09/1997,kalender_und_saisonbereinigte_werte_bv_41_1000,25754.6
01/09/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,3.3
01/09/1997,restkomponente_bv_41,224.6
01/10/1997,originalwert_1000,28678.5
01/10/1997,trendkonjunkturkomponente_bv_41_1000,25559.2
01/10/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.1
01/10/1997,kalender_und_saisonbereinigte_werte_bv_41_1000,25743.9
