date,indicator,value
01/03/1997,originalwert_2021100,72.2
01/03/1997,trendkonjunkturkomponente_bv_41_2021100,74.0
01/03/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.3
01/04/1997,originalwert_2021100,78.5
01/04/1997,trendkonjunkturkomponente_bv_41_2021100,74.3
01/04/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.4
01/05/1997,originalwert_2021100,68.9
01/05/1997,trendkonjunkturkomponente_bv_41_2021100,74.7
01/05/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.5
01/06/1997,originalwert_2021100,79.9
01/06/1997,trendkonjunkturkomponente_bv_41_2021100,75.0
01/06/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.4
01/07/1997,originalwert_2021100,77.7
01/07/1997,trendkonjunkturkomponente_bv_41_2021100,75.3
01/07/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.4
01/08/1997,originalwert_2021100,66.5
01/08/1997,trendkonjunkturkomponente_bv_41_2021100,75.5
01/08/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.3
01/09/1997,originalwert_2021100,82.4
01/09/1997,trendkonjunkturkomponente_bv_41_2021100,75.9
01/09/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.5
01/10/1997,originalwert_2021100,80.1
01/10/1997,trendkonjunkturkomponente_bv_41_2021100,76.4
01/10/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.7
01/11/1997,originalwert_2021100,78.8
01/11/1997,trendkonjunkturkomponente_bv_41_2021100,76.7
01/11/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.4
01/12/1997,originalwert_2021100,76.4
01/12/1997,trendkonjunkturkomponente_bv_41_2021100,76.9
01/12/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.3
01/01/1998,originalwert_2021100,68.2
01/01/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.9
01/01/1998,trendkonjunkturkomponente_bv_41_2021100,77.3
01/01/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.5
01/02/1998,originalwert_2021100,72.0
01/02/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,6.4
01/02/1998,trendkonjunkturkomponente_bv_41_2021100,77.6
01/02/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.4
01/03/1998,originalwert_2021100,84.4
01/03/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,16.9
01/03/1998,trendkonjunkturkomponente_bv_41_2021100,77.7
01/03/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.1
01/04/1998,originalwert_2021100,77.0
01/04/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-1.9
01/04/1998,trendkonjunkturkomponente_bv_41_2021100,77.8
01/04/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.1
01/05/1998,originalwert_2021100,74.7
01/05/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,8.4
01/05/1998,trendkonjunkturkomponente_bv_41_2021100,78.0
01/05/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.3
01/06/1998,originalwert_2021100,81.4
01/06/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.9
01/06/1998,trendkonjunkturkomponente_bv_41_2021100,78.0
01/06/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.0
01/07/1998,originalwert_2021100,80.5
01/07/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,3.6
01/07/1998,trendkonjunkturkomponente_bv_41_2021100,78.0
01/07/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.0
01/08/1998,originalwert_2021100,69.5
01/08/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,4.5
01/08/1998,trendkonjunkturkomponente_bv_41_2021100,77.9
01/08/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.1
01/09/1998,originalwert_2021100,84.0
01/09/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.9
01/09/1998,trendkonjunkturkomponente_bv_41_2021100,77.9
01/09/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.0
01/10/1998,originalwert_2021100,82.4
01/10/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,2.9
01/10/1998,trendkonjunkturkomponente_bv_41_2021100,77.8
01/10/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.1
01/11/1998,originalwert_2021100,81.2
01/11/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,3.0
01/11/1998,trendkonjunkturkomponente_bv_41_2021100,77.9
01/11/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.1
01/12/1998,originalwert_2021100,78.6
01/12/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,2.9
01/12/1998,trendkonjunkturkomponente_bv_41_2021100,78.0
01/12/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.1
01/01/1999,originalwert_2021100,66.9
01/01/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-1.9
01/01/1999,trendkonjunkturkomponente_bv_41_2021100,78.1
01/01/1999,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.1
01/02/1999,originalwert_2021100,71.6
01/02/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-0.6
01/02/1999,trendkonjunkturkomponente_bv_41_2021100,78.3
01/02/1999,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.3
01/03/1999,originalwert_2021100,88.8
01/03/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,5.2
01/03/1999,trendkonjunkturkomponente_bv_41_2021100,78.5
01/03/1999,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.3
01/04/1999,originalwert_2021100,77.2
01/04/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,0.3
01/04/1999,trendkonjunkturkomponente_bv_41_2021100,78.7
01/04/1999,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.3
01/05/1999,originalwert_2021100,75.0
01/05/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,0.4
01/05/1999,trendkonjunkturkomponente_bv_41_2021100,79.0
01/05/1999,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.4
01/06/1999,originalwert_2021100,85.0
01/06/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,4.4
