date,indicator,value
01/03/1997,originalwert_2021100,51.8
01/03/1997,trendkonjunkturkomponente_bv_41_2021100,52.1
01/03/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,1.4
01/04/1997,originalwert_2021100,57.2
01/04/1997,trendkonjunkturkomponente_bv_41_2021100,52.5
01/04/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.8
01/05/1997,originalwert_2021100,50.3
01/05/1997,trendkonjunkturkomponente_bv_41_2021100,53.1
01/05/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,1.1
01/06/1997,originalwert_2021100,58.1
01/06/1997,trendkonjunkturkomponente_bv_41_2021100,53.7
01/06/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,1.1
01/07/1997,originalwert_2021100,54.8
01/07/1997,trendkonjunkturkomponente_bv_41_2021100,54.2
01/07/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.9
01/08/1997,originalwert_2021100,48.2
01/08/1997,trendkonjunkturkomponente_bv_41_2021100,54.5
01/08/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.6
01/09/1997,originalwert_2021100,58.5
01/09/1997,trendkonjunkturkomponente_bv_41_2021100,55.0
01/09/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.9
01/10/1997,originalwert_2021100,58.3
01/10/1997,trendkonjunkturkomponente_bv_41_2021100,55.4
01/10/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.7
01/11/1997,originalwert_2021100,53.7
01/11/1997,trendkonjunkturkomponente_bv_41_2021100,55.5
01/11/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.2
01/12/1997,originalwert_2021100,49.6
01/12/1997,trendkonjunkturkomponente_bv_41_2021100,55.7
01/12/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.4
01/01/1998,originalwert_2021100,53.8
01/01/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,6.1
01/01/1998,trendkonjunkturkomponente_bv_41_2021100,55.8
01/01/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.2
01/02/1998,originalwert_2021100,54.8
01/02/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,8.1
01/02/1998,trendkonjunkturkomponente_bv_41_2021100,55.8
01/02/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.0
01/03/1998,originalwert_2021100,61.7
01/03/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,19.1
01/03/1998,trendkonjunkturkomponente_bv_41_2021100,55.7
01/03/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.2
01/04/1998,originalwert_2021100,57.1
01/04/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-0.2
01/04/1998,trendkonjunkturkomponente_bv_41_2021100,55.5
01/04/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.4
01/05/1998,originalwert_2021100,54.4
01/05/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,8.2
01/05/1998,trendkonjunkturkomponente_bv_41_2021100,55.4
01/05/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.2
01/06/1998,originalwert_2021100,58.3
01/06/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,0.3
01/06/1998,trendkonjunkturkomponente_bv_41_2021100,55.2
01/06/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.4
01/07/1998,originalwert_2021100,55.8
01/07/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.8
01/07/1998,trendkonjunkturkomponente_bv_41_2021100,54.9
01/07/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.5
01/08/1998,originalwert_2021100,48.1
01/08/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-0.2
