datum,originalwert_2020100,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,trendkonjunkturkomponente_bv_41_2020100,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,kalender_und_saisonbereinigte_werte_bv_41_2020100,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,restkomponente_bv_41
01/03/1997,73.0,,73.1,0.1,73.1,0.1,0.0
01/04/1997,72.9,,73.2,0.1,73.0,-0.1,-0.1
01/05/1997,73.1,,73.2,0.1,73.1,0.2,-0.1
01/06/1997,73.1,,73.3,0.1,73.1,-0.0,-0.2
01/07/1997,73.8,,73.4,0.1,73.4,0.4,0.0
01/08/1997,73.8,,73.5,0.1,73.6,0.2,0.1
01/09/1997,73.7,,73.6,0.1,73.7,0.1,0.1
01/10/1997,73.6,,73.7,0.1,73.7,0.1,0.0
01/11/1997,73.6,,73.7,0.1,73.7,0.0,0.0
01/12/1997,73.8,,73.8,0.1,73.8,0.1,0.0
01/01/1998,73.8,1.2,73.9,0.1,73.9,0.1,0.0
01/02/1998,73.9,1.2,73.9,0.1,74.0,0.1,0.0
01/03/1998,73.8,1.1,73.9,0.0,73.9,-0.0,0.0
01/04/1998,73.9,1.4,74.0,0.0,73.9,-0.0,-0.0
01/05/1998,74.0,1.2,74.0,0.0,74.0,0.1,0.0
01/06/1998,74.1,1.4,74.0,0.0,74.1,0.1,0.1
01/07/1998,74.4,0.8,74.0,0.0,74.0,-0.1,0.0
01/08/1998,74.2,0.5,74.0,0.0,74.0,-0.1,-0.0
01/09/1998,74.0,0.4,74.0,0.0,74.0,0.0,-0.0
01/10/1998,73.9,0.4,74.0,0.0,74.0,0.1,0.0
01/11/1998,73.9,0.4,74.1,0.0,74.0,-0.0,-0.0
01/12/1998,74.0,0.3,74.1,0.0,74.0,-0.0,-0.0
01/01/1999,73.9,0.1,74.1,0.0,74.0,-0.1,-0.1
01/02/1999,74.0,0.1,74.2,0.1,74.1,0.1,-0.1
01/03/1999,74.0,0.3,74.2,0.1,74.1,0.1,-0.1
01/04/1999,74.4,0.7,74.3,0.1,74.4,0.3,0.1
01/05/1999,74.4,0.5,74.3,0.1,74.4,0.0,0.1
01/06/1999,74.5,0.5,74.4,0.1,74.4,0.0,0.0
01/07/1999,74.8,0.5,74.5,0.1,74.5,0.1,-0.0
01/08/1999,74.8,0.8,74.6,0.1,74.6,0.2,0.1
01/09/1999,74.6,0.8,74.7,0.1,74.6,-0.0,-0.0
01/10/1999,74.5,0.8,74.7,0.1,74.7,0.1,-0.0
01/11/1999,74.7,1.1,74.8,0.1,74.9,0.2,0.1
01/12/1999,74.9,1.2,74.9,0.1,74.9,0.0,-0.0
01/01/2000,75.1,1.6,75.0,0.1,75.1,0.3,0.2
01/02/2000,75.1,1.5,75.0,0.1,75.1,-0.1,0.0
01/03/2000,75.1,1.5,75.1,0.1,75.2,0.1,0.1
01/04/2000,75.1,0.9,75.2,0.1,75.1,-0.1,-0.1
01/05/2000,75.1,0.9,75.3,0.1,75.1,0.0,-0.2
01/06/2000,75.4,1.2,75.4,0.1,75.3,0.3,-0.1
01/07/2000,75.8,1.3,75.5,0.2,75.5,0.3,0.0
01/08/2000,75.6,1.1,75.6,0.2,75.6,0.1,-0.1
01/09/2000,75.8,1.6,75.8,0.2,75.8,0.4,0.1
01/10/2000,75.7,1.6,75.9,0.2,76.0,0.2,0.0
01/11/2000,75.8,1.5,76.1,0.2,76.1,0.2,0.1
01/12/2000,76.4,2.0,76.2,0.2,76.3,0.2,0.1
01/01/2001,76.2,1.5,76.4,0.2,76.3,-0.0,-0.1
01/02/2001,76.6,2.0,76.5,0.2,76.5,0.3,-0.0
01/03/2001,76.6,2.0,76.7,0.2,76.6,0.1,-0.1
01/04/2001,76.9,2.4,76.8,0.2,76.8,0.4,0.0
01/05/2001,77.2,2.8,76.9,0.2,77.1,0.3,0.2
01/06/2001,77.3,2.5,77.0,0.2,77.1,0.1,0.1
01/07/2001,77.4,2.1,77.1,0.1,77.2,0.0,0.0
01/08/2001,77.2,2.1,77.2,0.1,77.2,0.1,0.0
01/09/2001,77.2,1.8,77.3,0.1,77.3,0.1,-0.1
01/10/2001,77.1,1.8,77.4,0.1,77.4,0.1,-0.0
