date,indicator,value
01/03/1997,originalwert_2020100,69.1
01/03/1997,trendkonjunkturkomponente_bv_41_2020100,69.4
01/03/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.2
01/03/1997,kalender_und_saisonbereinigte_werte_bv_41_2020100,69.1
01/03/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-0.1
01/03/1997,restkomponente_bv_41,-0.2
01/04/1997,originalwert_2020100,69.7
01/04/1997,trendkonjunkturkomponente_bv_41_2020100,69.5
01/04/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.2
01/04/1997,kalender_und_saisonbereinigte_werte_bv_41_2020100,69.4
01/04/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,0.3
01/04/1997,restkomponente_bv_41,-0.1
01/05/1997,originalwert_2020100,70.2
01/05/1997,trendkonjunkturkomponente_bv_41_2020100,69.6
01/05/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.2
01/05/1997,kalender_und_saisonbereinigte_werte_bv_41_2020100,69.5
01/05/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,0.2
01/05/1997,restkomponente_bv_41,-0.1
01/06/1997,originalwert_2020100,70.6
01/06/1997,trendkonjunkturkomponente_bv_41_2020100,69.8
01/06/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.2
01/06/1997,kalender_und_saisonbereinigte_werte_bv_41_2020100,69.8
01/06/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,0.3
01/06/1997,restkomponente_bv_41,-0.0
01/07/1997,originalwert_2020100,70.2
01/07/1997,trendkonjunkturkomponente_bv_41_2020100,69.9
01/07/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.2
01/07/1997,kalender_und_saisonbereinigte_werte_bv_41_2020100,69.9
01/07/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,0.2
01/07/1997,restkomponente_bv_41,-0.0
01/08/1997,originalwert_2020100,69.8
01/08/1997,trendkonjunkturkomponente_bv_41_2020100,70.1
01/08/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.2
01/08/1997,kalender_und_saisonbereinigte_werte_bv_41_2020100,70.1
01/08/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,0.3
01/08/1997,restkomponente_bv_41,0.1
01/09/1997,originalwert_2020100,69.6
01/09/1997,trendkonjunkturkomponente_bv_41_2020100,70.2
01/09/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.2
01/09/1997,kalender_und_saisonbereinigte_werte_bv_41_2020100,70.2
01/09/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,0.1
01/09/1997,restkomponente_bv_41,0.0
01/10/1997,originalwert_2020100,69.5
01/10/1997,trendkonjunkturkomponente_bv_41_2020100,70.3
01/10/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.1
01/10/1997,kalender_und_saisonbereinigte_werte_bv_41_2020100,70.4
01/10/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,0.2
01/10/1997,restkomponente_bv_41,0.1
01/11/1997,originalwert_2020100,69.8
01/11/1997,trendkonjunkturkomponente_bv_41_2020100,70.4
01/11/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.1
01/11/1997,kalender_und_saisonbereinigte_werte_bv_41_2020100,70.4
01/11/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,0.0
01/11/1997,restkomponente_bv_41,0.0
01/12/1997,originalwert_2020100,70.1
01/12/1997,trendkonjunkturkomponente_bv_41_2020100,70.4
01/12/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.1
01/12/1997,kalender_und_saisonbereinigte_werte_bv_41_2020100,70.5
01/12/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,0.1
01/12/1997,restkomponente_bv_41,0.0
01/01/1998,originalwert_2020100,70.9
01/01/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,2.2
01/01/1998,trendkonjunkturkomponente_bv_41_2020100,70.5
01/01/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,0.1
01/01/1998,kalender_und_saisonbereinigte_werte_bv_41_2020100,70.6
01/01/1998,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,0.1
01/01/1998,restkomponente_bv_41,0.1
01/02/1998,originalwert_2020100,70.8
01/02/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.9
01/02/1998,trendkonjunkturkomponente_bv_41_2020100,70.6
