verwendung_des_bruttoinlandsprodukt,in_jeweiligen_preisen,col_3,col_4,col_5,col_6,col_7
Datum;Bruttoinlandsprodukt,Mrd.EUR;PrivateKonsumausgaben,Mrd.EUR;KonsumausgabenStaat,Mrd.EUR;Bruttoinvestitionen,Mrd.EUR;Exporte,Mrd.EUR;Importe,Mrd.EUR
01/07/2000;537,70;301,89;100,72;139,96;155,54;160,41
01/10/2000;547,59;314,66;115,35;118,90;173,36;174,68
01/01/2001;536,83;299,09;100,22;129,48;166,04;158,01
01/04/2001;538,24;304,23;100,57;126,71;168,27;161,53
01/07/2001;553,54;310,22;102,58;136,16;164,59;160,02
01/10/2001;566,92;325,25;119,28;107,45;172,06;157,12
01/01/2002;537,18;301,31;102,85;111,55;163,34;141,86
01/04/2002;546,09;306,64;103,70;113,28;174,49;152,00
01/07/2002;567,13;315,74;105,88;124,41;174,03;152,94
01/10/2002;572,96;327,26;121,94;98,81;181,61;156,66
01/01/2003;543,46;307,88;104,08;112,82;169,83;151,15
01/04/2003;547,96;315,59;104,56;108,41;171,44;152,05
01/07/2003;571,48;324,69;108,51;118,86;175,23;155,81
01/10/2003;577,91;334,26;121,41;98,59;184,16;160,51
01/01/2004;558,36;314,42;104,65;107,77;185,68;154,17
01/04/2004;566,57;322,08;105,45;105,21;197,07;163,24
01/07/2004;579,23;328,72;107,47;121,66;192,51;171,13
01/10/2004;588,88;341,00;119,26;101,54;202,88;175,79
01/01/2005;560,71;319,02;104,95;102,77;194,89;160,92
01/04/2005;576,06;331,45;106,82;107,18;207,88;177,26
01/07/2005;589,03;337,62;108,09;118,86;210,71;186,25
01/10/2005;599,91;346,36;120,47;106,92;222,69;196,54
01/01/2006;586,21;328,64;107,99;119,20;224,96;194,58
01/04/2006;594,16;338,72;108,18;117,88;229,46;200,07
01/07/2006;612,83;345,82;109,33;132,45;234,23;209,00
01/10/2006;632,98;356,82;122,25;113,23;256,83;216,15
01/01/2007;621,55;334,06;109,84;136,55;251,27;210,17
01/04/2007;622,79;344,85;110,60;125,53;255,55;213,75
01/07/2007;641,64;352,70;111,50;141,96;258,75;223,27
01/10/2007;656,24;362,76;125,01;124,42;267,51;223,45
01/01/2008;639,52;342,24;113,68;139,27;264,73;220,40
01/04/2008;646,47;354,46;116,03;130,14;273,85;228,01
01/07/2008;653,09;362,54;115,99;147,32;266,88;239,64
01/10/2008;650,20;364,22;129,52;124,09;254,82;222,45
01/01/2009;607,42;341,23;119,98;122,24;215,96;191,99
01/04/2009;608,08;353,93;121,14;103,95;211,84;182,78
01/07/2009;630,83;362,03;123,15;120,79;220,77;195,91
01/10/2009;647,64;369,96;134,52;102,10;235,65;194,59
01/01/2010;629,92;344,83;124,98;126,61;234,72;201,21
01/04/2010;639,11;359,87;123,71;123,42;257,05;224,94
01/07/2010;665,00;372,08;125,54;138,88;263,33;234,82
01/10/2010;681,23;382,16;137,80;121,88;277,80;238,41
01/01/2011;674,29;357,21;127,08;153,34;280,31;243,65
01/04/2011;673,88;373,80;127,59;140,48;284,23;252,22
01/07/2011;695,14;383,60;127,89;156,24;286,89;259,48
01/10/2011;703,90;391,74;140,86;134,10;292,63;255,43
01/01/2012;694,82;372,61;130,43;148,11;298,58;254,90
01/04/2012;685,58;381,69;131,25;129,19;297,39;253,94
01/07/2012;706,35;393,36;131,93;142,92;299,83;261,68
01/10/2012;713,93;400,05;145,27;124,93;299,32;255,64
01/01/2013;698,69;374,33;136,40;146,04;291,69;249,77
01/04/2013;706,95;390,32;136,13;137,70;297,64;254,84
01/07/2013;728,87;403,56;138,20;152,88;299,68;265,45
01/10/2013;734,97;406,51;151,25;130,86;306,04;259,69
01/01/2014;733,83;382,74;141,31;162,51;301,99;254,71
01/04/2014;731,90;397,01;141,86;144,95;306,17;258,09
01/07/2014;755,18;411,23;143,18;156,15;313,51;268,90
01/10/2014;767,56;418,63;157,17;137,07;322,99;268,30
01/01/2015;756,11;392,01;145,97;160,59;320,05;262,52
01/04/2015;757,77;409,25;147,08;140,10;329,65;268,31
01/07/2015;782,57;423,59;148,28;158,74;330,18;278,22
01/10/2015;797,74;432,84;164,61;143,00;335,31;278,02
01/01/2016;784,04;405,76;153,58;167,43;320,87;263,59
01/04/2016;794,43;423,98;154,45;148,78;338,16;270,93
01/07/2016;806,32;434,67;155,19;165,01;330,08;278,62
01/10/2016;820,08;446,90;170,68;148,28;341,93;287,71
01/01/2017;822,94;421,90;159,18;181,42;347,59;287,15
01/04/2017;818,11;438,63;159,90;161,48;350,44;292,34
01/07/2017;843,09;450,37;160,71;179,73;349,18;296,89
01/10/2017;861,72;460,05;178,20;166,48;360,36;303,37
01/01/2018;850,56;436,69;165,11;190,17;361,03;302,43
01/04/2018;850,26;452,97;165,96;172,31;368,40;309,38
01/07/2018;863,05;464,40;166,03;197,03;360,32;324,73
01/10/2018;886,71;477,96;183,43;182,69;370,66;328,03
01/01/2019;879,18;449,24;173,35;202,44;374,96;320,81
01/04/2019;869,60;469,26;173,80;177,08;370,44;320,98
01/07/2019;899,24;484,53;176,76;195,38;374,53;331,95
01/10/2019;909,61;490,96;193,60;179,83;379,07;333,85
01/01/2020;888,74;446,98;184,25;210,16;365,12;317,76
01/04/2020;800,02;411,51;186,80;171,77;285,33;255,39
01/07/2020;878,92;461,31;190,10;183,75;335,47;291,71
01/10/2020;909,99;465,49;207,90;183,50;365,49;312,39
01/01/2021;895,74;432,20;195,51;212,53;369,28;313,79
01/04/2021;901,93;454,09;200,25;196,38;382,14;330,93
01/07/2021;941,41;488,00;200,89;215,40;385,78;348,66
01/10/2021;974,01;510,11;220,57;208,71;430,13;395,52
01/01/2022;979,74;501,84;212,49;228,79;435,58;398,97
01/04/2022;979,68;527,79;212,07;219,99;449,34;429,51
01/07/2022;1010,10;546,09;210,62;248,89;463,48;458,97
01/10/2022;1041,11;563,07;232,31;224,40;474,56;453,23
01/01/2023;1052,72;547,85;215,96;245,58;466,60;423,27
01/04/2023;1037,88;565,05;217,63;222,73;451,15;418,68
01/07/2023;1066,02;572,99;220,67;240,68;444,31;412,64
01/10/2023;1098,31;588,42;244,28;217,75;464,57;416,71
01/01/2024;1085,49;567,38;227,87;235,44;450,45;395,65
01/04/2024;1076,24;582,69;232,89;215,70;458,66;413,70
01/07/2024;1099,19;594,18;235,93;242,88;447,42;421,22
01/10/2024;1126,02;615,00;257,54;222,71;455,75;424,98
01/01/2025;1116,18;588,46;243,85;244,71;459,20;420,04
01/04/2025;1108,89;605,27;246,66;231,87;452,66;427,56
01/07/2025;1136,71;615,09;248,37;257,06;446,34;430,14
01/10/2025;1167,93;640,30;273,93;233,83;457,79;437,91
01/01/2026;1155,26;605,83;259,27;249,90;468,06;427,81
01/04/2026;1151,03;622,83;260,64;241,24;487,14;460,82
