Volumenindex des Auftragseingangs, Bauhauptgewerbe insgesamt
Datum;Originalwert, 2021=100;Originalwert, Veränderung gegenüber Vorjahresmonat in %;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, 2021=100;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, Veränderung gegenüber Vorsmonat in %
01/03/1997;115,3;.;109,5;-8,1
01/04/1997;111,4;.;106,0;-3,2
01/05/1997;113,0;.;111,4;5,1
01/06/1997;132,6;.;110,3;-1,0
01/07/1997;117,9;.;108,0;-2,1
01/08/1997;111,4;.;110,9;2,7
01/09/1997;127,1;.;108,5;-2,2
01/10/1997;112,2;.;109,0;0,5
01/11/1997;91,2;.;104,7;-3,9
01/12/1997;101,8;.;108,3;3,4
01/01/1998;75,3;-6,2;105,9;-2,2
01/02/1998;88,2;-8,0;110,2;4,1
01/03/1998;124,1;7,6;111,2;0,9
01/04/1998;112,5;1,0;110,8;-0,4
01/05/1998;112,6;-0,4;108,9;-1,7
01/06/1998;130,9;-1,3;109,6;0,6
01/07/1998;126,2;7,0;115,0;4,9
01/08/1998;110,2;-1,1;108,7;-5,5
01/09/1998;135,8;6,8;115,1;5,9
01/10/1998;111,9;-0,3;108,6;-5,6
01/11/1998;99,2;8,8;111,9;3,0
01/12/1998;100,1;-1,7;106,3;-5,0
01/01/1999;79,1;5,0;115,3;8,5
01/02/1999;92,3;4,6;115,5;0,2
01/03/1999;124,0;-0,1;108,9;-5,7
01/04/1999;114,2;1,5;112,0;2,8
01/05/1999;117,9;4,7;113,5;1,3
01/06/1999;133,4;1,9;109,4;-3,6
01/07/1999;121,2;-4,0;112,2;2,6
01/08/1999;113,2;2,7;109,0;-2,9
01/09/1999;125,0;-8,0;106,0;-2,8
01/10/1999;107,9;-3,6;107,7;1,6
01/11/1999;88,9;-10,4;100,2;-7,0
01/12/1999;95,1;-5,0;100,8;0,6
01/01/2000;73,6;-7,0;105,7;4,9
01/02/2000;83,5;-9,5;102,3;-3,2
01/03/2000;120,3;-3,0;106,4;4,0
01/04/2000;101,9;-10,8;103,6;-2,6
01/05/2000;113,7;-3,6;102,5;-1,1
01/06/2000;114,0;-14,5;96,9;-5,5
01/07/2000;104,3;-13,9;98,1;1,2
01/08/2000;98,3;-13,2;93,1;-5,1
01/09/2000;110,9;-11,3;96,2;3,3
01/10/2000;95,9;-11,1;95,8;-0,4
01/11/2000;85,0;-4,4;96,0;0,2
01/12/2000;92,0;-3,3;99,3;3,4
01/01/2001;68,7;-6,7;96,1;-3,2
01/02/2001;75,5;-9,6;96,1;0,0
01/03/2001;106,0;-11,9;95,2;-0,9
01/04/2001;98,4;-3,4;97,6;2,5
01/05/2001;109,3;-3,9;99,9;2,4
01/06/2001;118,2;3,7;100,1;0,2
01/07/2001;98,9;-5,2;90,7;-9,4
01/08/2001;100,9;2,6;95,7;5,5
01/09/2001;102,0;-8,0;90,2;-5,7
01/10/2001;92,5;-3,5;90,7;0,6
01/11/2001;83,1;-2,2;93,8;3,4
01/12/2001;79,8;-13,3;87,7;-6,5
01/01/2002;63,7;-7,3;90,9;3,6
01/02/2002;73,8;-2,3;94,2;3,6
01/03/2002;109,0;2,8;102,0;8,3
01/04/2002;97,5;-0,9;92,3;-9,5
01/05/2002;92,0;-15,8;86,6;-6,2
01/06/2002;106,5;-9,9;88,7;2,4
01/07/2002;95,8;-3,1;85,7;-3,4
01/08/2002;88,5;-12,3;85,5;-0,2
01/09/2002;101,7;-0,3;87,9;2,8
01/10/2002;85,3;-7,8;83,6;-4,9
01/11/2002;75,3;-9,4;86,8;3,8
01/12/2002;79,7;-0,1;87,0;0,2
01/01/2003;57,6;-9,6;81,5;-6,3
