Volumenindex des Auftragseingangs, Gebrauchsgüter insgesamt
Datum;Originalwert, 2021=100;Originalwert, Veränderung gegenüber Vorjahresmonat in %;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, 2021=100;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, Veränderung gegenüber Vorsmonat in %
01/03/1997;60,4;.;62,1;-1,0
01/04/1997;63,9;.;60,5;-2,6
01/05/1997;55,2;.;61,3;1,3
01/06/1997;63,1;.;62,3;1,6
01/07/1997;62,4;.;65,4;5,0
01/08/1997;54,7;.;64,6;-1,2
01/09/1997;74,4;.;64,3;-0,5
01/10/1997;72,4;.;64,9;0,9
01/11/1997;67,8;.;63,8;-1,7
01/12/1997;59,0;.;65,3;2,4
01/01/1998;62,4;-0,5;63,6;-2,6
01/02/1998;62,1;2,0;63,9;0,5
01/03/1998;72,5;20,0;66,6;4,2
01/04/1998;61,6;-3,6;62,8;-5,7
01/05/1998;62,5;13,2;68,0;8,3
01/06/1998;62,4;-1,1;63,3;-6,9
01/07/1998;60,8;-2,6;62,8;-0,8
01/08/1998;51,0;-6,8;59,4;-5,4
01/09/1998;71,4;-4,0;61,9;4,2
01/10/1998;66,6;-8,0;59,7;-3,6
01/11/1998;66,1;-2,5;60,3;1,0
01/12/1998;59,1;0,2;64,0;6,1
01/01/1999;57,2;-8,3;60,6;-5,3
01/02/1999;59,1;-4,8;60,4;-0,3
01/03/1999;69,0;-4,8;60,8;0,7
01/04/1999;60,4;-1,9;61,3;0,8
01/05/1999;59,1;-5,4;64,0;4,4
01/06/1999;67,8;8,7;66,1;3,3
01/07/1999;61,4;1,0;65,1;-1,5
01/08/1999;55,7;9,2;62,7;-3,7
01/09/1999;74,5;4,3;65,2;4,0
01/10/1999;70,4;5,7;65,8;0,9
01/11/1999;75,2;13,8;68,2;3,6
01/12/1999;63,8;8,0;67,0;-1,8
01/01/2000;64,4;12,6;66,0;-1,5
01/02/2000;69,8;18,1;68,1;3,2
