Volumenindex des Auftragseingangs, Investitionsgüter, Ausland
Datum;Originalwert, 2021=100;Originalwert, Veränderung gegenüber Vorjahresmonat in %;Trend-Konjunktur-Komponente (BV 4.1), 2021=100;Trend-Konjunktur-Komponente (BV 4.1), Veränderung gegenüber Vormonat in %
01/03/1997;39,4;.;39,0;1,3
01/04/1997;44,3;.;39,4;1,0
01/05/1997;36,5;.;39,9;1,3
01/06/1997;41,8;.;40,3;1,0
01/07/1997;40,1;.;40,8;1,2
01/08/1997;34,8;.;41,2;1,0
01/09/1997;45,1;.;41,7;1,2
01/10/1997;43,3;.;42,2;1,2
01/11/1997;40,2;.;42,3;0,2
01/12/1997;42,1;.;42,7;0,9
01/01/1998;40,6;5,7;42,9;0,5
01/02/1998;42,1;14,1;43,2;0,7
01/03/1998;48,6;23,4;43,3;0,2
01/04/1998;45,4;2,5;43,4;0,2
01/05/1998;42,1;15,3;43,3;-0,2
01/06/1998;43,8;4,8;43,2;-0,2
01/07/1998;43,4;8,2;43,1;-0,2
01/08/1998;35,0;0,6;43,0;-0,2
01/09/1998;45,5;0,9;42,9;-0,2
01/10/1998;44,9;3,7;42,9;0,0
01/11/1998;41,5;3,2;42,8;-0,2
01/12/1998;45,7;8,6;43,1;0,7
01/01/1999;37,7;-7,1;43,1;0,0
01/02/1999;43,2;2,6;43,4;0,7
01/03/1999;48,9;0,6;43,7;0,7
01/04/1999;44,8;-1,3;44,1;0,9
01/05/1999;41,1;-2,4;44,7;1,4
01/06/1999;47,8;9,1;45,2;1,1
01/07/1999;44,0;1,4;45,9;1,5
01/08/1999;43,8;25,1;46,7;1,7
01/09/1999;51,0;12,1;47,5;1,7
01/10/1999;47,7;6,2;48,1;1,3
01/11/1999;51,2;23,4;48,8;1,5
01/12/1999;49,5;8,3;49,6;1,6
01/01/2000;46,1;22,3;50,2;1,2
01/02/2000;52,5;21,5;51,1;1,8
01/03/2000;60,7;24,1;52,1;2,0
01/04/2000;49,7;10,9;52,9;1,5
01/05/2000;56,7;38,0;53,7;1,5
01/06/2000;53,4;11,7;54,5;1,5
01/07/2000;53,3;21,1;55,2;1,3
01/08/2000;49,4;12,8;55,8;1,1
01/09/2000;55,7;9,2;56,4;1,1
01/10/2000;58,5;22,6;56,9;0,9
01/11/2000;60,8;18,8;57,3;0,7
01/12/2000;59,9;21,0;57,3;0,0
01/01/2001;56,9;23,4;57,3;0,0
01/02/2001;57,1;8,8;56,9;-0,7
01/03/2001;62,0;2,1;56,6;-0,5
01/04/2001;51,9;4,4;56,1;-0,9
01/05/2001;58,5;3,2;55,7;-0,7
01/06/2001;57,2;7,1;55,3;-0,7
01/07/2001;53,2;-0,2;54,9;-0,7
01/08/2001;48,6;-1,6;54,6;-0,5
01/09/2001;51,7;-7,2;54,4;-0,4
01/10/2001;53,7;-8,2;54,4;0,0
