Volumenindex des Auftragseingangs, Verbrauchsgüter insgesamt
Datum;Originalwert, 2021=100;Originalwert, Veränderung gegenüber Vorjahresmonat in %;Trend-Konjunktur-Komponente (BV 4.1), 2021=100;Trend-Konjunktur-Komponente (BV 4.1), Veränderung gegenüber Vormonat in %
01/03/1997;97,4;.;83,2;0,2
01/04/1997;83,9;.;83,4;0,2
01/05/1997;69,2;.;83,5;0,1
01/06/1997;80,0;.;83,7;0,2
01/07/1997;80,8;.;83,7;0,0
01/08/1997;86,3;.;83,8;0,1
01/09/1997;98,8;.;84,0;0,2
01/10/1997;83,0;.;84,1;0,1
01/11/1997;72,1;.;84,1;0,0
01/12/1997;73,6;.;84,2;0,1
01/01/1998;80,2;-1,0;84,3;0,1
01/02/1998;97,2;0,9;84,2;-0,1
01/03/1998;105,1;7,9;84,2;0,0
01/04/1998;77,7;-7,4;84,1;-0,1
01/05/1998;69,5;0,4;83,8;-0,4
01/06/1998;79,4;-0,7;83,6;-0,2
01/07/1998;83,6;3,5;83,3;-0,4
01/08/1998;89,1;3,2;83,0;-0,4
01/09/1998;96,6;-2,2;82,7;-0,4
01/10/1998;79,4;-4,3;82,2;-0,6
01/11/1998;72,7;0,8;82,2;0,0
01/12/1998;68,8;-6,5;82,2;0,0
01/01/1999;77,2;-3,7;81,9;-0,4
01/02/1999;94,0;-3,3;82,0;0,1
01/03/1999;102,0;-2,9;82,1;0,1
01/04/1999;79,0;1,7;82,1;0,0
01/05/1999;71,4;2,7;82,2;0,1
01/06/1999;74,8;-5,8;82,3;0,1
01/07/1999;81,9;-2,0;82,3;0,0
01/08/1999;92,5;3,8;82,3;0,0
01/09/1999;93,9;-2,8;82,3;0,0
01/10/1999;78,7;-0,9;82,3;0,0
01/11/1999;79,9;9,9;82,2;-0,1
01/12/1999;70,0;1,7;82,0;-0,2
01/01/2000;76,6;-0,8;81,9;-0,1
01/02/2000;97,8;4,0;82,1;0,2
01/03/2000;99,7;-2,3;82,2;0,1
01/04/2000;71,0;-10,1;82,5;0,4
01/05/2000;77,0;7,8;82,5;0,0
01/06/2000;73,9;-1,2;82,8;0,4
01/07/2000;78,9;-3,7;83,1;0,4
01/08/2000;94,8;2,5;83,4;0,4
01/09/2000;95,0;1,2;83,7;0,4
01/10/2000;79,4;0,9;84,0;0,4
01/11/2000;77,0;-3,6;84,2;0,2
01/12/2000;72,1;3,0;84,4;0,2
01/01/2001;86,2;12,5;84,6;0,2
01/02/2001;96,6;-1,2;84,5;-0,1
01/03/2001;98,2;-1,5;84,5;0,0
01/04/2001;75,3;6,1;84,5;0,0
01/05/2001;75,5;-1,9;84,4;-0,1
01/06/2001;77,4;4,7;84,3;-0,1
01/07/2001;85,7;8,6;84,4;0,1
01/08/2001;98,1;3,5;84,2;-0,2
01/09/2001;85,9;-9,6;84,0;-0,2
01/10/2001;82,2;3,5;83,7;-0,4
01/11/2001;77,5;0,6;83,8;0,1
01/12/2001;67,4;-6,5;83,6;-0,2
01/01/2002;86,8;0,7;83,6;0,0
01/02/2002;92,8;-3,9;83,6;0,0
01/03/2002;94,9;-3,4;83,6;0,0
01/04/2002;82,2;9,2;83,5;-0,1
01/05/2002;71,2;-5,7;83,5;0,0
01/06/2002;75,0;-3,1;83,5;0,0
01/07/2002;87,4;2,0;83,6;0,1
01/08/2002;90,3;-8,0;83,5;-0,1
01/09/2002;91,4;6,4;83,5;0,0
01/10/2002;83,0;1,0;83,4;-0,1
01/11/2002;78,9;1,8;83,3;-0,1
