Volumenindex des Auftragseingangs, Vorleistungsgüter insgesamt
Datum;Originalwert, 2021=100;Originalwert, Veränderung gegenüber Vorjahresmonat in %;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, 2021=100;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, Veränderung gegenüber Vorsmonat in %
01/03/1997;61,4;.;61,9;1,0
01/04/1997;66,7;.;61,9;0,0
01/05/1997;58,0;.;61,8;-0,2
01/06/1997;66,6;.;63,6;2,9
01/07/1997;65,1;.;63,4;-0,3
01/08/1997;56,1;.;63,8;0,6
01/09/1997;66,3;.;64,4;0,9
01/10/1997;66,8;.;64,9;0,8
01/11/1997;64,3;.;64,9;0,0
01/12/1997;59,0;.;65,1;0,3
01/01/1998;64,9;4,5;64,7;-0,6
01/02/1998;63,9;4,1;63,8;-1,4
01/03/1998;70,2;14,3;63,9;0,2
01/04/1998;64,3;-3,6;64,0;0,2
01/05/1998;61,1;5,3;63,7;-0,5
01/06/1998;64,9;-2,6;63,5;-0,3
01/07/1998;64,0;-1,7;62,2;-2,0
01/08/1998;55,6;-0,9;62,5;0,5
01/09/1998;63,8;-3,8;61,8;-1,1
01/10/1998;62,5;-6,4;60,3;-2,4
01/11/1998;62,1;-3,4;60,3;0,0
01/12/1998;56,0;-5,1;60,4;0,2
01/01/1999;59,7;-8,0;61,6;2,0
01/02/1999;60,5;-5,3;60,5;-1,8
01/03/1999;71,0;1,1;62,4;3,1
01/04/1999;62,0;-3,6;61,7;-1,1
01/05/1999;60,6;-0,8;63,2;2,4
01/06/1999;67,0;3,2;63,6;0,6
01/07/1999;65,5;2,3;65,9;3,6
01/08/1999;62,0;11,5;67,3;2,1
01/09/1999;69,0;8,2;66,8;-0,7
01/10/1999;67,6;8,2;67,6;1,2
01/11/1999;71,9;15,8;69,2;2,4
01/12/1999;67,6;20,7;70,7;2,2
01/01/2000;66,9;12,1;66,5;-5,9
01/02/2000;73,0;20,7;69,9;5,1
01/03/2000;80,6;13,5;71,9;2,9
01/04/2000;66,6;7,4;71,3;-0,8
01/05/2000;77,3;27,6;72,8;2,1
01/06/2000;71,8;7,2;72,9;0,1
01/07/2000;70,5;7,6;73,4;0,7
01/08/2000;71,8;15,8;76,0;3,5
01/09/2000;74,4;7,8;74,3;-2,2
01/10/2000;72,7;7,5;73,0;-1,7
01/11/2000;74,7;3,9;72,0;-1,4
01/12/2000;66,8;-1,2;72,9;1,3
01/01/2001;74,5;11,4;71,0;-2,6
01/02/2001;69,8;-4,4;70,3;-1,0
01/03/2001;76,5;-5,1;69,8;-0,7
01/04/2001;65,3;-2,0;67,4;-3,4
01/05/2001;72,4;-6,3;70,5;4,6
01/06/2001;68,7;-4,3;69,8;-1,0
01/07/2001;67,7;-4,0;67,9;-2,7
01/08/2001;64,8;-9,7;68,6;1,0
01/09/2001;63,7;-14,4;66,3;-3,4
01/10/2001;68,0;-6,5;65,8;-0,8
01/11/2001;66,7;-10,7;64,3;-2,3
01/12/2001;59,8;-10,5;68,3;6,2
01/01/2002;70,4;-5,5;67,0;-1,9
01/02/2002;68,3;-2,1;68,7;2,5
01/03/2002;70,0;-8,5;68,2;-0,7
01/04/2002;72,6;11,2;70,0;2,6
01/05/2002;67,4;-6,9;69,6;-0,6
01/06/2002;70,6;2,8;70,1;0,7
01/07/2002;71,2;5,2;68,9;-1,7
01/08/2002;62,8;-3,1;68,8;-0,1
01/09/2002;70,3;10,4;70,4;2,3
01/10/2002;71,4;5,0;69,1;-1,8
01/11/2002;70,5;5,7;70,4;1,9
01/12/2002;62,1;3,8;69,1;-1,8
01/01/2003;72,6;3,1;69,9;1,2
01/02/2003;70,2;2,8;69,7;-0,3
01/03/2003;72,6;3,7;69,5;-0,3
01/04/2003;68,9;-5,1;68,7;-1,2
01/05/2003;66,4;-1,5;66,9;-2,6
01/06/2003;67,6;-4,2;68,7;2,7
01/07/2003;71,8;0,8;69,6;1,3
01/08/2003;60,9;-3,0;69,0;-0,9
01/09/2003;72,9;3,7;70,3;1,9
01/10/2003;73,9;3,5;71,4;1,6
01/11/2003;71,7;1,7;72,5;1,5
01/12/2003;68,1;9,7;74,1;2,2
01/01/2004;73,6;1,4;73,2;-1,2
01/02/2004;73,6;4,8;74,2;1,4
01/03/2004;84,4;16,3;74,3;0,1
01/04/2004;75,1;9,0;74,9;0,8
01/05/2004;72,0;8,4;75,1;0,3
01/06/2004;78,3;15,8;74,1;-1,3
01/07/2004;74,7;4,0;75,1;1,3
01/08/2004;69,0;13,3;75,1;0,0
01/09/2004;77,4;6,2;74,8;-0,4
01/10/2004;74,0;0,1;73,8;-1,3
01/11/2004;76,0;6,0;73,4;-0,5
01/12/2004;71,3;4,7;74,2;1,1
01/01/2005;75,8;3,0;75,4;1,6
01/02/2005;72,9;-1,0;74,0;-1,9
01/03/2005;78,6;-6,9;73,7;-0,4
01/04/2005;76,0;1,2;73,8;0,1
01/05/2005;72,6;0,8;74,7;1,2
01/06/2005;81,7;4,3;75,8;1,5
01/07/2005;76,8;2,8;79,3;4,6
01/08/2005;73,3;6,2;77,8;-1,9
01/09/2005;81,5;5,3;78,8;1,3
01/10/2005;77,3;4,5;80,2;1,8
01/11/2005;83,1;9,3;80,6;0,5
01/12/2005;78,4;10,0;82,3;2,1
01/01/2006;84,1;10,9;80,9;-1,7
01/02/2006;81,5;11,8;82,6;2,1
01/03/2006;92,6;17,8;81,6;-1,2
01/04/2006;79,2;4,2;84,3;3,3
01/05/2006;86,7;19,4;84,4;0,1
01/06/2006;87,9;7,6;86,0;1,9
01/07/2006;82,8;7,8;85,3;-0,8
01/08/2006;81,9;11,7;86,6;1,5
01/09/2006;86,5;6,1;86,6;0,0
01/10/2006;87,3;12,9;87,9;1,5
01/11/2006;91,2;9,7;88,6;0,8
01/12/2006;80,2;2,3;88,2;-0,5
