Volumenindex des Auftragseingangs, aktueller Monat vorläufig
Datum;Verarbeitendes Gewerbe, 2021=100;Vorleistungsgüter, 2021=100;Investitionsgüter, 2021=100;Gebrauchsgüter, 2021=100;Verbrauchsgüter, 2021=100
01/03/2000;76,8;80,6;72,2;79,5;99,7
01/04/2000;64,1;66,6;61,8;66,1;71,0
01/05/2000;72,5;77,3;69,1;72,1;77,0
01/06/2000;68,5;71,8;66,0;68,1;73,9
01/07/2000;67,4;70,5;64,5;65,7;78,9
01/08/2000;66,8;71,8;61,2;64,6;94,8
01/09/2000;71,2;74,4;66,7;77,7;95,0
01/10/2000;70,3;72,7;67,7;76,5;79,4
01/11/2000;73,2;74,7;71,6;81,1;77,0
01/12/2000;67,9;66,8;68,2;66,2;72,1
01/01/2001;70,9;74,5;66,7;76,1;86,2
01/02/2001;69,5;69,8;66,7;72,3;96,6
01/03/2001;76,4;76,5;74,3;81,3;98,2
01/04/2001;64,5;65,3;62,9;69,0;75,3
01/05/2001;70,2;72,4;68,2;73,4;75,5
01/06/2001;67,2;68,7;65,5;69,0;77,4
01/07/2001;66,6;67,7;63,9;70,0;85,7
01/08/2001;64,2;64,8;60,3;66,2;98,1
01/09/2001;64,0;63,7;61,6;75,4;85,9
01/10/2001;66,5;68,0;63,7;79,9;82,2
01/11/2001;66,8;66,7;65,6;77,3;77,5
01/12/2001;61,4;59,8;61,9;60,0;67,4
01/01/2002;67,9;70,4;64,1;76,0;86,8
01/02/2002;65,7;68,3;61,2;70,7;92,8
01/03/2002;69,4;70,0;66,6;73,9;94,9
01/04/2002;69,5;72,6;66,5;71,4;82,2
01/05/2002;66,7;67,4;65,8;66,2;71,2
01/06/2002;68,4;70,6;66,4;68,9;75,0
01/07/2002;69,4;71,2;66,6;67,9;87,4
01/08/2002;62,9;62,8;60,5;60,4;90,3
01/09/2002;68,7;70,3;65,2;77,3;91,4
01/10/2002;69,7;71,4;67,2;78,8;83,0
01/11/2002;68,9;70,5;66,7;75,6;78,9
01/12/2002;61,2;62,1;60,1;61,0;67,8
01/01/2003;69,4;72,6;65,9;70,3;85,2
01/02/2003;69,1;70,2;66,1;66,7;96,3
01/03/2003;70,2;72,6;67,1;71,1;89,5
01/04/2003;66,7;68,9;64,5;64,9;78,0
01/05/2003;64,6;66,4;62,6;63,3;74,3
01/06/2003;66,2;67,6;64,5;63,2;74,2
01/07/2003;68,9;71,8;65,6;69,4;85,9
01/08/2003;59,4;60,9;56,1;54,7;87,7
01/09/2003;71,8;72,9;69,1;79,5;88,5
01/10/2003;71,6;73,9;68,8;77,5;86,0
01/11/2003;69,1;71,7;66,7;71,9;74,7
01/12/2003;67,8;68,1;67,2;63,8;73,8
01/01/2004;68,8;73,6;64,8;66,9;80,3
01/02/2004;70,3;73,6;66,5;65,9;92,6
01/03/2004;81,5;84,4;78,5;77,1;97,2
01/04/2004;72,2;75,1;70,0;66,6;80,3
01/05/2004;69,6;72,0;68,0;65,0;73,0
01/06/2004;75,1;78,3;73,2;68,8;78,3
01/07/2004;72,2;74,7;69,5;65,9;88,0
01/08/2004;65,4;69,0;61,5;54,2;91,3
01/09/2004;75,7;77,4;73,3;73,7;89,5
01/10/2004;72,3;74,0;70,5;70,8;82,1
01/11/2004;73,6;76,0;71,2;70,0;82,2
01/12/2004;76,4;71,3;80,3;61,2;76,9
01/01/2005;72,2;75,8;68,8;62,8;89,1
01/02/2005;71,9;72,9;69,0;63,4;99,9
01/03/2005;78,9;78,6;77,9;68,8;98,7
01/04/2005;74,5;76,0;72,7;66,5;86,5
01/05/2005;71,1;72,6;69,6;61,3;80,9
01/06/2005;81,5;81,7;81,3;70,2;88,2
01/07/2005;75,0;76,8;72,8;61,2;93,2
01/08/2005;71,1;73,3;67,6;58,4;99,7
01/09/2005;81,4;81,5;80,5;74,1;93,9
01/10/2005;76,4;77,3;75,4;69,0;87,0
01/11/2005;82,9;83,1;82,5;74,4;89,0
01/12/2005;80,2;78,4;81,7;63,0;83,4
01/01/2006;81,4;84,1;79,2;69,2;91,4
01/02/2006;80,4;81,5;78,2;68,1;101,3
01/03/2006;91,1;92,6;89,5;80,6;103,3
01/04/2006;76,7;79,2;75,2;65,2;81,8
01/05/2006;84,1;86,7;82,5;75,2;88,3
01/06/2006;83,2;87,9;80,8;70,0;83,5
01/07/2006;80,9;82,8;78,9;66,8;96,5
01/08/2006;80,9;81,9;78,9;66,3;103,7
01/09/2006;85,7;86,5;84,4;77,1;95,3
01/10/2006;84,0;87,3;81,1;79,6;93,5
01/11/2006;87,7;91,2;85,0;80,4;97,2
01/12/2006;82,4;80,2;84,6;63,9;83,0
01/01/2007;88,6;92,9;85,6;71,1;100,0
01/02/2007;88,7;87,4;88,4;69,6;109,9
01/03/2007;98,3;100,6;96,8;78,8;108,8
01/04/2007;84,8;85,8;84,3;68,6;90,0
01/05/2007;90,3;90,9;90,4;71,3;94,5
01/06/2007;96,6;95,2;98,7;73,3;96,2
01/07/2007;89,6;90,2;88,4;71,8;105,4
01/08/2007;84,8;86,4;82,3;67,0;109,6
01/09/2007;88,2;89,4;86,9;76,1;98,8
01/10/2007;96,6;95,1;96,9;97,3;102,1
01/11/2007;99,6;101,2;99,3;77,3;101,2
01/12/2007;88,2;83,7;92,6;59,3;84,9
01/01/2008;95,1;98,5;93,4;71,9;102,9
01/02/2008;95,5;94,3;95,7;69,7;113,5
01/03/2008;92,5;94,0;92,3;70,3;96,6
01/04/2008;97,0;98,6;97,0;77,0;96,1
01/05/2008;87,6;91,0;86,2;66,6;88,2
