Ausrüstungsinvestitionen, preisindex
Datum;Originalwert, Kettenindex 2015=100;Originalwert, Veränderung gegenüber Vorjahresquartal in %;Trend-Konjunktur-Komponente (BV 4.1), Kettenindex 2015=100;Trend-Konjunktur-Komponente (BV 4.1), Veränderung gegenüber Vorquartal in %;Kalender- und saisonbereinigte Werte (BV 4.1), Kettenindex 2015=100;Kalender- und saisonbereinigte Werte (BV 4.1), Veränderung gegenüber Vorquartal in %;Restkomponente (BV 4.1)
01/07/1995;56,23;.;58,63;0,6;58,73;1,5;0,1
01/10/1995;67,24;.;59,11;0,8;59,44;1,2;0,3
01/01/1996;53,74;0,3;59,63;0,9;59,17;-0,5;-0,5
01/04/1996;59,62;4,7;60,19;1,0;60,50;2,2;0,3
01/07/1996;58,83;4,6;60,64;0,7;60,75;0,4;0,1
01/10/1996;68,60;2,0;61,08;0,7;60,96;0,4;-0,1
01/01/1997;54,43;1,3;61,52;0,7;61,62;1,1;0,1
01/04/1997;62,57;4,9;62,18;1,1;62,12;0,8;-0,1
01/07/1997;61,02;3,7;63,36;1,9;63,12;1,6;-0,2
01/10/1997;72,35;5,5;64,98;2,6;64,80;2,7;-0,2
01/01/1998;61,75;13,4;66,93;3,0;67,17;3,7;0,2
01/04/1998;67,62;8,1;68,88;2,9;68,88;2,5;-0,0
01/07/1998;68,66;12,5;70,63;2,5;70,65;2,6;0,0
01/10/1998;81,37;12,5;72,04;2,0;72,27;2,3;0,2
01/01/1999;67,63;9,5;73,21;1,6;73,31;1,4;0,1
01/04/1999;73,50;8,7;74,26;1,4;74,22;1,2;-0,0
01/07/1999;73,77;7,4;75,46;1,6;75,50;1,7;0,0
01/10/1999;86,66;6,5;77,04;2,1;76,45;1,3;-0,6
01/01/2000;74,39;10,0;79,42;3,1;79,08;3,4;-0,3
01/04/2000;80,67;9,8;82,20;3,5;82,23;4,0;0,0
01/07/2000;82,16;11,4;84,46;2,8;84,74;3,0;0,3
01/10/2000;94,68;9,3;85,29;1,0;85,92;1,4;0,6
01/01/2001;79,15;6,4;84,42;-1,0;85,00;-1,1;0,6
01/04/2001;80,45;-0,3;82,11;-2,7;81,79;-3,8;-0,3
01/07/2001;76,21;-7,2;79,34;-3,4;79,03;-3,4;-0,3
01/10/2001;85,99;-9,2;76,98;-3,0;77,08;-2,5;0,1
01/01/2002;66,83;-15,6;75,19;-2,3;74,37;-3,5;-0,8
01/04/2002;74,58;-7,3;74,33;-1,1;74,78;0,5;0,4
01/07/2002;71,76;-5,8;73,82;-0,7;73,76;-1,4;-0,1
01/10/2002;81,85;-4,8;73,65;-0,2;73,26;-0,7;-0,4
01/01/2003;67,64;1,2;73,80;0,2;74,88;2,2;1,1
01/04/2003;72,31;-3,0;73,43;-0,5;72,92;-2,6;-0,5
01/07/2003;71,60;-0,2;73,21;-0,3;73,17;0,3;-0,0
01/10/2003;82,17;0,4;73,32;0,1;73,46;0,4;0,1
01/01/2004;65,69;-2,9;73,92;0,8;73,09;-0,5;-0,8
01/04/2004;76,09;5,2;75,09;1,6;75,67;3,5;0,6
01/07/2004;75,07;4,8;76,01;1,2;76,79;1,5;0,8
01/10/2004;87,51;6,5;76,53;0,7;75,77;-1,3;-0,8
01/01/2005;68,44;4,2;77,59;1,4;78,02;3,0;0,4
01/04/2005;80,71;6,1;79,19;2,1;78,45;0,5;-0,7
01/07/2005;78,63;4,7;81,92;3,4;81,72;4,2;-0,2
01/10/2005;97,54;11,5;85,00;3,8;85,62;4,8;0,6
01/01/2006;79,28;15,8;87,67;3,1;87,16;1,8;-0,5
01/04/2006;91,85;13,8;90,47;3,2;91,44;4,9;1,0
01/07/2006;86,96;10,6;92,53;2,3;91,89;0,5;-0,6
01/10/2006;106,80;9,5;94,43;2,0;94,39;2,7;-0,0
01/01/2007;87,77;10,7;96,19;1,9;96,91;2,7;0,7
01/04/2007;97,21;5,8;97,77;1,6;97,17;0,3;-0,6
