Ausrüstungsinvestitionen, preisindex
Datum;Originalwert, Kettenindex 2020=100;Originalwert, Veränderung gegenüber Vorjahresquartal in %;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, Kettenindex 2020=100;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, Veränderung gegenüber Vorquartal in %
01/07/1996;56,75;.;58,53;0,1
01/10/1996;66,17;.;59,48;1,6
01/01/1997;52,50;1,3;59,59;0,2
01/04/1997;60,35;4,9;59,93;0,6
01/07/1997;58,85;3,7;60,43;0,8
01/10/1997;69,78;5,5;62,44;3,3
01/01/1998;59,56;13,4;65,60;5,1
01/04/1998;65,22;8,1;66,44;1,3
01/07/1998;66,22;12,5;67,81;2,1
01/10/1998;78,49;12,5;68,72;1,3
01/01/1999;65,23;9,5;71,49;4,0
01/04/1999;70,89;8,7;71,23;-0,4
01/07/1999;71,15;7,4;72,88;2,3
01/10/1999;83,58;6,5;73,03;0,2
01/01/2000;71,74;10,0;77,07;5,5
01/04/2000;77,81;9,8;79,08;2,6
01/07/2000;79,24;11,4;82,46;4,3
01/10/2000;91,32;9,3;81,65;-1,0
01/01/2001;76,34;6,4;82,42;0,9
01/04/2001;77,59;-0,3;78,65;-4,6
01/07/2001;73,50;-7,2;76,25;-3,1
01/10/2001;82,93;-9,2;74,48;-2,3
01/01/2002;64,46;-15,6;71,67;-3,8
01/04/2002;71,93;-7,3;72,22;0,8
01/07/2002;69,21;-5,8;71,11;-1,5
01/10/2002;78,94;-4,8;71,13;0,0
01/01/2003;65,24;1,2;72,08;1,3
01/04/2003;69,74;-3,0;70,79;-1,8
01/07/2003;69,06;-0,2;70,84;0,1
01/10/2003;79,25;0,4;70,89;0,1
01/01/2004;63,36;-2,9;69,10;-2,5
01/04/2004;73,38;5,2;73,57;6,5
01/07/2004;72,40;4,8;74,42;1,2
01/10/2004;84,40;6,5;73,68;-1,0
01/01/2005;66,00;4,2;74,22;0,7
01/04/2005;77,84;6,1;76,29;2,8
01/07/2005;75,84;4,8;78,36;2,7
01/10/2005;94,08;11,5;83,21;6,2
01/01/2006;76,46;15,8;82,78;-0,5
01/04/2006;88,59;13,8;90,24;9,0
01/07/2006;83,88;10,6;87,80;-2,7
01/10/2006;103,02;9,5;91,78;4,5
01/01/2007;84,65;10,7;92,38;0,7
01/04/2007;93,78;5,9;95,17;3,0
01/07/2007;91,15;8,7;95,38;0,2
01/10/2007;109,97;6,7;98,53;3,3
01/01/2008;86,83;2,6;97,06;-1,5
01/04/2008;100,25;6,9;97,99;1,0
01/07/2008;95,77;5,1;98,50;0,5
01/10/2008;106,44;-3,2;94,68;-3,9
01/01/2009;71,33;-17,9;78,72;-16,9
