Erteilte Baugenehmigungen im Hochbau, Insgesamt (einschlieﬂlich Baumaﬂnahmen an bestehenden Geb‰uden), Wohn- und Nichtwohngeb‰ude
Datum;Geb‰ude/Baumaﬂnahmen, Anzahl;Wohnungen, Anzahl;Wohnfl‰che, 1000 m≤;Veranschlagte Kosten des Bauwerks, 1000 EUR
01/03/2003;27791;27721;3443;6354329
01/04/2003;25250;24889;3045;5634438
01/05/2003;24138;23031;2797;6243105
01/06/2003;23241;22051;2657;5966082
01/07/2003;24136;22282;2712;5745391
01/08/2003;21258;20926;2471;5231148
01/09/2003;21844;21112;2501;5240981
01/10/2003;22828;22418;2666;5247617
01/11/2003;21140;20728;2492;4922114
01/12/2003;27890;30672;3664;6803535
01/01/2004;29742;29390;3719;6126580
01/02/2004;29318;29143;3677;6326010
01/03/2004;30115;30318;3755;6608498
01/04/2004;22749;23467;2808;5262908
01/05/2004;21308;19976;2449;4895237
01/06/2004;21844;20143;2439;5299888
01/07/2004;20015;18531;2220;4982622
01/08/2004;20033;19244;2290;4786599
01/09/2004;18907;18250;2150;4660198
01/10/2004;18823;18693;2166;4690005
01/11/2004;18328;19125;2189;4435496
01/12/2004;20505;21843;2580;5371979
01/01/2005;20242;20503;2510;4576081
01/02/2005;19035;19977;2384;4479558
01/03/2005;20233;20475;2438;5034232
01/04/2005;19726;18562;2286;4520264
01/05/2005;19167;18658;2228;4531981
01/06/2005;20829;19567;2331;4704970
01/07/2005;19779;18674;2229;4813253
01/08/2005;21112;19501;2361;4988817
01/09/2005;20038;20013;2372;4999805
01/10/2005;18562;18195;2140;4637769
01/11/2005;19588;20480;2408;4814986
01/12/2005;23791;25883;3117;5952276
01/01/2006;25411;26977;3337;5696986
01/02/2006;23376;24900;3078;5532812
01/03/2006;25734;27337;3345;6329380
01/04/2006;21097;21148;2561;5097946
01/05/2006;22514;21801;2641;5391406
01/06/2006;20517;18745;2271;5052268
01/07/2006;20809;20330;2397;5466137
01/08/2006;20641;19488;2325;5199601
01/09/2006;18496;17365;2040;4702526
01/10/2006;17629;16918;1981;4595760
01/11/2006;15968;15828;1844;4092505
