Erteilte Baugenehmigungen im Hochbau, Errichtung neuer Geb‰ude, Wohn- und Nichtwohngeb‰ude
Datum;Geb‰ude/Baumaﬂnahmen, Anzahl;Wohnungen, Anzahl;Wohnfl‰che, 1000 m≤;Veranschlagte Kosten des Bauwerks, 1000 EUR
01/03/2003;20078;24944;3002;5430185
01/04/2003;17544;22366;2633;4696977
01/05/2003;16419;20526;2389;5112874
01/06/2003;15626;19474;2259;4966314
01/07/2003;16233;19934;2316;4681992
01/08/2003;14460;18793;2126;4356630
01/09/2003;14936;18749;2147;4266807
01/10/2003;15993;20234;2324;4279349
01/11/2003;15096;18682;2182;4069219
01/12/2003;21349;28066;3284;5849027
01/01/2004;22357;26811;3309;5293194
01/02/2004;21189;26165;3188;5340624
01/03/2004;21160;27076;3244;5548907
01/04/2004;15491;20861;2405;4399066
01/05/2004;14150;17830;2063;4021902
01/06/2004;14180;17605;2035;4323410
01/07/2004;13211;16653;1890;4096139
01/08/2004;13255;16965;1929;3865316
01/09/2004;12721;16222;1844;3833361
01/10/2004;12858;16729;1878;3829380
01/11/2004;12773;17222;1907;3666038
01/12/2004;14879;19802;2271;4483323
01/01/2005;14843;18372;2213;3930016
01/02/2005;13655;17832;2081;3777974
01/03/2005;14438;18317;2132;4239236
01/04/2005;13338;16659;1957;3642258
01/05/2005;12694;16727;1905;3662257
01/06/2005;13551;17280;1960;3758174
01/07/2005;13073;16512;1907;3865398
01/08/2005;14158;17426;2028;4110982
01/09/2005;13906;17919;2060;4183853
01/10/2005;12980;16265;1866;3860163
01/11/2005;14174;18426;2125;3968454
01/12/2005;18214;23533;2786;5085228
01/01/2006;19713;24743;3005;4875751
01/02/2006;17505;22296;2713;4664333
01/03/2006;18829;24448;2931;5365057
01/04/2006;14800;18833;2227;4310032
01/05/2006;14991;19150;2246;4421949
01/06/2006;13147;16497;1918;3968371
01/07/2006;13635;17872;2025;4446964
01/08/2006;13853;17629;2008;4175479
01/09/2006;12189;15511;1752;3775967
01/10/2006;11619;15030;1707;3752511
01/11/2006;10608;13861;1558;3357767
01/12/2006;10596;14565;1613;3642186
01/01/2007;8566;11745;1318;2903357
01/02/2007;8570;11273;1287;2904470
01/03/2007;10186;13166;1503;3233303
01/04/2007;10316;13634;1563;4087590
01/05/2007;11498;14573;1671;3789190
01/06/2007;10843;13741;1565;3632936
01/07/2007;11573;14905;1681;4326551
01/08/2007;11270;13935;1597;3923761
01/09/2007;10471;13874;1569;4039328
01/10/2007;10824;13689;1562;3772043
01/11/2007;9626;12766;1427;4063219
01/12/2007;9619;13668;1521;3915574
01/01/2008;8553;11100;1288;3152333
