Volumenindex des Auftragseingangs im Bauhauptgewerbe, Originalwert
Datum;Insgesamt, 2021=100;Wohnungsbau, 2021=100;Hochbau ohne Wohnungsbau, 2021=100;Straﬂenbau, 2021=100;Tiefbau ohne Straﬂenbau, 2021=100
01/03/2000;120,3;122,0;132,0;111,1;111,1
01/04/2000;101,9;100,9;107,6;104,4;95,4
01/05/2000;113,7;101,9;133,2;117,7;100,5
01/06/2000;114,0;107,2;124,7;128,9;100,7
01/07/2000;104,3;94,5;114,8;117,9;94,3
01/08/2000;98,3;90,7;101,1;114,4;93,4
01/09/2000;110,9;93,0;131,0;119,9;99,6
01/10/2000;95,9;83,9;103,0;92,4;99,6
01/11/2000;85,0;72,7;100,0;76,3;83,5
01/12/2000;92,0;71,7;120,7;79,4;84,2
01/01/2001;68,7;67,2;90,2;41,8;61,0
01/02/2001;75,5;68,9;86,3;57,1;78,7
01/03/2001;106,0;95,2;121,9;98,4;101,8
01/04/2001;98,4;82,7;114,7;104,6;90,8
01/05/2001;109,3;89,2;124,1;126,5;101,3
01/06/2001;118,2;100,3;133,4;134,1;108,7
01/07/2001;98,9;74,8;115,8;113,9;93,0
01/08/2001;100,9;75,6;114,7;121,9;96,3
01/09/2001;102,0;81,1;116,9;116,3;95,7
01/10/2001;92,5;71,7;103,9;99,4;93,7
01/11/2001;83,1;57,5;101,3;76,2;88,1
01/12/2001;79,8;56,2;101,6;66,4;82,6
01/01/2002;63,7;54,5;72,1;53,5;67,3
01/02/2002;73,8;58,1;89,4;67,9;73,0
01/03/2002;109,0;77,5;140,9;93,5;108,3
01/04/2002;97,5;76,4;100,9;107,4;105,8
01/05/2002;92,0;72,6;97,4;115,5;90,1
01/06/2002;106,5;78,6;116,3;134,2;104,5
01/07/2002;95,8;65,3;106,6;115,3;98,8
01/08/2002;88,5;66,0;91,7;112,8;90,8
01/09/2002;101,7;71,7;108,0;121,3;109,1
01/10/2002;85,3;63,0;80,2;99,9;100,9
01/11/2002;75,3;63,8;72,8;85,2;81,7
01/12/2002;79,7;65,4;97,8;63,9;80,2
01/01/2003;57,6;46,7;65,9;58,7;57,1
01/02/2003;64,9;51,1;75,0;60,9;67,6
01/03/2003;87,8;72,6;88,2;100,2;93,1
01/04/2003;83,4;65,3;86,4;97,3;87,6
01/05/2003;83,8;62,4;84,9;100,9;90,8
01/06/2003;93,9;70,1;91,5;119,0;102,5
01/07/2003;92,8;67,2;92,8;125,9;96,6
01/08/2003;79,9;62,3;80,6;99,0;83,8
01/09/2003;93,0;71,9;94,1;109,5;100,4
01/10/2003;80,9;66,1;79,7;96,9;86,1
01/11/2003;69,2;57,7;71,8;67,3;76,5
01/12/2003;69,9;62,4;73,4;62,0;76,0
01/01/2004;53,2;38,5;67,8;47,0;52,8
01/02/2004;66,3;54,3;88,1;57,6;57,6
01/03/2004;84,5;67,1;82,9;109,5;87,5
01/04/2004;78,0;58,9;78,7;97,1;82,8
01/05/2004;74,3;60,9;69,5;100,3;76,7
01/06/2004;91,1;68,2;91,3;122,3;93,4
01/07/2004;78,2;58,4;81,6;99,5;79,6
01/08/2004;76,8;55,8;79,2;101,0;78,8
01/09/2004;86,2;66,0;83,6;115,4;89,8
01/10/2004;73,2;54,0;76,9;91,1;75,8
01/11/2004;61,8;47,5;62,3;69,5;68,5
