Beschäftigte und Umsatz im Bauhauptgewerbe
Datum;Bauhauptgewerbe insgesamt, Beschäftigte, 2021=100;Bauhauptgewerbe insgesamt, Umsatz, 2021=100;Bau von Gebäuden, Beschäftigte, 2021=100;Bau von Gebäuden, Umsatz, 2021=100;Tiefbau, Beschäftigte, 2021=100;Tiefbau, Umsatz, 2021=100
01/03/2010;83,0;47,4;90,4;50,9;82,2;43,4
01/04/2010;86,0;57,4;93,3;59,3;85,3;57,3
01/05/2010;87,2;61,8;94,7;64,8;86,1;62,5
01/06/2010;88,1;70,5;95,6;71,7;86,7;73,6
01/07/2010;88,5;72,2;96,0;73,2;86,9;76,7
01/08/2010;89,7;69,9;97,3;71,6;87,8;73,9
01/09/2010;90,4;74,5;97,9;75,6;88,3;79,1
01/10/2010;90,2;76,4;97,4;76,6;88,1;82,6
01/11/2010;89,7;79,5;96,7;79,5;87,8;86,3
01/12/2010;85,7;71,7;92,3;73,9;84,9;76,3
01/01/2011;82,8;32,3;89,7;34,9;81,4;28,3
01/02/2011;83,3;41,7;90,5;47,7;81,5;34,7
01/03/2011;86,0;58,6;93,2;63,6;84,4;55,6
01/04/2011;87,7;61,8;94,9;65,6;86,1;61,2
01/05/2011;88,7;75,2;96,0;79,2;86,7;77,6
01/06/2011;89,2;70,5;96,7;74,0;87,0;73,2
01/07/2011;89,4;74,8;96,7;78,9;87,2;77,3
01/08/2011;90,6;76,2;97,8;80,3;88,5;78,5
01/09/2011;91,0;78,8;98,1;81,3;88,6;83,1
01/10/2011;90,8;78,4;97,7;81,7;88,5;83,0
01/11/2011;90,2;86,4;97,0;88,5;88,2;92,1
01/12/2011;86,9;87,8;93,4;93,8;85,7;90,0
01/01/2012;84,0;38,0;90,7;43,2;82,2;33,9
01/02/2012;83,6;38,2;90,2;45,0;81,7;31,2
01/03/2012;86,5;57,7;92,8;64,9;84,0;49,2
01/04/2012;88,0;62,0;94,6;68,2;85,7;58,3
01/05/2012;88,7;70,2;95,2;76,1;86,3;69,0
01/06/2012;89,2;74,3;95,9;79,2;86,7;74,9
01/07/2012;89,7;79,1;96,5;86,6;86,8;78,8
01/08/2012;90,6;77,7;97,3;82,4;87,7;79,7
01/09/2012;91,0;76,5;97,6;80,2;87,9;78,8
01/10/2012;90,8;82,5;97,3;86,9;87,9;84,4
01/11/2012;90,2;83,8;96,6;88,4;87,5;86,8
01/12/2012;86,6;78,7;92,5;88,9;85,0;75,0
01/01/2013;84,0;34,6;90,1;40,2;82,3;29,4
01/02/2013;83,9;38,4;90,1;47,3;81,9;29,6
01/03/2013;85,2;48,0;91,6;56,6;83,1;39,4
01/04/2013;88,0;62,7;94,6;72,2;85,5;56,4
01/05/2013;89,1;67,6;95,9;75,2;86,2;63,6
01/06/2013;89,7;74,3;96,7;81,4;86,6;73,0
01/07/2013;90,4;84,9;97,4;93,9;87,1;82,9
01/08/2013;91,2;77,9;98,2;83,6;87,8;77,8
01/09/2013;91,8;80,7;98,6;86,9;88,0;80,1
01/10/2013;91,5;85,8;98,2;92,2;87,7;86,0
01/11/2013;90,8;86,5;97,4;92,4;87,1;87,2
01/12/2013;87,1;88,2;93,3;97,6;84,4;85,8
01/01/2014;84,8;41,4;91,1;48,5;81,6;33,8
01/02/2014;85,1;48,6;91,7;59,6;81,4;38,0
01/03/2014;87,4;62,0;93,9;71,9;83,7;54,5
01/04/2014;88,9;69,2;95,3;78,7;85,0;64,4
01/05/2014;89,5;72,6;95,9;79,8;85,5;69,4
01/06/2014;90,1;74,5;96,5;82,6;86,1;72,3
01/07/2014;90,4;84,8;96,8;95,1;86,4;82,5
01/08/2014;91,1;76,1;97,5;83,6;87,0;74,9
01/09/2014;91,8;83,4;98,1;90,2;87,6;83,1
01/10/2014;91,6;86,8;97,7;94,3;87,6;88,0
01/11/2014;90,8;85,9;96,9;91,3;87,1;89,6
01/12/2014;87,4;88,5;93,0;95,6;84,6;88,4
01/01/2015;85,1;40,0;90,6;46,5;82,1;35,6
01/02/2015;85,1;45,6;90,8;53,3;81,8;37,6
01/03/2015;87,2;63,6;92,9;71,4;83,9;57,1
01/04/2015;88,9;68,2;94,5;74,3;85,6;65,0
01/05/2015;89,4;69,7;94,9;74,2;86,0;68,6
01/06/2015;90,1;81,0;95,8;85,2;86,5;81,0
01/07/2015;90,5;87,8;96,1;93,2;86,9;89,1
01/08/2015;91,2;78,0;96,9;81,1;87,5;80,4
01/09/2015;91,8;85,1;97,5;87,3;87,9;88,5
01/10/2015;91,5;89,0;97,1;92,2;87,9;91,7
01/11/2015;90,9;90,9;96,6;93,4;87,1;95,3
01/12/2015;88,0;95,4;93,5;97,5;85,3;101,1
01/01/2016;85,7;38,6;91,2;43,4;82,7;34,3
01/02/2016;86,4;51,8;92,3;59,1;83,0;41,9
01/03/2016;88,1;65,6;93,9;72,4;84,8;58,7
01/04/2016;89,7;75,0;95,4;79,8;86,4;71,2
01/05/2016;90,4;77,5;96,2;82,0;86,8;76,7
01/06/2016;91,1;87,5;97,0;91,7;87,3;88,9
01/07/2016;91,4;86,2;97,4;88,6;87,5;89,9
01/08/2016;92,5;87,0;98,5;89,2;88,6;91,1
01/09/2016;93,2;91,6;99,3;94,0;89,2;96,7
01/10/2016;93,1;88,8;99,0;90,8;89,2;94,7
01/11/2016;92,7;95,2;98,6;96,7;89,0;104,2
01/12/2016;89,8;104,2;95,4;110,2;86,9;110,4
01/01/2017;87,8;40,9;93,6;44,6;84,8;39,3
01/02/2017;88,4;51,6;94,6;59,2;84,8;43,5
01/03/2017;90,9;75,1;97,2;82,9;87,4;69,4
01/04/2017;92,2;75,1;98,2;81,0;88,9;73,2
01/05/2017;93,0;87,6;98,9;93,5;89,5;86,9
01/06/2017;93,5;90,6;99,6;94,7;89,9;93,2
01/07/2017;93,8;93,2;99,9;98,9;90,3;95,0
01/08/2017;94,7;92,9;100,5;94,7;91,4;97,2
01/09/2017;95,2;92,5;101,0;96,2;91,9;96,5
01/10/2017;95,0;92,5;100,4;95,4;92,2;96,9
01/11/2017;94,7;103,2;100,0;106,5;92,1;110,6
01/12/2017;91,9;103,3;96,9;107,6;90,0;108,1
01/01/2018;90,7;49,6;95,8;55,9;88,4;43,8
01/02/2018;91,0;57,2;96,1;63,5;88,2;48,6
01/03/2018;92,5;69,7;97,7;75,4;90,2;65,4
01/04/2018;94,3;82,1;99,2;85,6;92,1;83,4
01/05/2018;94,9;89,5;99,9;92,9;92,6;93,3
01/06/2018;95,6;98,3;100,5;100,2;93,2;105,0
01/07/2018;96,1;102,8;101,0;104,9;94,0;111,1
01/08/2018;96,9;99,8;101,7;98,8;94,9;109,7
01/09/2018;97,5;97,6;102,2;96,7;95,5;108,4
01/10/2018;97,7;107,4;102,3;106,8;95,7;117,6
01/11/2018;97,3;112,2;101,9;110,3;95,4;126,7
01/12/2018;94,6;110,3;98,9;113,2;93,6;120,7
01/01/2019;93,3;51,6;97,6;56,3;91,9;48,1
01/02/2019;93,8;63,1;98,1;67,7;92,0;56,8
01/03/2019;95,4;83,0;99,5;89,4;94,0;80,5
01/04/2019;96,6;92,0;100,2;95,3;95,3;93,6
01/05/2019;97,1;98,6;100,6;99,9;95,7;102,9
01/06/2019;97,4;95,0;100,7;95,6;96,1;101,9
01/07/2019;97,9;108,4;101,1;107,7;96,7;115,6
01/08/2019;98,5;99,9;101,5;98,6;97,6;108,8
01/09/2019;99,3;104,5;102,3;102,9;98,2;113,6
01/10/2019;99,2;108,6;102,1;108,5;98,3;117,9
01/11/2019;98,8;111,4;101,7;108,9;98,0;125,9
01/12/2019;96,5;115,9;99,1;119,5;96,3;121,7
01/01/2020;95,6;58,2;98,6;63,2;94,6;53,8
01/02/2020;96,0;69,5;99,1;75,6;94,7;62,8
01/03/2020;97,4;92,3;100,3;96,4;96,4;89,0
01/04/2020;97,7;93,6;100,0;94,6;97,2;97,1
01/05/2020;98,0;95,0;100,1;95,6;97,5;100,8
01/06/2020;98,7;105,3;100,8;105,1;98,1;111,7
01/07/2020;99,2;105,8;101,1;105,6;98,5;111,3
01/08/2020;100,0;95,9;101,5;95,9;99,3;100,9
01/09/2020;100,8;106,3;102,2;106,1;100,1;110,9
01/10/2020;100,7;110,8;102,0;108,6;100,0;118,0
01/11/2020;100,4;117,8;101,5;115,2;99,9;126,4
01/12/2020;98,3;138,2;99,2;145,4;98,4;137,2
01/01/2021;97,0;48,5;98,1;50,0;96,6;47,2
01/02/2021;97,4;58,6;98,5;63,5;96,6;50,5
01/03/2021;99,1;91,7;99,8;93,9;98,5;85,4
01/04/2021;100,0;96,5;100,3;97,9;99,8;94,6
01/05/2021;100,2;98,0;100,2;98,4;100,1;97,3
01/06/2021;100,5;108,0;100,5;107,9;100,3;107,1
01/07/2021;100,4;110,1;100,2;111,5;100,5;108,7
01/08/2021;101,1;103,2;100,7;99,8;101,3;105,5
01/09/2021;101,7;112,1;101,1;110,3;101,9;113,5
01/10/2021;101,7;114,2;100,9;111,2;102,0;118,0
01/11/2021;101,5;124,9;100,7;119,0;102,0;134,4
01/12/2021;99,4;134,4;98,9;136,7;100,3;137,7
01/01/2022;98,4;59,2;98,0;60,8;98,8;55,0
01/02/2022;99,0;75,2;98,5;79,4;99,5;65,2
01/03/2022;100,2;104,8;99,5;106,5;101,1;96,5
01/04/2022;100,6;99,5;99,5;99,7;101,9;95,4
01/05/2022;100,8;112,5;99,6;110,8;102,1;111,4
01/06/2022;101,0;114,9;99,7;114,3;102,5;115,7
01/07/2022;100,8;116,8;99,4;113,7;102,4;119,8
01/08/2022;101,6;113,9;99,9;108,7;103,3;120,3
01/09/2022;102,5;119,7;100,4;116,5;104,3;123,9
01/10/2022;102,0;118,7;99,7;113,7;104,0;126,0
01/11/2022;101,6;135,9;99,2;128,7;103,8;150,5
01/12/2022;99,5;138,7;97,0;139,5;102,2;144,2
01/01/2023;98,5;62,1;96,0;62,8;101,0;57,4
01/02/2023;98,9;78,8;96,3;80,7;101,4;71,0
01/03/2023;99,8;107,0;96,8;104,9;102,7;105,3
01/04/2023;100,1;98,9;96,7;93,8;103,4;103,4
01/05/2023;100,3;112,7;96,5;107,5;103,9;120,3
01/06/2023;100,2;120,8;96,2;111,6;104,0;131,5
01/07/2023;100,1;120,3;95,8;111,9;104,2;132,1
01/08/2023;100,5;114,7;95,6;103,9;105,1;129,5
01/09/2023;101,0;118,9;95,8;109,3;105,8;131,5
01/10/2023;101,0;121,0;95,4;108,7;106,1;137,4
01/11/2023;100,7;131,4;94,9;114,0;105,9;156,1
01/12/2023;99,2;132,2;93,1;128,6;104,7;145,2
01/01/2024;98,1;58,7;91,8;53,8;103,3;61,2
01/02/2024;98,5;79,6;92,1;73,7;103,7;78,6
01/03/2024;99,4;97,6;92,4;87,8;105,1;103,3
01/04/2024;100,0;108,2;92,4;94,2;106,2;121,1
01/05/2024;99,8;106,7;91,9;89,6;106,2;124,1
01/06/2024;100,0;113,5;92,0;92,9;106,5;134,6
01/07/2024;100,1;123,9;91,7;103,2;106,8;145,4
01/08/2024;100,6;114,3;91,7;95,7;107,7;134,4
01/09/2024;101,0;116,7;92,1;94,9;108,0;139,5
01/10/2024;101,2;124,3;92,0;102,6;108,2;147,5
01/11/2024;100,9;130,8;91,6;105,9;108,1;162,1
01/12/2024;99,8;137,0;90,3;118,2;107,1;160,3
01/01/2025;98,9;65,9;89,2;60,2;106,1;69,6
01/02/2025;99,2;81,3;89,4;72,3;106,3;86,2
01/03/2025;100,2;101,2;90,1;87,3;107,6;111,2
01/04/2025;100,9;108,3;90,5;90,2;108,6;126,7
01/05/2025;100,9;112,2;90,4;91,1;108,7;135,1
01/06/2025;101,0;114,4;90,7;96,2;108,9;137,8
01/07/2025;101,1;127,2;90,7;102,6;108,9;158,2
01/08/2025;101,8;111,9;90,9;89,9;109,9;139,2
01/09/2025;102,5;123,8;91,4;98,1;110,8;154,7
01/10/2025;102,6;130,9;91,4;105,0;110,8;164,9
01/11/2025;102,4;136,9;91,0;107,7;110,7;179,6
01/12/2025;100,6;145,3;89,4;121,5;109,1;181,7
01/01/2026;99,4;61,1;88,4;52,1;107,6;70,7
01/02/2026;99,6;71,8;88,5;61,9;107,8;79,1
