Bauinvestitionen, preisbereinigt
Datum;Originalwert, Kettenindex 2020=100;Originalwert, Veränderung gegenüber Vorjahresquartal in %;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, Kettenindex 2020=100;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, Veränderung gegenüber Vorquartal in %
01/07/1997;109,92;.;101,28;-0,3
01/10/1997;98,83;.;101,17;-0,1
01/01/1998;89,02;7,2;101,94;0,8
01/04/1998;103,87;-5,0;98,79;-3,1
01/07/1998;108,25;-1,5;99,24;0,5
01/10/1998;96,44;-2,4;96,75;-2,5
01/01/1999;85,84;-3,6;98,58;1,9
01/04/1999;105,93;2,0;99,96;1,4
01/07/1999;110,55;2,1;101,51;1,6
01/10/1999;100,00;3,7;100,09;-1,4
01/01/2000;88,90;3,6;99,92;-0,2
01/04/2000;102,74;-3,0;98,08;-1,8
01/07/2000;104,59;-5,4;96,85;-1,3
01/10/2000;93,54;-6,5;95,12;-1,8
01/01/2001;83,08;-6,5;94,84;-0,3
01/04/2001;98,49;-4,1;94,15;-0,7
01/07/2001;101,09;-3,3;93,25;-1,0
01/10/2001;90,71;-3,0;92,50;-0,8
01/01/2002;77,27;-7,0;90,95;-1,7
01/04/2002;92,91;-5,7;87,73;-3,5
01/07/2002;96,44;-4,6;87,43;-0,3
01/10/2002;84,32;-7,0;86,14;-1,5
01/01/2003;72,56;-6,1;85,66;-0,6
01/04/2003;89,99;-3,1;86,00;0,4
01/07/2003;95,13;-1,4;86,04;0,0
01/10/2003;84,62;0,4;85,88;-0,2
01/01/2004;72,26;-0,4;84,30;-1,8
01/04/2004;86,73;-3,6;81,87;-2,9
01/07/2004;89,52;-5,9;80,36;-1,8
01/10/2004;80,47;-4,9;79,98;-0,5
01/01/2005;63,78;-11,7;77,30;-3,4
01/04/2005;85,17;-1,8;78,64;1,7
01/07/2005;88,27;-1,4;79,34;0,9
01/10/2005;79,76;-0,9;80,12;1,0
01/01/2006;65,97;3,4;77,35;-3,5
01/04/2006;86,96;2,1;83,12;7,5
01/07/2006;93,18;5,6;85,32;2,6
01/10/2006;86,14;8,0;86,89;1,8
01/01/2007;74,34;12,7;86,00;-1,0
01/04/2007;85,53;-1,6;81,75;-4,9
01/07/2007;89,95;-3,5;82,09;0,4
01/10/2007;81,61;-5,3;82,85;0,9
01/01/2008;72,58;-2,4;85,78;3,5
01/04/2008;87,88;2,7;81,30;-5,2
01/07/2008;89,58;-0,4;80,78;-0,6
01/10/2008;79,43;-2,7;80,59;-0,2
01/01/2009;66,22;-8,8;78,51;-2,6
01/04/2009;83,04;-5,5;79,12;0,8
01/07/2009;88,52;-1,2;79,56;0,6
01/10/2009;79,84;0,5;79,67;0,1
01/01/2010;65,46;-1,1;77,24;-3,1
01/04/2010;89,02;7,2;84,18;9,0
01/07/2010;92,33;4,3;83,44;-0,9
01/10/2010;80,56;0,9;80,66;-3,3
01/01/2011;76,45;16,8;87,28;8,2
01/04/2011;93,46;5,0;88,63;1,5
01/07/2011;96,46;4,5;87,90;-0,8
01/10/2011;87,61;8,8;88,74;1,0
01/01/2012;78,78;3,0;88,66;-0,1
01/04/2012;93,54;0,1;89,71;1,2
01/07/2012;97,43;1,0;90,08;0,4
01/10/2012;86,22;-1,6;88,40;-1,9
01/01/2013;72,93;-7,4;84,65;-4,2
01/04/2013;93,75;0,2;88,87;5,0
01/07/2013;98,30;0,9;90,10;1,4
01/10/2013;86,72;0,6;89,32;-0,9
01/01/2014;81,12;11,2;92,06;3,1
01/04/2014;93,24;-0,5;89,31;-3,0
01/07/2014;97,41;-0,9;89,34;0,0
01/10/2014;87,10;0,4;89,49;0,2
01/01/2015;77,75;-4,2;88,07;-1,6
