Baupreisindizes, Neubau (konventionelle Bauart) von Wohn- und Nichtwohngebäuden einschließlich Umsatzsteuer
Datum;Wohngebäude, 2021=100;Bürogebäude, 2021=100;Gewerbliche Betriebsgebäude, 2021=100
01/08/2000;60,9;59,1;57,8
01/11/2000;60,9;59,1;57,9
01/02/2001;60,9;59,2;57,9
01/05/2001;60,9;59,2;57,9
01/08/2001;60,9;59,2;57,9
01/11/2001;60,7;59,1;57,9
01/02/2002;60,8;59,3;58,0
01/05/2002;60,9;59,3;57,9
01/08/2002;60,9;59,4;58,1
01/11/2002;60,8;59,3;58,1
01/02/2003;60,9;59,4;58,2
01/05/2003;60,9;59,4;58,2
01/08/2003;60,9;59,4;58,2
01/11/2003;60,9;59,5;58,2
01/02/2004;60,9;59,5;58,3
01/05/2004;61,7;60,2;59,0
01/08/2004;61,8;60,5;59,4
01/11/2004;61,9;60,6;59,7
01/02/2005;62,2;60,9;60,2
01/05/2005;62,1;60,9;60,3
01/08/2005;62,2;60,9;60,3
01/11/2005;62,3;61,0;60,4
01/02/2006;62,5;61,4;60,8
01/05/2006;62,9;61,8;61,1
01/08/2006;63,7;62,5;62,1
01/11/2006;64,3;63,1;62,7
01/02/2007;67,0;65,9;65,4
01/05/2007;67,4;66,4;65,9
01/08/2007;67,8;66,7;66,3
01/11/2007;68,0;67,1;66,7
01/02/2008;68,7;67,8;67,4
01/05/2008;69,4;68,4;68,2
01/08/2008;70,1;69,1;69,3
01/11/2008;70,0;69,1;69,2
01/02/2009;70,1;69,3;69,3
01/05/2009;70,0;69,2;69,3
01/08/2009;70,1;69,3;69,3
01/11/2009;70,1;69,4;69,3
01/02/2010;70,2;69,5;69,3
01/05/2010;70,8;70,1;69,9
01/08/2010;71,0;70,4;70,3
01/11/2010;71,3;70,6;70,6
01/02/2011;72,1;71,6;71,5
01/05/2011;72,6;72,0;72,1
01/08/2011;73,1;72,6;72,6
01/11/2011;73,3;72,7;72,7
01/02/2012;74,1;73,5;73,5
01/05/2012;74,5;74,0;74,0
01/08/2012;74,9;74,2;74,2
01/11/2012;75,1;74,5;74,5
01/02/2013;75,7;75,0;75,0
01/05/2013;76,0;75,4;75,4
01/08/2013;76,4;75,7;75,7
01/11/2013;76,5;75,9;75,8
01/02/2014;77,1;76,6;76,4
01/05/2014;77,3;76,7;76,7
01/08/2014;77,6;77,0;77,0
01/11/2014;77,8;77,2;77,2
01/02/2015;78,3;77,7;77,7
01/05/2015;78,5;78,0;77,9
01/08/2015;78,8;78,3;78,3
01/11/2015;79,0;78,5;78,4
01/02/2016;79,6;79,2;79,0
01/05/2016;80,1;79,7;79,5
01/08/2016;80,5;80,1;80,0
01/11/2016;80,8;80,4;80,3
01/02/2017;81,8;81,4;81,3
01/05/2017;82,5;82,1;82,1
01/08/2017;83,1;82,7;82,7
01/11/2017;83,7;83,4;83,4
01/02/2018;85,1;84,8;84,7
01/05/2018;85,9;85,6;85,5
01/08/2018;87,0;86,7;86,7
01/11/2018;87,7;87,3;87,4
01/02/2019;89,2;88,8;88,9
01/05/2019;89,9;89,5;89,6
01/08/2019;90,5;90,2;90,3
01/11/2019;91,0;90,7;90,7
01/02/2020;92,2;91,9;91,9
01/05/2020;92,6;92,3;92,3
01/08/2020;90,5;90,2;90,3
01/11/2020;90,9;90,6;90,6
01/02/2021;95,0;94,7;94,8
01/05/2021;98,7;98,5;98,5
01/08/2021;102,1;102,2;102,2
01/11/2021;104,2;104,6;104,5
01/02/2022;108,8;109,4;109,1
01/05/2022;115,9;116,7;117,0
01/08/2022;118,9;119,9;120,0
01/11/2022;121,7;122,8;122,8
01/02/2023;125,0;126,0;125,9
01/05/2023;126,0;127,1;126,8
01/08/2023;126,4;127,6;127,3
01/11/2023;126,9;128,2;127,8
01/02/2024;128,5;130,0;129,5
01/05/2024;129,4;131,0;130,3
01/08/2024;130,3;132,0;131,2
01/11/2024;130,8;132,6;131,8
01/02/2025;132,6;134,5;133,6
01/05/2025;133,6;135,6;134,7
01/08/2025;134,3;136,4;135,5
01/11/2025;135,0;137,3;136,1
01/02/2026;137,0;139,4;138,1
