Beschäftigtenindex in ausgewählten Dienstleistungsbereichen, in konstanten Preisen
Datum;Dienstleistungen, 2015=100;Verkehr und Lagerei, 2015=100;Information und Kommunikation, 2015=100;Grundstücks- und Wohnungswesen, 2015=100;Freiberufliche, wissenschaftliche und technische Dienstleistungen, 2015=100;sonstige wirtschaftliche Dienstleistungen, 2015=100
01/03/2000;.;86,8;74,4;.;81,0;62,3
01/04/2000;.;87,6;74,7;.;82,0;62,7
01/05/2000;.;88,2;75,4;.;82,3;64,1
01/06/2000;.;88,4;75,9;.;82,4;64,7
01/07/2000;.;88,8;76,1;.;82,7;67,6
01/08/2000;.;89,5;76,9;.;83,9;67,8
01/09/2000;.;90,0;78,0;.;84,3;67,8
01/10/2000;.;88,3;79,4;.;85,0;68,7
01/11/2000;.;88,6;80,6;.;85,5;68,7
01/12/2000;.;89,2;80,3;.;85,3;66,9
01/01/2001;.;87,0;82,5;.;85,3;64,9
01/02/2001;.;87,2;83,2;.;85,7;65,0
01/03/2001;.;87,6;83,8;.;86,2;65,3
01/04/2001;.;88,3;85,2;.;86,9;65,9
01/05/2001;.;88,6;85,5;.;87,1;66,7
01/06/2001;.;88,3;85,1;.;86,6;66,5
01/07/2001;.;87,7;86,0;.;86,0;68,0
01/08/2001;.;88,0;86,5;.;86,9;68,4
01/09/2001;.;88,4;87,2;.;87,4;68,2
01/10/2001;.;88,2;86,7;.;86,4;68,9
01/11/2001;.;88,4;86,9;.;87,0;68,5
01/12/2001;.;87,6;86,5;.;86,9;66,7
01/01/2002;.;86,5;86,2;.;86,8;64,6
01/02/2002;.;86,5;86,5;.;87,1;64,6
01/03/2002;.;86,6;86,3;.;87,3;64,8
01/04/2002;.;87,4;86,0;.;87,5;65,3
01/05/2002;.;87,6;85,9;.;87,5;65,9
01/06/2002;.;87,2;85,4;.;87,3;66,1
01/07/2002;.;86,9;84,8;.;86,8;67,8
01/08/2002;.;87,0;84,7;.;87,6;67,9
01/09/2002;.;87,7;84,8;.;88,0;68,2
01/10/2002;.;87,7;83,6;.;85,9;70,6
01/11/2002;.;87,6;83,7;.;86,3;70,1
01/12/2002;.;86,6;83,2;.;85,9;68,2
01/01/2003;.;85,7;83,6;.;85,4;68,3
01/02/2003;.;85,9;83,6;.;85,5;68,2
01/03/2003;.;85,9;83,2;.;85,2;68,5
01/04/2003;.;86,4;83,0;.;84,1;68,5
01/05/2003;.;87,0;83,4;.;84,6;69,0
01/06/2003;.;87,4;83,3;.;84,7;70,4
01/07/2003;.;86,2;82,5;.;83,4;70,3
01/08/2003;.;86,5;82,6;.;84,1;71,2
01/09/2003;.;87,5;83,5;.;85,0;71,9
01/10/2003;.;86,9;82,1;.;83,8;72,4
01/11/2003;.;87,2;82,3;.;84,3;72,3
01/12/2003;.;86,7;82,7;.;84,4;70,3
01/01/2004;.;84,9;82,2;.;82,7;67,8
01/02/2004;.;84,9;82,2;.;82,9;67,8
01/03/2004;.;85,6;83,1;.;83,5;69,1
01/04/2004;.;85,7;81,4;.;83,1;68,1
01/05/2004;.;86,0;82,2;.;83,2;68,8
01/06/2004;.;86,3;82,4;.;83,2;70,0
01/07/2004;.;85,9;81,1;.;81,5;71,5
01/08/2004;.;86,4;81,6;.;82,3;72,4
01/09/2004;.;87,2;82,5;.;83,2;72,8
01/10/2004;.;87,2;81,0;.;83,3;71,7
01/11/2004;.;87,5;82,1;.;83,5;71,9
01/12/2004;.;86,6;81,8;.;83,3;70,1
01/01/2005;.;85,5;81,9;.;82,7;69,3
01/02/2005;.;85,4;82,1;.;82,8;69,4
01/03/2005;.;85,8;82,3;.;83,0;70,0
01/04/2005;.;85,8;81,8;.;82,8;69,5
01/05/2005;.;86,1;81,9;.;82,8;70,3
01/06/2005;.;86,2;82,0;.;82,8;71,3
01/07/2005;.;86,0;80,9;.;81,5;71,5
01/08/2005;.;86,7;81,4;.;82,4;72,7
01/09/2005;.;87,6;82,2;.;83,3;73,5
01/10/2005;.;86,9;81,3;.;83,3;74,0
01/11/2005;.;87,2;81,9;.;83,7;74,4
01/12/2005;.;86,6;81,9;.;83,4;72,5
01/01/2006;.;85,4;81,6;.;82,5;70,6
01/02/2006;.;85,4;81,6;.;82,7;70,6
01/03/2006;.;85,7;82,1;.;83,0;71,6
01/04/2006;.;85,4;79,8;.;82,8;69,6
01/05/2006;.;86,0;80,4;.;83,1;71,6
01/06/2006;.;86,2;80,6;.;83,0;73,3
01/07/2006;.;86,1;80,4;.;82,7;74,7
01/08/2006;.;86,6;81,0;.;83,2;75,4
01/09/2006;.;87,3;81,6;.;83,7;75,8
01/10/2006;.;87,2;80,7;.;83,6;76,3
01/11/2006;.;87,6;81,0;.;84,1;77,0
01/12/2006;.;87,3;80,8;.;84,1;75,4
01/01/2007;.;86,4;80,0;.;83,1;74,0
01/02/2007;.;86,6;80,4;.;83,3;74,2
01/03/2007;.;87,1;80,6;.;83,7;75,2
01/04/2007;.;87,2;81,6;.;83,9;74,7
01/05/2007;.;87,6;82,1;.;84,2;75,8
01/06/2007;.;88,0;81,8;.;84,3;76,8
01/07/2007;.;88,0;81,1;.;82,8;79,2
01/08/2007;.;88,7;81,8;.;83,8;79,8
01/09/2007;.;89,4;82,1;.;84,6;80,1
01/10/2007;.;89,5;81,9;.;84,2;82,1
01/11/2007;.;89,7;82,5;.;84,5;82,2
01/12/2007;.;89,1;82,2;.;84,6;80,2
01/01/2008;.;88,3;82,2;.;83,8;78,5
01/02/2008;.;88,5;82,5;.;84,2;78,8
01/03/2008;.;88,8;82,8;.;84,6;79,7
01/04/2008;.;88,7;83,7;.;84,5;79,2
01/05/2008;.;88,8;83,6;.;84,6;79,8
01/06/2008;.;88,9;83,8;.;85,0;81,2
01/07/2008;.;88,4;83,3;.;83,7;82,7
01/08/2008;.;88,7;83,7;.;84,5;82,6
01/09/2008;.;89,3;84,2;.;85,5;83,6
01/10/2008;.;89,3;84,8;.;85,7;81,5
01/11/2008;.;89,1;84,4;.;85,8;80,8
01/12/2008;.;88,3;83,7;.;85,4;78,2
01/01/2009;.;88,0;84,3;.;85,0;75,7
01/02/2009;.;87,9;84,4;.;85,2;74,8
01/03/2009;.;87,9;84,5;.;85,4;74,5
01/04/2009;.;88,0;84,8;.;85,4;73,8
01/05/2009;.;88,0;84,7;.;85,2;73,8
01/06/2009;.;87,9;84,4;.;85,0;75,0
01/07/2009;.;87,8;84,6;.;85,0;77,2
01/08/2009;.;88,1;84,7;.;85,5;78,0
01/09/2009;.;88,6;85,0;.;86,1;78,8
01/10/2009;.;88,7;86,0;.;85,5;80,3
01/11/2009;.;88,8;86,2;.;86,2;80,9
01/12/2009;.;88,1;85,6;.;85,6;79,0
01/01/2010;.;86,8;85,4;.;85,7;78,3
01/02/2010;.;86,8;85,5;.;85,8;78,5
01/03/2010;.;87,5;85,7;.;85,9;80,6
01/04/2010;.;88,0;85,5;.;85,9;82,1
01/05/2010;.;88,3;85,6;.;86,2;83,7
01/06/2010;.;88,6;85,4;.;86,1;85,4
01/07/2010;.;88,8;85,9;.;86,1;87,1
01/08/2010;.;89,3;86,2;.;87,0;88,3
01/09/2010;.;90,1;86,4;.;87,6;89,4
01/10/2010;.;90,4;87,1;.;87,0;88,1
01/11/2010;.;90,7;87,6;.;87,4;88,6
01/12/2010;.;90,1;87,2;.;87,4;86,8
01/01/2011;.;89,6;87,5;.;87,1;85,4
01/02/2011;.;90,0;87,9;.;87,6;85,9
01/03/2011;.;90,5;88,2;.;88,1;87,0
01/04/2011;.;90,9;87,7;.;88,1;88,4
01/05/2011;.;91,3;88,0;.;88,5;89,8
01/06/2011;.;91,5;88,2;.;88,6;90,8
01/07/2011;.;91,6;88,4;.;88,0;91,9
01/08/2011;.;92,3;88,9;.;89,4;92,9
01/09/2011;.;93,1;89,6;.;90,5;93,4
01/10/2011;.;93,8;89,6;.;90,4;93,4
01/11/2011;.;94,1;90,2;.;90,8;93,5
01/12/2011;.;93,6;89,8;.;90,6;91,1
01/01/2012;.;92,7;90,0;.;90,1;90,1
01/02/2012;.;92,5;90,4;.;90,5;89,7
01/03/2012;.;93,1;90,6;.;91,0;90,6
01/04/2012;.;93,4;90,6;.;91,7;90,1
01/05/2012;.;93,6;91,1;.;91,6;91,0
01/06/2012;.;93,7;91,1;.;91,4;91,8
01/07/2012;.;93,6;91,8;.;91,1;92,3
01/08/2012;.;94,3;92,4;.;92,1;92,7
01/09/2012;.;94,7;93,0;.;93,1;92,6
01/10/2012;.;95,0;93,2;.;92,7;93,4
01/11/2012;.;95,5;93,4;.;93,7;93,3
01/12/2012;.;94,8;93,1;.;93,3;91,0
01/01/2013;.;93,9;93,6;.;93,2;90,4
01/02/2013;.;94,0;93,9;.;93,5;90,6
01/03/2013;.;94,3;93,8;.;93,7;91,1
01/04/2013;.;94,6;94,6;.;93,8;91,3
01/05/2013;.;94,9;94,3;.;94,1;91,9
01/06/2013;.;95,1;94,3;.;94,3;92,6
01/07/2013;.;95,1;94,4;.;94,3;94,4
01/08/2013;.;95,5;94,7;.;95,2;94,7
01/09/2013;.;96,5;95,3;.;95,9;95,8
01/10/2013;.;96,8;95,5;.;96,4;96,1
01/11/2013;.;96,9;95,7;.;96,2;96,1
01/12/2013;.;96,1;95,3;.;95,9;93,6
01/01/2014;.;95,5;95,7;.;95,4;92,6
01/02/2014;.;95,8;96,0;.;95,9;92,9
01/03/2014;.;96,2;96,2;.;96,4;93,7
01/04/2014;.;96,8;96,4;.;96,0;94,2
01/05/2014;.;96,9;96,6;.;96,7;94,6
01/06/2014;.;97,1;96,8;.;97,0;96,0
01/07/2014;.;97,3;97,5;.;96,8;97,1
01/08/2014;.;97,7;97,2;.;97,9;97,4
01/09/2014;.;98,6;98,0;.;98,5;98,5
01/10/2014;.;99,1;99,7;.;98,9;98,8
01/11/2014;.;99,0;98,8;.;98,9;98,5
01/12/2014;.;98,3;98,2;.;98,6;96,4
01/01/2015;97,9;99,2;99,8;99,3;99,2;97,5
01/02/2015;98,1;99,0;100,0;99,3;99,6;97,8
01/03/2015;99,1;99,4;100,4;99,5;99,9;99,2
01/04/2015;99,5;99,5;99,9;99,5;99,6;99,5
01/05/2015;100,1;99,7;100,0;99,6;99,7;99,9
01/06/2015;100,8;100,1;100,3;99,7;99,8;101,2
01/07/2015;100,3;99,7;99,1;99,7;99,4;100,3
01/08/2015;100,8;100,2;99,5;100,3;100,2;100,6
01/09/2015;101,5;101,0;100,5;100,7;100,8;101,5
01/10/2015;101,0;100,7;100,1;100,7;100,5;101,3
01/11/2015;100,9;101,1;100,4;100,9;100,8;101,5
01/12/2015;100,0;100,5;100,0;100,8;100,5;99,6
01/01/2016;99,9;100,4;101,5;97,2;100,3;101,2
01/02/2016;100,4;100,8;102,0;97,4;100,7;101,9
01/03/2016;101,2;101,1;102,4;97,5;101,0;102,7
01/04/2016;101,5;101,0;101,5;97,4;101,2;102,9
01/05/2016;102,2;101,1;101,8;97,5;101,4;103,6
01/06/2016;102,7;101,3;102,1;97,5;101,5;104,6
01/07/2016;102,2;100,9;101,1;97,2;101,3;103,5
01/08/2016;102,7;101,4;101,9;97,9;102,1;103,9
01/09/2016;103,3;102,2;102,7;98,1;102,6;104,7
01/10/2016;102,8;101,8;102,5;98,3;102,5;104,3
01/11/2016;102,7;102,3;102,8;98,4;102,8;104,4
01/12/2016;101,8;101,8;102,4;98,3;102,6;102,4
01/01/2017;100,8;100,5;100,8;98,1;101,8;102,3
01/02/2017;101,0;100,7;101,2;98,1;102,1;102,6
01/03/2017;101,9;101,1;101,5;98,3;102,4;103,5
01/04/2017;102,2;101,0;100,7;98,2;102,4;103,5
01/05/2017;103,0;100,9;101,2;98,3;102,6;104,6
01/06/2017;103,5;101,0;101,5;98,3;102,7;105,4
01/07/2017;103,2;100,8;101,1;98,0;102,8;104,6
01/08/2017;103,3;101,1;100,9;98,7;103,2;104,7
01/09/2017;103,9;102,0;101,7;98,9;103,8;105,4
01/10/2017;103,4;101,6;102,3;98,9;104,1;104,6
01/11/2017;103,3;102,1;102,7;99,0;104,0;104,9
