Bruttoanlageinvestitionen in jeweiligen Preisen
Datum;Anlageinvestitionen, Mrd. EUR;Ausrüstungsinvestitionen, Mrd. EUR;Bauinvestitionen, Mrd. EUR;Wohnbauten, Mrd. EUR;Nichtwohnbauten, Mrd. EUR;Sonstige Anlagen, Mrd. EUR
01/07/2000;125,31;44,60;64,91;37,98;26,93;15,80
01/10/2000;127,68;51,84;58,10;33,52;24,58;17,74
01/01/2001;110,25;42,49;51,65;29,54;22,10;16,11
01/04/2001;121,57;43,82;61,14;34,96;26,17;16,61
01/07/2001;120,40;40,97;62,69;35,98;26,71;16,74
01/10/2001;120,78;46,00;56,07;32,02;24,05;18,71
01/01/2002;99,69;35,71;47,81;27,37;20,44;16,17
01/04/2002;114,29;40,24;57,46;32,88;24,58;16,59
01/07/2002;114,19;37,82;59,65;34,22;25,44;16,72
01/10/2002;113,98;43,13;52,06;29,99;22,08;18,79
01/01/2003;95,91;35,03;44,92;25,87;19,05;15,96
01/04/2003;109,85;37,80;55,65;31,96;23,69;16,40
01/07/2003;112,46;37,08;58,82;34,01;24,81;16,57
01/10/2003;113,44;42,47;52,30;30,16;22,14;18,67
01/01/2004;94,84;33,75;44,86;26,09;18,77;16,23
01/04/2004;110,58;39,48;54,35;31,58;22,77;16,75
01/07/2004;111,86;38,59;56,34;32,56;23,78;16,93
01/10/2004;114,54;44,82;50,72;29,09;21,62;19,01
01/01/2005;91,89;35,04;40,37;23,40;16,97;16,48
01/04/2005;112,31;41,50;53,83;30,85;22,98;16,98
01/07/2005;113,07;40,07;55,86;32,11;23,75;17,14
01/10/2005;119,14;49,35;50,56;28,88;21,68;19,24
01/01/2006;99,53;40,22;42,01;24,76;17,25;17,31
01/04/2006;120,35;46,79;55,74;32,34;23,40;17,83
01/07/2006;122,42;43,89;60,54;34,99;25,55;17,99
01/10/2006;129,89;53,23;56,45;32,75;23,70;20,21
01/01/2007;112,81;44,30;50,36;29,02;21,35;18,16
01/04/2007;126,29;49,28;58,32;33,47;24,85;18,69
01/07/2007;127,97;47,42;61,67;35,38;26,29;18,88
01/10/2007;134,13;56,67;56,22;31,95;24,28;21,24
01/01/2008;115,13;45,16;50,60;28,52;22,09;19,36
01/04/2008;134,19;52,41;61,85;34,37;27,48;19,93
01/07/2008;133,62;49,63;63,84;35,33;28,51;20,16
01/10/2008;133,97;54,63;56,59;31,45;25,13;22,75
01/01/2009;103,84;37,15;47,44;26,94;20,50;19,26
01/04/2009;119,40;40,18;59,27;32,95;26,32;19,95
01/07/2009;122,42;39,04;63,24;35,09;28,15;20,14
01/10/2009;124,16;44,09;57,55;32,07;25,48;22,52
01/01/2010;105,24;38,19;47,14;27,36;19,79;19,92
01/04/2010;129,69;44,63;64,57;36,20;28,37;20,49
01/07/2010;132,47;44,56;67,24;37,53;29,72;20,67
01/10/2010;134,37;52,21;58,90;33,18;25,72;23,26
01/01/2011;121,75;43,66;56,69;32,77;23,92;21,40
01/04/2011;139,51;47,57;69,82;39,75;30,07;22,12
01/07/2011;142,92;48,10;72,47;41,37;31,10;22,35
01/10/2011;145,43;54,14;66,19;37,97;28,22;25,11
01/01/2012;127,81;45,69;60,26;36,08;24,18;21,86
01/04/2012;142,29;47,82;71,91;42,05;29,85;22,56
01/07/2012;143,61;45,59;75,23;44,09;31,14;22,79
01/10/2012;145,21;52,86;66,70;39,16;27,54;25,65
01/01/2013;120,50;41,40;56,92;34,58;22,34;22,18
01/04/2013;143,83;47,39;73,51;43,00;30,51;22,94
01/07/2013;146,50;45,06;78,27;46,16;32,11;23,17
01/10/2013;150,35;54,97;69,37;40,94;28,43;26,02
01/01/2014;134,32;45,58;65,19;39,76;25,43;23,55
01/04/2014;149,10;49,60;75,20;44,71;30,49;24,31
01/07/2014;151,95;48,44;78,96;47,00;31,96;24,56
