Bruttoanlageinvestitionen, preisbereinigt
Datum;Anlageinvestitionen, Kettenindex (2020=100);Ausrüstungsinvestitionen, Kettenindex (2020=100);Bauinvestitionen, Kettenindex (2020=100);Wohnbauten, Kettenindex (2020=100);Nichtwohnbauten, Kettenindex (2020=100);Sonstige Anlagen, Kettenindex (2020=100)
01/07/2000;86,37;79,24;104,59;98,52;114,25;61,05
01/10/2000;87,67;91,32;93,54;86,93;104,13;68,55
01/01/2001;76,15;76,34;83,08;76,60;93,47;61,61
01/04/2001;83,55;77,59;98,49;90,77;110,88;63,52
01/07/2001;83,16;73,50;101,09;93,48;113,28;64,05
01/10/2001;83,75;82,93;90,71;83,48;102,33;71,60
01/01/2002;69,00;64,46;77,27;71,22;86,97;61,30
01/04/2002;78,88;71,93;92,91;85,56;104,71;62,92
01/07/2002;79,43;69,21;96,44;89,00;108,38;63,45
01/10/2002;79,43;78,94;84,32;78,12;94,25;71,39
01/01/2003;67,08;65,24;72,56;67,27;81,04;60,14
01/04/2003;76,59;69,74;89,99;83,22;100,84;61,83
01/07/2003;78,64;69,06;95,13;88,54;105,67;62,46
01/10/2003;79,48;79,25;84,62;78,52;94,38;70,37
01/01/2004;66,33;63,36;72,26;67,75;79,46;60,75
01/04/2004;76,72;73,38;86,73;81,21;95,54;62,71
01/07/2004;77,68;72,40;89,52;83,46;99,21;63,36
01/10/2004;79,72;84,40;80,47;74,50;90,03;71,09
01/01/2005;63,74;66,00;63,78;59,64;70,38;61,38
01/04/2005;77,82;77,84;85,17;78,80;95,38;63,24
01/07/2005;78,54;75,84;88,27;81,87;98,52;63,83
01/10/2005;83,04;94,08;79,76;73,54;89,73;71,64
01/01/2006;69,03;76,46;65,97;62,68;71,21;64,01
01/04/2006;83,08;88,59;86,96;81,43;95,79;65,98
01/07/2006;84,20;83,88;93,18;86,99;103,07;66,61
01/10/2006;89,66;103,02;86,14;80,73;94,77;74,78
01/01/2007;76,19;84,65;74,34;69,01;82,88;66,72
01/04/2007;84,85;93,78;85,53;79,16;95,74;68,74
01/07/2007;86,00;91,15;89,95;83,27;100,64;69,43
01/10/2007;90,70;109,97;81,61;74,82;92,49;78,13
01/01/2008;76,79;86,83;72,58;66,00;83,15;70,29
01/04/2008;88,93;100,25;87,88;78,93;102,29;72,36
01/07/2008;88,29;95,77;89,58;80,29;104,54;73,20
01/10/2008;89,08;106,44;79,43;71,57;92,07;82,61
01/01/2009;68,46;71,33;66,22;61,00;74,60;70,29
01/04/2009;78,70;76,83;83,04;74,81;96,27;72,78
01/07/2009;80,77;74,99;88,52;79,56;102,93;73,51
01/10/2009;81,98;85,75;79,84;71,90;92,62;82,12
01/01/2010;68,77;72,59;65,46;61,59;71,66;71,75
01/04/2010;84,38;84,59;89,02;80,88;102,11;73,74
01/07/2010;86,28;85,23;92,33;83,51;106,51;74,41
01/10/2010;88,16;102,01;80,56;73,51;91,90;83,76
01/01/2011;78,28;83,34;76,45;71,79;83,93;75,26
01/04/2011;89,22;90,44;93,46;86,48;104,68;77,78
01/07/2011;91,24;91,80;96,46;89,47;107,68;78,54
01/10/2011;93,27;104,90;87,61;81,58;97,28;88,28
01/01/2012;80,53;86,66;78,78;76,64;82,25;75,44
