Bruttoinlandsprodukt und Bruttowertschöpfung in jeweiligen Preisen und preisbereinigt
Datum;Bruttoinlandsprodukt in jeweiligen Preisen, Mrd. EUR;Bruttowertschöpfung in jeweiligen Preisen, Mrd. EUR;Bruttoinlandsprodukt preisbereinigt, Kettenindex(2020=100);Bruttowertschöpfung preisbereinigt, Kettenindex(2020=100)
01/07/2000;537,70;484,16;81,91;81,24
01/10/2000;547,59;495,18;82,73;81,78
01/01/2001;536,83;482,47;81,75;81,13
01/04/2001;538,24;482,01;81,74;80,85
01/07/2001;553,54;499,14;83,05;82,60
01/10/2001;566,92;513,89;83,90;83,21
01/01/2002;537,18;482,69;80,27;79,81
01/04/2002;546,09;490,88;81,73;81,34
01/07/2002;567,13;510,92;83,70;83,30
01/10/2002;572,96;519,05;83,99;83,52
01/01/2003;543,46;487,13;80,03;79,50
01/04/2003;547,96;490,59;80,78;80,20
01/07/2003;571,48;515,66;83,20;83,13
01/10/2003;577,91;522,52;83,91;83,39
01/01/2004;558,36;500,78;81,40;80,95
01/04/2004;566,57;511,26;82,34;82,45
01/07/2004;579,23;523,19;83,40;83,51
01/10/2004;588,88;533,80;84,62;84,44
01/01/2005;560,71;504,47;81,01;80,80
01/04/2005;576,06;519,63;83,40;83,43
01/07/2005;589,03;530,78;84,55;84,46
01/10/2005;599,91;540,30;85,74;85,57
01/01/2006;586,21;526,55;84,51;84,27
01/04/2006;594,16;535,17;85,67;85,70
01/07/2006;612,83;553,18;87,53;87,71
01/10/2006;632,98;569,97;89,90;89,78
01/01/2007;621,55;553,66;87,91;87,90
01/04/2007;622,79;558,24;88,22;88,74
01/07/2007;641,64;575,41;89,90;90,38
01/10/2007;656,24;588,38;91,63;92,08
01/01/2008;639,52;570,73;89,51;89,70
01/04/2008;646,47;580,18;90,73;91,51
01/07/2008;653,09;585,21;90,72;91,30
01/10/2008;650,20;580,77;89,86;90,03
01/01/2009;607,42;539,43;83,54;83,18
01/04/2009;608,08;541,65;83,76;83,54
01/07/2009;630,83;563,56;85,88;85,78
01/10/2009;647,64;579,11;87,63;87,48
01/01/2010;629,92;564,75;85,74;86,01
01/04/2010;639,11;571,22;87,69;87,84
01/07/2010;665,00;595,13;89,88;90,01
01/10/2010;681,23;610,06;91,62;91,74
01/01/2011;674,29;599,94;91,01;90,90
01/04/2011;673,88;601,24;91,06;91,31
01/07/2011;695,14;621,34;92,75;93,06
01/10/2011;703,90;629,35;93,49;93,72
01/01/2012;694,82;618,67;92,56;92,57
01/04/2012;685,58;612,60;91,39;91,75
01/07/2012;706,35;631,22;92,79;93,05
01/10/2012;713,93;638,01;93,44;93,64
01/01/2013;698,69;621,05;91,04;91,06
01/04/2013;706,95;629,97;92,31;92,62
01/07/2013;728,87;650,34;94,01;94,31
01/10/2013;734,97;657,57;94,51;95,02
01/01/2014;733,83;653,87;94,02;94,29
01/04/2014;731,90;652,29;93,50;93,83
01/07/2014;755,18;674,42;95,71;96,17
01/10/2014;767,56;685,51;96,98;97,36
01/01/2015;756,11;672,53;95,28;95,18
01/04/2015;757,77;677,16;95,08;95,46
01/07/2015;782,57;699,11;97,43;97,72
01/10/2015;797,74;711,69;99,15;99,24
01/01/2016;784,04;697,22;97,39;97,26
01/04/2016;794,43;711,35;98,45;99,01
01/07/2016;806,32;720,40;99,33;99,64
01/10/2016;820,08;732,83;100,65;100,94
01/01/2017;822,94;732,23;101,03;101,00
01/04/2017;818,11;730,94;100,00;100,40
01/07/2017;843,09;755,48;102,20;102,85
01/10/2017;861,72;771,42;104,04;104,54
01/01/2018;850,56;759,08;102,67;102,96
01/04/2018;850,26;760,12;102,24;102,71
01/07/2018;863,05;772,04;102,81;103,34
01/10/2018;886,71;794,63;104,62;105,23
01/01/2019;879,18;785,25;104,03;104,11
01/04/2019;869,60;777,58;102,44;102,69
01/07/2019;899,24;804,85;104,99;105,26
01/10/2019;909,61;814,34;105,35;105,53
01/01/2020;888,74;796,55;102,57;103,09
01/04/2020;800,02;713,16;91,46;91,35
01/07/2020;878,92;794,72;101,70;101,59
01/10/2020;909,99;822,62;104,27;103,97
01/01/2021;895,74;804,38;101,91;101,62
01/04/2021;901,93;808,50;102,46;102,08
01/07/2021;941,41;842,17;104,62;105,37
01/10/2021;974,01;869,78;106,85;107,41
01/01/2022;979,74;876,60;106,04;106,04
01/04/2022;979,68;880,76;104,08;104,47
01/07/2022;1010,10;910,87;106,36;106,97
01/10/2022;1041,11;944,88;107,13;107,91
01/01/2023;1052,72;963,82;105,84;106,65
01/04/2023;1037,88;947,19;102,72;103,19
01/07/2023;1066,02;973,44;104,89;105,53
01/10/2023;1098,31;1004,24;105,85;107,34
01/01/2024;1085,49;984,47;105,09;106,06
01/04/2024;1076,24;978,93;103,03;104,28
01/07/2024;1099,19;997,15;105,23;106,07
01/10/2024;1126,02;1019,09;105,98;106,26
01/01/2025;1116,18;1006,84;105,19;105,56
01/04/2025;1108,89;1005,69;103,06;103,72
01/07/2025;1136,71;1031,20;105,56;106,31
01/10/2025;1167,93;1060,62;106,48;107,16
01/01/2026;1155,26;1043,90;106,05;106,36
01/04/2026;1151,03;1046,66;104,11;104,88
