Bruttoinlandsprodukt in jeweiligen Preisen und preisbereinigt
Datum;in jeweiligen Preisen, Mrd. EUR, Originalwert;in jeweiligen Preisen, Mrd. EUR, saison- und kalenderbereinigte Werte nach X13 JDemetra+;preisbereinigt, Kettenindex (2020=100), Originalwert;preisbereinigt, Kettenindex (2020=100), saison- und kalenderbereinigte Werte nach X13 JDemetra+
01/07/2000;537,70;533,98;81,91;81,55
01/10/2000;547,59;533,21;82,73;81,21
01/01/2001;536,83;547,37;81,75;82,92
01/04/2001;538,24;547,60;81,74;82,75
01/07/2001;553,54;549,81;83,05;82,72
01/10/2001;566,92;553,57;83,90;82,48
01/01/2002;537,18;551,65;80,27;82,09
01/04/2002;546,09;553,64;81,73;82,43
01/07/2002;567,13;560,39;83,70;82,96
01/10/2002;572,96;561,41;83,99;82,76
01/01/2003;543,46;556,13;80,03;81,62
01/04/2003;547,96;557,34;80,78;81,75
01/07/2003;571,48;564,70;83,20;82,47
01/10/2003;577,91;565,98;83,91;82,58
01/01/2004;558,36;567,11;81,40;82,45
01/04/2004;566,57;573,48;82,34;82,94
01/07/2004;579,23;572,41;83,40;82,67
01/10/2004;588,88;572,49;84,62;82,62
01/01/2005;560,71;574,34;81,01;82,78
01/04/2005;576,06;577,79;83,40;83,25
01/07/2005;589,03;582,97;84,55;83,92
01/10/2005;599,91;586,94;85,74;84,22
01/01/2006;586,21;592,01;84,51;85,18
01/04/2006;594,16;603,80;85,67;86,64
01/07/2006;612,83;609,60;87,53;87,30
01/10/2006;632,98;621,43;89,90;88,58
01/01/2007;621,55;628,10;87,91;88,69
01/04/2007;622,79;633,27;88,22;89,27
01/07/2007;641,64;638,97;89,90;89,75
01/10/2007;656,24;645,32;91,63;90,44
01/01/2008;639,52;650,60;89,51;90,93
01/04/2008;646,47;648,69;90,73;90,58
01/07/2008;653,09;646,97;90,72;90,09
01/10/2008;650,20;639,47;89,86;88,71
01/01/2009;607,42;615,50;83,54;84,54
01/04/2009;608,08;618,51;83,76;84,75
01/07/2009;630,83;624,94;85,88;85,29
01/10/2009;647,64;632,84;87,63;85,94
01/01/2010;629,92;636,74;85,74;86,56
01/04/2010;639,11;647,93;87,69;88,43
01/07/2010;665,00;658,89;89,88;89,29
01/10/2010;681,23;665,84;91,62;89,86
01/01/2011;674,29;678,75;91,01;91,49
01/04/2011;673,88;682,52;91,06;91,77
01/07/2011;695,14;689,49;92,75;92,26
01/10/2011;703,90;692,28;93,49;92,23
01/01/2012;694,82;695,19;92,56;92,49
01/04/2012;685,58;697,96;91,39;92,62
01/07/2012;706,35;704,04;92,79;92,75
01/10/2012;713,93;704,83;93,44;92,49
01/01/2013;698,69;706,96;91,04;92,00
01/04/2013;706,95;716,47;92,31;93,18
01/07/2013;728,87;723,37;94,01;93,56
01/10/2013;734,97;727,30;94,51;93,72
01/01/2014;733,83;740,28;94,02;94,73
01/04/2014;731,90;744,47;93,50;94,79
01/07/2014;755,18;749,49;95,71;95,23
01/10/2014;767,56;758,70;96,98;96,03
01/01/2015;756,11;761,47;95,28;95,83
01/04/2015;757,77;770,62;95,08;96,43
01/07/2015;782,57;776,70;97,43;96,91
01/10/2015;797,74;782,46;99,15;97,42
01/01/2016;784,04;792,17;97,39;98,26
01/04/2016;794,43;796,97;98,45;98,54
01/07/2016;806,32;801,71;99,33;98,94
01/10/2016;820,08;808,36;100,65;99,39
01/01/2017;822,94;821,33;101,03;100,66
01/04/2017;818,11;831,41;100,00;101,42
01/07/2017;843,09;842,51;102,20;102,28
01/10/2017;861,72;854,39;104,04;103,35
01/01/2018;850,56;853,40;102,67;102,83
01/04/2018;850,26;862,51;102,24;103,53
01/07/2018;863,05;864,32;102,81;103,08
01/10/2018;886,71;875,24;104,62;103,48
01/01/2019;879,18;882,38;104,03;104,22
01/04/2019;869,60;886,04;102,44;104,22
01/07/2019;899,24;896,95;104,99;104,79
01/10/2019;909,61;898,43;105,35;104,30
01/01/2020;888,74;888,40;102,57;102,34
01/04/2020;800,02;815,93;91,46;93,19
01/07/2020;878,92;876,21;101,70;101,38
01/10/2020;909,99;889,75;104,27;102,23
01/01/2021;895,74;896,44;101,91;101,75
01/04/2021;901,93;916,36;102,46;104,05
01/07/2021;941,41;938,79;104,62;104,23
01/10/2021;974,01;951,57;106,85;104,72
01/01/2022;979,74;977,68;106,04;105,53
01/04/2022;979,68;994,36;104,08;105,66
01/07/2022;1010,10;1008,61;106,36;106,00
01/10/2022;1041,11;1022,68;107,13;105,65
01/01/2023;1052,72;1047,15;105,84;104,93
01/04/2023;1037,88;1058,11;102,72;104,82
01/07/2023;1066,02;1069,96;104,89;104,98
01/10/2023;1098,31;1080,80;105,85;104,66
01/01/2024;1085,49;1087,62;105,09;104,88
01/04/2024;1076,24;1092,38;103,03;104,74
01/07/2024;1099,19;1099,24;105,23;104,85
01/10/2024;1126,02;1110,17;105,98;105,08
01/01/2025;1116,18;1121,55;105,19;105,21
01/04/2025;1108,89;1129,28;103,06;105,19
01/07/2025;1136,71;1137,19;105,56;105,16
01/10/2025;1167,93;1149,22;106,48;105,44
01/01/2026;1155,26;1159,66;106,05;105,91
01/04/2026;1151,03;1171,70;104,11;106,26
