Bruttoinlandsprodukt, preisbereinigt
Datum;Originalwert, Kettenindex 2020=100;Originalwert, Veränderung gegenüber Vorjahresquartal in %;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, Kettenindex 2020=100;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, Veränderung gegenüber Vorquartal in %
01/07/1996;75,70;.;75,23;0,4
01/10/1996;77,39;.;75,92;0,9
01/01/1997;73,24;0,6;75,53;-0,5
01/04/1997;76,11;2,9;76,37;1,1
01/07/1997;77,24;2,0;76,67;0,4
01/10/1997;78,80;1,8;77,24;0,7
01/01/1998;76,32;4,2;77,98;1,0
01/04/1998;76,65;0,7;77,62;-0,5
01/07/1998;78,69;1,9;78,00;0,5
01/10/1998;80,15;1,7;77,98;-0,0
01/01/1999;77,31;1,3;78,88;1,2
01/04/1999;78,12;1,9;78,78;-0,1
01/07/1999;80,58;2,4;79,86;1,4
01/10/1999;82,43;2,8;80,24;0,5
01/01/2000;80,54;4,2;81,48;1,5
01/04/2000;81,18;3,9;82,13;0,8
01/07/2000;82,53;2,4;82,19;0,1
01/10/2000;83,36;1,1;81,84;-0,4
01/01/2001;82,38;2,3;83,58;2,1
01/04/2001;82,36;1,5;83,37;-0,3
01/07/2001;83,69;1,4;83,37;0,0
01/10/2001;84,55;1,4;83,11;-0,3
01/01/2002;80,88;-1,8;82,72;-0,5
01/04/2002;82,35;-0,0;83,04;0,4
01/07/2002;84,34;0,8;83,61;0,7
01/10/2002;84,63;0,1;83,38;-0,3
01/01/2003;80,64;-0,3;82,25;-1,4
01/04/2003;81,40;-1,2;82,37;0,1
01/07/2003;83,84;-0,6;83,12;0,9
01/10/2003;84,56;-0,1;83,22;0,1
01/01/2004;82,02;1,7;83,09;-0,2
01/04/2004;82,97;1,9;83,58;0,6
01/07/2004;84,04;0,2;83,31;-0,3
01/10/2004;85,26;0,8;83,28;-0,0
01/01/2005;81,63;-0,5;83,41;0,2
01/04/2005;84,04;1,3;83,91;0,6
01/07/2005;85,19;1,4;84,57;0,8
01/10/2005;86,40;1,3;84,89;0,4
01/01/2006;85,15;4,3;85,84;1,1
01/04/2006;86,33;2,7;87,31;1,7
01/07/2006;88,20;3,5;87,97;0,8
01/10/2006;90,59;4,8;89,26;1,5
01/01/2007;88,58;4,0;89,38;0,1
01/04/2007;88,90;3,0;89,97;0,7
01/07/2007;90,59;2,7;90,43;0,5
01/10/2007;92,33;1,9;91,10;0,7
01/01/2008;90,20;1,8;91,63;0,6
01/04/2008;91,43;2,8;91,30;-0,4
01/07/2008;91,42;0,9;90,80;-0,5
01/10/2008;90,55;-1,9;89,39;-1,6
01/01/2009;84,18;-6,7;85,20;-4,7
01/04/2009;84,40;-7,7;85,41;0,2
01/07/2009;86,54;-5,3;85,94;0,6
01/10/2009;88,30;-2,5;86,60;0,8
01/01/2010;86,40;2,6;87,23;0,7
01/04/2010;88,37;4,7;89,12;2,2
01/07/2010;90,56;4,6;89,98;1,0
01/10/2010;92,32;4,6;90,57;0,7
01/01/2011;91,71;6,1;92,21;1,8
01/04/2011;91,73;3,8;92,46;0,3
01/07/2011;93,45;3,2;92,96;0,5
01/10/2011;94,20;2,0;92,95;-0,0
