Bruttowertschöpfung im Baugewerbe, preisbereinigt
Datum;Originalwert, Kettenindex 2015=100;Originalwert, Veränderung gegenüber Vorjahresquartal in %;Trend-Konjunktur-Komponente (BV 4.1), Kettenindex 2015=100;Trend-Konjunktur-Komponente (BV 4.1), Veränderung gegenüber Vorquartal in %;Kalender- und saisonbereinigte Werte (BV 4.1), Kettenindex 2015=100;Kalender- und saisonbereinigte Werte (BV 4.1), Veränderung gegenüber Vorquartal in %;Restkomponente (BV 4.1)
01/07/1995;141,96;.;132,15;-1,6;132,37;-1,6;0,2
01/10/1995;146,72;.;130,40;-1,3;131,12;-0,9;0,7
01/01/1996;96,15;-14,0;129,06;-1,0;127,26;-2,9;-1,8
01/04/1996;134,04;-4,1;128,51;-0,4;129,00;1,4;0,5
01/07/1996;138,74;-2,3;128,40;-0,1;128,85;-0,1;0,5
01/10/1996;143,15;-2,4;128,15;-0,2;128,19;-0,5;0,0
01/01/1997;95,81;-0,4;127,11;-0,8;126,58;-1,3;-0,5
01/04/1997;131,82;-1,7;126,43;-0,5;126,90;0,3;0,5
01/07/1997;134,58;-3,0;126,18;-0,2;125,53;-1,1;-0,7
01/10/1997;139,44;-2,6;125,75;-0,3;125,72;0,2;-0,0
01/01/1998;100,76;5,2;124,39;-1,1;126,09;0,3;1,7
01/04/1998;122,28;-7,2;122,01;-1,9;121,10;-4,0;-0,9
01/07/1998;129,34;-3,9;120,27;-1,4;120,39;-0,6;0,1
01/10/1998;133,06;-4,6;118,91;-1,1;118,32;-1,7;-0,6
01/01/1999;94,62;-6,1;118,73;-0,2;118,34;0,0;-0,4
01/04/1999;120,47;-1,5;119,47;0,6;119,51;1,0;0,0
01/07/1999;129,62;0,2;120,49;0,8;120,79;1,1;0,3
01/10/1999;136,91;2,9;120,89;0,3;121,02;0,2;0,1
01/01/2000;98,86;4,5;120,38;-0,4;120,77;-0,2;0,4
01/04/2000;118,99;-1,2;119,03;-1,1;119,13;-1,4;0,1
01/07/2000;124,42;-4,0;117,16;-1,6;116,90;-1,9;-0,3
01/10/2000;129,41;-5,5;115,08;-1,8;115,27;-1,4;0,2
01/01/2001;90,24;-8,7;113,00;-1,8;112,71;-2,2;-0,3
01/04/2001;110,85;-6,8;111,49;-1,3;111,35;-1,2;-0,1
01/07/2001;117,61;-5,5;110,37;-1,0;110,02;-1,2;-0,3
01/10/2001;123,88;-4,3;109,55;-0,7;109,69;-0,3;0,1
01/01/2002;85,05;-5,8;108,66;-0,8;109,34;-0,3;0,7
01/04/2002;107,11;-3,4;107,07;-1,5;106,89;-2,2;-0,2
01/07/2002;114,42;-2,7;105,13;-1,8;105,32;-1,5;0,2
01/10/2002;117,07;-5,5;103,32;-1,7;103,27;-1,9;-0,1
01/01/2003;77,31;-9,1;102,13;-1,2;101,30;-1,9;-0,8
01/04/2003;101,50;-5,2;101,64;-0,5;101,66;0,4;0,0
01/07/2003;111,21;-2,8;101,39;-0,2;101,85;0,2;0,5
01/10/2003;114,18;-2,5;100,85;-0,5;100,67;-1,2;-0,2
01/01/2004;77,07;-0,3;99,85;-1,0;100,53;-0,1;0,7
01/04/2004;99,31;-2,2;98,13;-1,7;98,28;-2,2;0,1
01/07/2004;104,83;-5,7;96,27;-1,9;95,61;-2,7;-0,7
01/10/2004;110,88;-2,9;94,86;-1,5;94,56;-1,1;-0,3
01/01/2005;68,48;-11,1;94,15;-0,7;94,35;-0,2;0,2
01/04/2005;96,47;-2,9;93,67;-0,5;93,79;-0,6;0,1
01/07/2005;102,92;-1,8;93,03;-0,7;93,74;-0,1;0,7
01/10/2005;108,07;-2,5;92,22;-0,9;92,16;-1,7;-0,1
01/01/2006;66,42;-3,0;91,99;-0,3;90,22;-2,1;-1,8
01/04/2006;93,53;-3,0;93,46;1,6;93,94;4,1;0,5
01/07/2006;102,95;0,0;95,25;1,9;95,48;1,6;0,2
01/10/2006;112,87;4,4;96,24;1,0;97,15;1,8;0,9
01/01/2007;73,55;10,7;95,42;-0,9;95,97;-1,2;0,6
01/04/2007;91,66;-2,0;93,99;-1,5;93,07;-3,0;-0,9
01/07/2007;99,09;-3,7;93,56;-0,4;92,95;-0,1;-0,6
01/10/2007;108,60;-3,8;93,76;0,2;93,45;0,5;-0,3
01/01/2008;72,94;-0,8;93,99;0,2;95,14;1,8;1,1
01/04/2008;94,34;2,9;93,19;-0,9;93,14;-2,1;-0,0
01/07/2008;98,36;-0,7;91,89;-1,4;91,58;-1,7;-0,3
01/10/2008;105,26;-3,1;90,81;-1,2;91,43;-0,2;0,6
01/01/2009;67,78;-7,1;89,94;-0,9;89,70;-1,9;-0,2
01/04/2009;89,38;-5,3;89,33;-0,7;88,69;-1,1;-0,6
01/07/2009;97,32;-1,1;89,65;0,4;89,81;1,3;0,2
01/10/2009;104,51;-0,7;91,43;2,0;91,04;1,4;-0,4
01/01/2010;70,75;4,4;93,88;2,7;93,11;2,3;-0,8
01/04/2010;100,70;12,7;96,13;2,4;97,85;5,1;1,7
01/07/2010;105,37;8,3;97,24;1,2;97,92;0,1;0,7
01/10/2010;109,61;4,9;97,39;0,2;95,77;-2,2;-1,6
01/01/2011;77,55;9,6;97,86;0,5;98,62;3,0;0,8
01/04/2011;100,32;-0,4;98,66;0,8;98,18;-0,4;-0,5
01/07/2011;105,87;0,5;99,88;1,2;98,99;0,8;-0,9
01/10/2011;116,10;5,9;100,72;0,8;102,22;3,3;1,5
01/01/2012;79,93;3,1;100,39;-0,3;100,30;-1,9;-0,1
01/04/2012;99,59;-0,7;99,61;-0,8;99,38;-0,9;-0,2
01/07/2012;104,99;-0,8;98,28;-1,3;98,81;-0,6;0,5
01/10/2012;110,39;-4,9;96,87;-1,4;96,95;-1,9;0,1
01/01/2013;72,49;-9,3;95,88;-1,0;94,68;-2,3;-1,2
01/04/2013;96,89;-2,7;96,16;0,3;96,25;1,7;0,1
01/07/2013;104,42;-0,5;97,52;1,4;97,62;1,4;0,1
01/10/2013;111,30;0,8;99,17;1,7;98,70;1,1;-0,5
01/01/2014;81,85;12,9;100,41;1,3;101,68;3,0;1,3
01/04/2014;99,94;3,1;100,50;0,1;100,34;-1,3;-0,2
01/07/2014;106,20;1,7;100,33;-0,2;100,22;-0,1;-0,1
01/10/2014;112,51;1,1;99,88;-0,5;99,90;-0,3;0,0
