Bruttowertschöpfung im Baugewerbe, preisbereinigt
Datum;Originalwert, Kettenindex 2020=100;Originalwert, Veränderung gegenüber Vorjahresquartal in %;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, Kettenindex 2020=100;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, Veränderung gegenüber Vorquartal in %
01/07/1997;141,71;.;132,42;-1,5
01/10/1997;146,05;.;132,34;-0,1
01/01/1998;106,63;5,2;131,59;-0,6
01/04/1998;128,28;-7,3;127,87;-2,8
01/07/1998;135,73;-4,2;126,10;-1,4
01/10/1998;139,43;-4,5;123,14;-2,3
01/01/1999;100,51;-5,7;124,84;1,4
01/04/1999;126,30;-1,5;124,87;0,0
01/07/1999;136,63;0,7;127,02;1,7
01/10/1999;142,74;2,4;126,48;-0,4
01/01/2000;104,25;3,7;126,35;-0,1
01/04/2000;124,30;-1,6;124,44;-1,5
01/07/2000;130,91;-4,2;122,94;-1,2
01/10/2000;134,91;-5,5;120,99;-1,6
01/01/2001;95,32;-8,6;118,25;-2,3
01/04/2001;115,60;-7,0;116,02;-1,9
01/07/2001;123,46;-5,7;115,38;-0,6
01/10/2001;128,79;-4,5;115,35;-0,0
01/01/2002;89,10;-6,5;114,24;-1,0
01/04/2002;111,07;-3,9;110,37;-3,4
01/07/2002;119,36;-3,3;109,97;-0,4
01/10/2002;121,18;-5,9;107,83;-1,9
01/01/2003;81,10;-9,0;105,54;-2,1
01/04/2003;105,49;-5,0;106,09;0,5
01/07/2003;116,17;-2,7;106,83;0,7
01/10/2003;118,17;-2,5;104,03;-2,6
01/01/2004;80,85;-0,3;104,16;0,1
01/04/2004;103,19;-2,2;102,61;-1,5
01/07/2004;109,08;-6,1;99,80;-2,7
01/10/2004;114,52;-3,1;97,87;-1,9
01/01/2005;71,60;-11,4;96,57;-1,3
01/04/2005;100,00;-3,1;97,35;0,8
01/07/2005;106,97;-1,9;98,26;0,9
01/10/2005;111,61;-2,5;96,02;-2,3
01/01/2006;69,30;-3,2;91,92;-4,3
01/04/2006;96,87;-3,1;97,29;5,8
01/07/2006;106,88;-0,1;99,65;2,4
01/10/2006;116,44;4,3;101,22;1,6
01/01/2007;76,64;10,6;99,56;-1,6
01/04/2007;94,73;-2,2;95,21;-4,4
01/07/2007;102,53;-4,1;95,49;0,3
01/10/2007;112,04;-3,8;97,30;1,9
01/01/2008;75,04;-2,1;99,53;2,3
01/04/2008;96,11;1,5;93,60;-6,0
01/07/2008;100,42;-2,1;92,37;-1,3
01/10/2008;107,41;-4,1;92,37;0,0
01/01/2009;69,25;-7,7;92,82;0,5
01/04/2009;92,00;-4,3;92,53;-0,3
01/07/2009;100,66;0,2;92,49;-0,0
01/10/2009;109,19;1,7;92,11;-0,4
01/01/2010;69,79;0,8;92,91;0,9
01/04/2010;100,04;8,7;99,56;7,2
01/07/2010;105,17;4,5;97,07;-2,5
01/10/2010;110,27;1,0;93,32;-3,9
01/01/2011;76,56;9,7;98,76;5,8
01/04/2011;99,76;-0,3;99,26;0,5
01/07/2011;105,24;0,1;97,58;-1,7
01/10/2011;116,98;6,1;101,34;3,9
01/01/2012;79,33;3,6;100,37;-1,0
01/04/2012;99,40;-0,4;99,96;-0,4
01/07/2012;104,97;-0,3;98,81;-1,2
01/10/2012;111,58;-4,6;97,28;-1,5
01/01/2013;73,05;-7,9;95,53;-1,8
01/04/2013;98,50;-0,9;97,99;2,6
01/07/2013;106,25;1,2;99,42;1,5
01/10/2013;114,06;2,2;100,37;1,0
01/01/2014;80,55;10,3;101,83;1,5
01/04/2014;98,81;0,3;99,37;-2,4
01/07/2014;105,33;-0,9;98,94;-0,4
01/10/2014;112,76;-1,1;98,79;-0,2
01/01/2015;76,89;-4,5;97,23;-1,6
01/04/2015;95,66;-3,2;96,19;-1,1
01/07/2015;102,00;-3,2;95,88;-0,3
01/10/2015;112,66;-0,1;96,71;0,9
01/01/2016;77,86;1,3;98,48;1,8
01/04/2016;100,84;5,4;98,25;-0,2
01/07/2016;103,53;1,5;98,04;-0,2
01/10/2016;111,80;-0,8;97,30;-0,8
01/01/2017;81,26;4,4;98,84;1,6
01/04/2017;99,41;-1,4;100,10;1,3
01/07/2017;104,04;0,5;99,94;-0,2
01/10/2017;113,88;1,9;101,18;1,2
01/01/2018;81,98;0,9;100,71;-0,5
01/04/2018;102,44;3,0;102,10;1,4
01/07/2018;106,40;2,3;102,57;0,5
01/10/2018;117,23;2,9;104,29;1,7
01/01/2019;81,29;-0,8;99,62;-4,5
01/04/2019;97,45;-4,9;98,13;-1,5
01/07/2019;103,93;-2,3;99,19;1,1
01/10/2019;111,14;-5,2;98,71;-0,5
01/01/2020;84,28;3,7;101,26;2,6
01/04/2020;96,19;-1,3;96,80;-4,4
01/07/2020;100,49;-3,3;95,82;-1,0
01/10/2020;119,05;7,1;104,11;8,7
01/01/2021;77,72;-7,8;93,92;-9,8
01/04/2021;98,28;2,2;97,83;4,2
01/07/2021;100,38;-0,1;96,17;-1,7
01/10/2021;110,39;-7,3;96,15;-0,0
01/01/2022;74,84;-3,7;89,28;-7,1
01/04/2022;86,70;-11,8;86,38;-3,2
01/07/2022;87,48;-12,9;83,97;-2,8
01/10/2022;95,42;-13,6;83,27;-0,8
01/01/2023;70,30;-6,1;83,35;0,1
01/04/2023;81,33;-6,2;81,96;-1,7
01/07/2023;83,56;-4,5;81,35;-0,7
01/10/2023;91,53;-4,1;80,42;-1,1
01/01/2024;69,38;-1,3;83,01;3,2
01/04/2024;81,37;0,0;81,24;-2,1
01/07/2024;83,08;-0,6;80,24;-1,2
01/10/2024;89,41;-2,3;79,44;-1,0
01/01/2025;66,52;-4,1;79,88;0,6
01/04/2025;77,51;-4,7;78,33;-1,9
01/07/2025;80,66;-2,9;77,98;-0,4
01/10/2025;87,83;-1,8;77,59;-0,5
01/01/2026;64,13;-3,6;77,11;-0,6
01/04/2026;76,28;-1,6;77,06;-0,1
