Bruttowertschöpfung im Handel, Gastgewerbe und Verkehr, preisbereinigt
Datum;Originalwert, Kettenindex 2020=100;Originalwert, Veränderung gegenüber Vorjahresquartal in %;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, Kettenindex 2020=100;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, Veränderung gegenüber Vorquartal in %
01/07/1996;67,65;.;67,45;-0,3
01/10/1996;70,39;.;68,45;1,5
01/01/1997;63,44;0,9;68,29;-0,2
01/04/1997;70,63;2,9;68,72;0,6
01/07/1997;69,26;2,4;68,96;0,3
01/10/1997;71,47;1,5;69,45;0,7
01/01/1998;67,36;6,2;71,60;3,1
01/04/1998;71,35;1,0;70,15;-2,0
01/07/1998;71,06;2,6;70,62;0,7
01/10/1998;73,73;3,2;70,95;0,5
01/01/1999;67,53;0,3;71,47;0,7
01/04/1999;72,27;1,3;70,82;-0,9
01/07/1999;72,63;2,2;72,11;1,8
01/10/1999;75,48;2,4;72,63;0,7
01/01/2000;70,19;3,9;73,55;1,3
01/04/2000;76,09;5,3;74,59;1,4
01/07/2000;74,91;3,1;74,83;0,3
01/10/2000;76,49;1,3;74,62;-0,3
01/01/2001;73,73;5,0;77,68;4,1
01/04/2001;79,20;4,1;77,69;0,0
01/07/2001;77,87;4,0;77,95;0,3
01/10/2001;80,38;5,1;78,41;0,6
01/01/2002;73,28;-0,6;78,21;-0,3
01/04/2002;80,44;1,6;78,70;0,6
01/07/2002;79,91;2,6;79,28;0,7
01/10/2002;81,87;1,9;80,15;1,1
01/01/2003;74,64;1,9;79,71;-0,5
01/04/2003;81,78;1,7;80,19;0,6
01/07/2003;82,55;3,3;81,89;2,1
01/10/2003;83,85;2,4;81,87;-0,0
01/01/2004;77,31;3,6;81,67;-0,2
01/04/2004;85,20;4,2;83,19;1,9
01/07/2004;83,53;1,2;82,76;-0,5
01/10/2004;86,59;3,3;83,40;0,8
01/01/2005;78,49;1,5;84,34;1,1
01/04/2005;87,75;3,0;84,54;0,2
01/07/2005;86,13;3,1;85,41;1,0
01/10/2005;88,84;2,6;86,11;0,8
01/01/2006;85,19;8,5;90,01;4,5
01/04/2006;93,62;6,7;91,79;2,0
01/07/2006;92,79;7,7;92,58;0,9
01/10/2006;97,90;10,2;95,32;3,0
01/01/2007;88,30;3,7;93,39;-2,0
01/04/2007;96,66;3,2;95,07;1,8
01/07/2007;95,65;3,1;95,46;0,4
01/10/2007;99,41;1,5;96,90;1,5
01/01/2008;90,28;2,2;96,45;-0,5
01/04/2008;98,88;2,3;95,45;-1,0
01/07/2008;96,29;0,7;95,22;-0,2
01/10/2008;96,33;-3,1;93,90;-1,4
01/01/2009;84,39;-6,5;90,10;-4,0
01/04/2009;91,45;-7,5;89,89;-0,2
01/07/2009;90,73;-5,8;89,57;-0,4
01/10/2009;93,24;-3,2;89,99;0,5
01/01/2010;80,78;-4,3;85,81;-4,6
01/04/2010;89,39;-2,3;87,69;2,2
01/07/2010;90,30;-0,5;89,15;1,7
01/10/2010;91,70;-1,7;88,47;-0,8
01/01/2011;85,70;6,1;90,83;2,7
01/04/2011;93,16;4,2;90,89;0,1
01/07/2011;93,05;3,0;91,90;1,1
01/10/2011;94,67;3,2;92,11;0,2
01/01/2012;90,00;5,0;93,93;2,0
01/04/2012;95,46;2,5;94,12;0,2
01/07/2012;94,47;1,5;94,10;-0,0
01/10/2012;95,67;1,1;93,59;-0,5
01/01/2013;87,40;-2,9;93,05;-0,6
01/04/2013;95,79;0,3;93,97;1,0
01/07/2013;95,80;1,4;94,64;0,7
01/10/2013;96,31;0,7;94,60;-0,0
01/01/2014;89,76;2,7;95,33;0,8
01/04/2014;96,37;0,6;94,79;-0,6
01/07/2014;96,87;1,1;95,80;1,1
01/10/2014;98,87;2,7;96,93;1,2
01/01/2015;91,83;2,3;96,91;-0,0
01/04/2015;98,33;2,0;97,04;0,1
01/07/2015;98,96;2,2;97,92;0,9
01/10/2015;101,23;2,4;98,18;0,3
01/01/2016;93,47;1,8;98,98;0,8
01/04/2016;102,28;4,0;98,86;-0,1
01/07/2016;99,95;1,0;99,11;0,3
01/10/2016;102,93;1,7;100,38;1,3
01/01/2017;98,43;5,3;102,66;2,3
01/04/2017;105,28;2,9;103,45;0,8
01/07/2017;104,37;4,4;104,28;0,8
01/10/2017;107,12;4,1;105,60;1,3
01/01/2018;100,80;2,4;105,67;0,1
01/04/2018;108,41;3,0;106,28;0,6
01/07/2018;105,75;1,3;105,88;-0,4
01/10/2018;109,04;1,8;107,03;1,1
01/01/2019;103,81;3,0;109,23;2,1
01/04/2019;110,51;1,9;108,65;-0,5
01/07/2019;110,19;4,2;109,62;0,9
01/10/2019;111,62;2,4;109,82;0,2
01/01/2020;99,27;-4,4;103,62;-5,6
01/04/2020;92,81;-16,0;91,29;-11,9
01/07/2020;103,34;-6,2;102,66;12,5
01/10/2020;104,58;-6,3;101,22;-1,4
01/01/2021;94,28;-5,0;98,73;-2,5
01/04/2021;104,13;12,2;102,32;3,6
01/07/2021;106,82;3,4;106,14;3,7
01/10/2021;111,06;6,2;107,54;1,3
01/01/2022;106,81;13,3;111,34;3,5
01/04/2022;113,24;8,7;110,80;-0,5
01/07/2022;112,49;5,3;111,79;0,9
01/10/2022;113,39;2,1;110,76;-0,9
01/01/2023;104,96;-1,7;108,49;-2,0
01/04/2023;108,81;-3,9;107,56;-0,9
01/07/2023;108,72;-3,4;108,73;1,1
01/10/2023;111,95;-1,3;109,82;1,0
01/01/2024;104,65;-0,3;109,05;-0,7
01/04/2024;110,22;1,3;108,62;-0,4
01/07/2024;109,39;0,6;108,74;0,1
01/10/2024;110,97;-0,9;109,09;0,3
01/01/2025;105,25;0,6;110,64;1,4
01/04/2025;111,44;1,1;110,16;-0,4
01/07/2025;111,33;1,8;110,59;0,4
01/10/2025;112,73;1,6;110,62;0,0
