Bruttowertschöpfung im Produzierenden Gewerbe ohne Baugewerbe, preisbereinigt
Datum;Originalwert, Kettenindex 2020=100;Originalwert, Veränderung gegenüber Vorjahresquartal in %;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, Kettenindex 2020=100;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, Veränderung gegenüber Vorquartal in %
01/07/1997;73,96;.;74,70;0,4
01/10/1997;78,29;.;76,42;2,3
01/01/1998;74,56;5,9;76,04;-0,5
01/04/1998;75,00;-0,7;75,49;-0,7
01/07/1998;74,62;0,9;75,13;-0,5
01/10/1998;77,21;-1,4;74,11;-1,4
01/01/1999;73,81;-1,0;75,02;1,2
01/04/1999;75,18;0,2;74,79;-0,3
01/07/1999;75,32;0,9;75,78;1,3
01/10/1999;79,48;2,9;76,58;1,1
01/01/2000;78,98;7,0;78,68;2,7
01/04/2000;79,90;6,3;80,23;2,0
01/07/2000;79,74;5,9;81,25;1,3
01/10/2000;82,61;3,9;80,99;-0,3
01/01/2001;82,01;3,8;82,50;1,9
01/04/2001;80,78;1,1;81,13;-1,7
01/07/2001;79,49;-0,3;80,88;-0,3
01/10/2001;81,13;-1,8;79,82;-1,3
01/01/2002;76,29;-7,0;78,46;-1,7
01/04/2002;79,59;-1,5;79,12;0,8
01/07/2002;79,34;-0,2;79,78;0,8
01/10/2002;80,89;-0,3;80,04;0,3
01/01/2003;77,92;2,1;79,59;-0,6
01/04/2003;78,64;-1,2;79,04;-0,7
01/07/2003;79,40;0,1;79,64;0,8
01/10/2003;82,17;1,6;81,06;1,8
01/01/2004;80,76;3,6;81,16;0,1
01/04/2004;83,53;6,2;83,00;2,3
01/07/2004;82,26;3,6;82,52;-0,6
01/10/2004;84,81;3,2;82,12;-0,5
01/01/2005;80,13;-0,8;82,53;0,5
01/04/2005;85,25;2,1;82,84;0,4
01/07/2005;83,18;1,1;83,68;1,0
01/10/2005;86,76;2,3;85,00;1,6
01/01/2006;86,78;8,3;86,41;1,7
01/04/2006;88,37;3,7;88,74;2,7
01/07/2006;88,48;6,4;90,02;1,4
01/10/2006;92,56;6,7;91,05;1,1
01/01/2007;91,21;5,1;91,40;0,4
01/04/2007;92,50;4,7;93,04;1,8
01/07/2007;92,27;4,3;94,10;1,1
01/10/2007;96,53;4,3;95,07;1,0
01/01/2008;92,08;1,0;94,17;-0,9
01/04/2008;96,43;4,2;93,82;-0,4
01/07/2008;91,48;-0,9;92,03;-1,9
01/10/2008;87,55;-9,3;86,25;-6,3
01/01/2009;74,63;-19,0;75,29;-12,7
01/04/2009;74,75;-22,5;75,39;0,1
01/07/2009;76,85;-16,0;77,50;2,8
01/10/2009;81,06;-7,4;78,44;1,2
01/01/2010;85,63;14,7;86,34;10,1
01/04/2010;89,65;19,9;89,26;3,4
01/07/2010;89,91;17,0;90,55;1,4
01/10/2010;95,95;18,4;93,08;2,8
01/01/2011;93,96;9,7;94,08;1,1
01/04/2011;94,95;5,9;94,32;0,3
01/07/2011;94,70;5,3;95,42;1,2
01/10/2011;96,91;1,0;95,28;-0,1
01/01/2012;97,02;3,3;95,85;0,6
01/04/2012;95,33;0,4;95,92;0,1
01/07/2012;93,98;-0,8;96,03;0,1
01/10/2012;95,58;-1,4;94,39;-1,7
01/01/2013;91,97;-5,2;93,80;-0,6
01/04/2013;94,95;-0,4;94,41;0,7
01/07/2013;93,76;-0,2;94,60;0,2
01/10/2013;96,69;1,2;96,12;1,6
