Bruttowertschöpfung nach ausgewählten Wirtschaftsbereichen, preisbereinigt
Datum;Insgesamt, Mrd. EUR;Produzierendes Gewerbe ohne Baugewerbe, Mrd. EUR;Baugewerbe, Mrd. EUR;Handel, Gastgewerbe und Verkehr, Mrd. EUR
01/07/2000;81,94;79,91;131,21;74,91
01/10/2000;82,48;82,78;135,22;76,49
01/01/2001;81,82;82,18;95,54;73,73
01/04/2001;81,55;80,95;115,87;79,20
01/07/2001;83,31;79,65;123,74;77,87
01/10/2001;83,93;81,30;129,08;80,38
01/01/2002;80,49;76,45;89,31;73,28
01/04/2002;82,04;79,76;111,33;80,44
01/07/2002;84,02;79,50;119,64;79,91
01/10/2002;84,24;81,06;121,46;81,87
01/01/2003;80,18;78,09;81,29;74,64
01/04/2003;80,89;78,81;105,73;81,78
01/07/2003;83,85;79,56;116,43;82,55
01/10/2003;84,10;82,34;118,44;83,85
01/01/2004;81,65;80,93;81,04;77,31
01/04/2004;83,16;83,71;103,42;85,20
01/07/2004;84,23;82,43;109,33;83,53
01/10/2004;85,16;84,99;114,79;86,59
01/01/2005;81,50;80,30;71,76;78,49
01/04/2005;84,14;85,42;100,23;87,75
01/07/2005;85,19;83,35;107,22;86,13
01/10/2005;86,31;86,94;111,87;88,84
01/01/2006;84,99;86,96;69,46;85,19
01/04/2006;86,44;88,56;97,09;93,62
01/07/2006;88,47;88,66;107,12;92,79
01/10/2006;90,56;92,76;116,70;97,90
01/01/2007;88,66;91,40;76,81;88,30
01/04/2007;89,50;92,70;94,95;96,66
01/07/2007;91,16;92,46;102,77;95,65
01/10/2007;92,87;96,73;112,29;99,41
01/01/2008;90,47;92,27;75,21;90,28
01/04/2008;92,30;96,63;96,33;98,88
01/07/2008;92,09;91,67;100,65;96,29
01/10/2008;90,80;87,73;107,66;96,33
01/01/2009;83,89;74,78;69,41;84,39
01/04/2009;84,26;74,91;92,21;91,45
01/07/2009;86,52;77,01;100,89;90,73
01/10/2009;88,24;81,22;109,44;93,24
01/01/2010;86,75;85,81;69,95;80,78
01/04/2010;88,60;89,84;100,27;89,39
01/07/2010;90,78;90,10;105,41;90,30
01/10/2010;92,53;96,15;110,53;91,70
01/01/2011;91,68;94,17;76,74;85,70
01/04/2011;92,07;95,12;99,96;93,16
01/07/2011;93,84;94,88;105,48;93,05
01/10/2011;94,52;97,11;117,25;94,67
01/01/2012;93,30;97,19;79,49;90,00
01/04/2012;92,44;95,48;99,57;95,46
01/07/2012;93,82;94,22;105,26;94,47
01/10/2012;94,43;95,84;111,88;95,67
01/01/2013;91,75;92,16;73,21;87,40
01/04/2013;93,22;95,06;98,61;95,79
01/07/2013;95,02;93,99;106,54;95,80
01/10/2013;95,74;96,96;114,40;96,31
01/01/2014;94,93;98,15;80,74;89,76
01/04/2014;94,44;98,00;99,01;96,37
01/07/2014;96,81;98,38;105,60;96,87
01/10/2014;97,98;101,37;113,03;98,87
01/01/2015;95,73;98,35;77,04;91,83
01/04/2015;96,00;99,90;95,85;98,33
01/07/2015;98,20;99,83;102,14;98,96
01/10/2015;99,77;102,99;112,88;101,23
01/01/2016;97,73;101,93;77,98;93,47
01/04/2016;99,57;106,51;101,12;102,28
01/07/2016;99,99;102,78;103,56;99,95
01/10/2016;101,37;105,60;111,95;102,93
01/01/2017;101,36;107,02;81,34;98,43
01/04/2017;100,89;106,63;99,68;105,28
01/07/2017;103,11;106,87;104,05;104,37
01/10/2017;104,88;111,00;113,99;107,12
01/01/2018;103,13;109,41;81,93;100,80
01/04/2018;103,22;110,60;102,81;108,41
01/07/2018;103,44;106,29;106,32;105,75
01/10/2018;105,44;109,59;117,25;109,04
01/01/2019;104,09;109,47;81,14;103,81
01/04/2019;103,06;108,17;97,75;110,51
01/07/2019;105,24;106,49;103,79;110,19
01/10/2019;105,67;107,82;111,18;111,62
01/01/2020;102,92;105,22;84,06;99,27
01/04/2020;91,58;86,90;96,54;92,81
01/07/2020;101,49;99,27;100,38;103,34
01/10/2020;104,01;108,61;119,02;104,58
01/01/2021;101,37;105,51;77,51;94,28
01/04/2021;102,31;106,57;98,61;104,13
01/07/2021;105,22;103,06;100,29;106,82
01/10/2021;107,37;110,49;110,37;111,06
01/01/2022;106,15;106,51;74,56;106,81
01/04/2022;104,56;105,79;86,53;113,24
01/07/2022;106,75;104,58;87,24;112,49
01/10/2022;107,81;108,10;95,09;113,39
01/01/2023;106,65;107,61;70,44;104,96
01/04/2023;103,47;102,74;81,77;108,81
01/07/2023;105,26;99,31;84,04;108,72
01/10/2023;107,63;106,64;92,03;111,95
01/01/2024;105,55;102,53;67,67;104,65
01/04/2024;104,00;100,51;79,64;110,22
01/07/2024;105,28;97,02;80,98;109,39
01/10/2024;105,74;99,58;87,45;110,97
01/01/2025;105,00;100,36;64,70;105,25
01/04/2025;103,39;98,73;75,43;111,44
01/07/2025;105,60;97,02;78,56;111,33
01/10/2025;106,93;100,49;87,83;112,73
