Umsatz im Einzelhandel, preisbereinigt/real
Datum;Originalwert, Messzahlen 2015=100;Originalwert, Veränderung gegenüber Vorjahresmonat in %;Trend-Konjunktur-Komponente (BV 4.1), Messzahlen 2015=100;Trend-Konjunktur-Komponente (BV 4.1), Veränderung gegenüber Vormonat in %;Kalender- und saisonbereinigte Werte (BV 4.1), Messzahlen 2015=100;Kalender- und saisonbereinigte Werte (BV 4.1), Veränderung gegenüber Vormonat in %;Restkomponente (BV 4.1)
01/03/1996;97,9;.;97,8;0,0;97,3;-1,9;-0,5
01/04/1996;97,5;.;97,8;-0,0;97,7;0,5;-0,0
01/05/1996;96,5;.;97,8;-0,0;96,8;-1,0;-1,0
01/06/1996;90,7;.;97,7;-0,0;97,5;0,7;-0,2
01/07/1996;96,4;.;97,7;-0,0;97,2;-0,3;-0,5
01/08/1996;94,4;.;97,6;-0,1;99,7;2,6;2,1
01/09/1996;94,0;.;97,5;-0,1;97,2;-2,5;-0,3
01/10/1996;100,5;.;97,3;-0,2;96,0;-1,2;-1,3
01/11/1996;104,1;.;97,1;-0,2;98,4;2,4;1,2
01/12/1996;118,5;.;97,0;-0,2;97,0;-1,4;0,0
01/01/1997;91,0;0,8;96,7;-0,2;96,7;-0,3;-0,1
01/02/1997;83,7;-5,6;96,5;-0,2;95,8;-0,9;-0,8
01/03/1997;94,7;-3,3;96,3;-0,2;96,3;0,5;-0,0
01/04/1997;98,1;0,6;96,2;-0,2;95,9;-0,4;-0,2
01/05/1997;94,2;-2,4;96,0;-0,2;96,7;0,8;0,7
01/06/1997;91,6;1,0;95,8;-0,2;96,3;-0,4;0,5
01/07/1997;95,1;-1,3;95,7;-0,2;95,4;-0,9;-0,2
01/08/1997;87,4;-7,4;95,6;-0,1;94,3;-1,2;-1,2
01/09/1997;93,6;-0,4;95,5;-0,0;95,6;1,4;0,1
01/10/1997;101,1;0,6;95,5;-0,0;96,5;0,9;1,0
01/11/1997;98,6;-5,3;95,5;-0,0;94,4;-2,2;-1,1
01/12/1997;118,0;-0,4;95,5;0,0;95,3;1,0;-0,2
01/01/1998;89,4;-1,8;95,6;0,1;96,1;0,9;0,5
01/02/1998;83,7;0,0;95,6;0,0;95,7;-0,4;0,1
01/03/1998;97,8;3,3;95,7;0,1;94,9;-0,9;-0,8
01/04/1998;96,0;-2,1;95,8;0,1;96,6;1,8;0,8
01/05/1998;93,9;-0,3;95,9;0,1;96,0;-0,6;0,1
01/06/1998;89,3;-2,5;96,0;0,1;95,3;-0,8;-0,7
01/07/1998;96,9;1,9;96,1;0,1;96,4;1,1;0,3
01/08/1998;89,2;2,1;96,2;0,1;96,5;0,1;0,3
01/09/1998;94,1;0,5;96,2;0,0;96,5;0,1;0,3
01/10/1998;100,3;-0,8;96,2;-0,0;95,7;-0,9;-0,5
01/11/1998;102,2;3,7;96,2;-0,0;96,7;1,1;0,5
01/12/1998;120,5;2,1;96,2;-0,0;96,6;-0,1;0,4
01/01/1999;87,4;-2,2;96,1;-0,1;96,4;-0,2;0,3
01/02/1999;84,5;1,0;96,0;-0,1;95,5;-1,0;-0,6
01/03/1999;102,6;4,9;95,9;-0,1;98,0;2,6;2,1
01/04/1999;93,4;-2,7;95,7;-0,2;94,1;-4,0;-1,6
01/05/1999;91,7;-2,3;95,6;-0,1;94,0;-0,0;-1,5
01/06/1999;91,5;2,5;95,5;-0,0;96,1;2,2;0,5
01/07/1999;95,5;-1,4;95,5;-0,0;96,3;0,3;0,8
01/08/1999;89,7;0,6;95,5;-0,0;95,1;-1,3;-0,4
01/09/1999;91,9;-2,3;95,6;0,1;94,6;-0,5;-1,0
01/10/1999;99,3;-1,0;95,7;0,1;96,5;2,0;0,8
01/11/1999;102,7;0,5;95,8;0,2;95,9;-0,6;0,1
01/12/1999;120,6;0,1;96,0;0,1;95,7;-0,3;-0,3
01/01/2000;86,0;-1,6;96,2;0,2;94,7;-1,0;-1,4
01/02/2000;88,7;5,0;96,4;0,2;98,0;3,4;1,6
01/03/2000;98,5;-4,0;96,6;0,2;94,9;-3,2;-1,7
01/04/2000;96,1;2,9;96,7;0,2;98,1;3,4;1,4
01/05/2000;100,6;9,7;96,9;0,1;98,2;0,1;1,3
