Erwerbstätige (ILO-Arbeitsmarktstatistik, Monatsdurchschnitte)
Datum;Erwerbstätige mit Wohnort in Deutschland, Anzahl in 1000;Erwerbstätige mit Wohnort in Deutschland, Veränderung zum Vorjahresmonat in %;Erwerbstätige mit Wohnort in Deutschland, Veränderung zum Vorjahresmonat in 1000
01/03/2000;39544;.;.
01/04/2000;39600;.;.
01/05/2000;39745;.;.
01/06/2000;39817;.;.
01/07/2000;39859;.;.
01/08/2000;39956;.;.
01/09/2000;40170;.;.
01/10/2000;40232;.;.
01/11/2000;40255;.;.
01/12/2000;40069;.;.
01/01/2001;39463;0,3;135
01/02/2001;39490;0,1;58
01/03/2001;39507;-0,1;-37
01/04/2001;39553;-0,1;-47
01/05/2001;39658;-0,2;-87
01/06/2001;39625;-0,5;-192
01/07/2001;39625;-0,6;-234
01/08/2001;39731;-0,6;-225
01/09/2001;39935;-0,6;-235
01/10/2001;39968;-0,7;-264
01/11/2001;40054;-0,5;-201
01/12/2001;39871;-0,5;-198
01/01/2002;39424;-0,1;-39
01/02/2002;39440;-0,1;-50
01/03/2002;39425;-0,2;-82
01/04/2002;39456;-0,2;-97
01/05/2002;39496;-0,4;-162
01/06/2002;39439;-0,5;-186
01/07/2002;39475;-0,4;-150
01/08/2002;39495;-0,6;-236
01/09/2002;39703;-0,6;-232
01/10/2002;39708;-0,7;-260
01/11/2002;39701;-0,9;-353
01/12/2002;39494;-0,9;-377
01/01/2003;38965;-1,2;-459
01/02/2003;38993;-1,1;-447
01/03/2003;38936;-1,2;-489
01/04/2003;38855;-1,5;-601
01/05/2003;38904;-1,5;-592
01/06/2003;39002;-1,1;-437
01/07/2003;39080;-1,0;-395
01/08/2003;39107;-1,0;-388
01/09/2003;39342;-0,9;-361
01/10/2003;39429;-0,7;-279
01/11/2003;39454;-0,6;-247
01/12/2003;39282;-0,5;-212
01/01/2004;38871;-0,2;-94
01/02/2004;38920;-0,2;-73
01/03/2004;38988;0,1;52
01/04/2004;39087;0,6;232
01/05/2004;39145;0,6;241
01/06/2004;39208;0,5;206
01/07/2004;39193;0,3;113
01/08/2004;39298;0,5;191
01/09/2004;39558;0,5;216
01/10/2004;39608;0,5;179
01/11/2004;39611;0,4;157
01/12/2004;39373;0,2;91
01/01/2005;38850;-0,1;-21
01/02/2005;38869;-0,1;-51
01/03/2005;38864;-0,3;-124
01/04/2005;38896;-0,5;-191
01/05/2005;39000;-0,4;-145
01/06/2005;39088;-0,3;-120
01/07/2005;39081;-0,3;-112
01/08/2005;39260;-0,1;-38
01/09/2005;39582;0,1;24
01/10/2005;39675;0,2;67
01/11/2005;39718;0,3;107
01/12/2005;39519;0,4;146
01/01/2006;38878;0,1;28
01/02/2006;38916;0,1;47
01/03/2006;38974;0,3;110
01/04/2006;39110;0,6;214
01/05/2006;39348;0,9;348
01/06/2006;39493;1,0;405
01/07/2006;39584;1,3;503
01/08/2006;39705;1,1;445
01/09/2006;39976;1,0;394
01/10/2006;40062;1,0;387
01/11/2006;40159;1,1;441
01/12/2006;40030;1,3;511
01/01/2007;39642;2,0;764
01/02/2007;39705;2,0;789
01/03/2007;39794;2,1;820
01/04/2007;39944;2,1;834
01/05/2007;40080;1,9;732
01/06/2007;40125;1,6;632
01/07/2007;40192;1,5;608
01/08/2007;40313;1,5;608
01/09/2007;40589;1,5;613
01/10/2007;40745;1,7;683
01/11/2007;40790;1,6;631
01/12/2007;40600;1,4;570
01/01/2008;40348;1,8;706
01/02/2008;40419;1,8;714
01/03/2008;40484;1,7;690
01/04/2008;40590;1,6;646
01/05/2008;40685;1,5;605
01/06/2008;40727;1,5;602
01/07/2008;40799;1,5;607
01/08/2008;40868;1,4;555
01/09/2008;41179;1,5;590
01/10/2008;41303;1,4;558
01/11/2008;41284;1,2;494
01/12/2008;41072;1,2;472
01/01/2009;40662;0,8;314
01/02/2009;40704;0,7;285
01/03/2009;40713;0,6;229
01/04/2009;40786;0,5;196
01/05/2009;40803;0,3;118
01/06/2009;40764;0,1;37
01/07/2009;40748;-0,1;-51
01/08/2009;40837;-0,1;-31
01/09/2009;41120;-0,1;-59
01/10/2009;41185;-0,3;-118
01/11/2009;41171;-0,3;-113
01/12/2009;41011;-0,1;-61
01/01/2010;40562;-0,2;-100
01/02/2010;40588;-0,3;-116
01/03/2010;40689;-0,1;-24
01/04/2010;40871;0,2;85
01/05/2010;41000;0,5;197
01/06/2010;41052;0,7;288
01/07/2010;41053;0,7;305
01/08/2010;41176;0,8;339
01/09/2010;41474;0,9;354
01/10/2010;41567;0,9;382
01/11/2010;41598;1,0;427
01/12/2010;41433;1,0;422
01/01/2011;41026;1,1;464
01/02/2011;41096;1,3;508
01/03/2011;41180;1,2;491
01/04/2011;41344;1,2;473
01/05/2011;41478;1,2;478
01/06/2011;41533;1,2;481
01/07/2011;41517;1,1;464
01/08/2011;41653;1,2;477
01/09/2011;41934;1,1;460
01/10/2011;42043;1,1;476
01/11/2011;42081;1,2;483
01/12/2011;41936;1,2;503
01/01/2012;41585;1,4;559
01/02/2012;41595;1,2;499
01/03/2012;41686;1,2;506
01/04/2012;41845;1,2;501
01/05/2012;41985;1,2;507
01/06/2012;42011;1,2;478
01/07/2012;42024;1,2;507
01/08/2012;42121;1,1;468
01/09/2012;42352;1,0;418
01/10/2012;42486;1,1;443
01/11/2012;42537;1,1;456
01/12/2012;42358;1,0;422
01/01/2013;41934;0,8;349
01/02/2013;41983;0,9;388
01/03/2013;42022;0,8;336
01/04/2013;42156;0,7;311
01/05/2013;42300;0,8;315
01/06/2013;42324;0,7;313
01/07/2013;42363;0,8;339
01/08/2013;42398;0,7;277
01/09/2013;42648;0,7;296
01/10/2013;42791;0,7;305
01/11/2013;42795;0,6;258
01/12/2013;42610;0,6;252
01/01/2014;42284;0,8;350
01/02/2014;42336;0,8;353
01/03/2014;42421;0,9;399
01/04/2014;42609;1,1;453
01/05/2014;42708;1,0;408
01/06/2014;42744;1,0;420
01/07/2014;42772;1,0;409
01/08/2014;42769;0,9;371
01/09/2014;43009;0,8;361
01/10/2014;43144;0,8;353
01/11/2014;43097;0,7;302
01/12/2014;42918;0,7;308
01/01/2015;42526;0,6;242
01/02/2015;42581;0,6;245
01/03/2015;42715;0,7;294
01/04/2015;42904;0,7;295
01/05/2015;43018;0,7;310
01/06/2015;43078;0,8;334
01/07/2015;43118;0,8;346
01/08/2015;43150;0,9;381
01/09/2015;43401;0,9;392
01/10/2015;43539;0,9;395
01/11/2015;43584;1,1;487
01/12/2015;43443;1,2;525
01/01/2016;43023;1,2;497
01/02/2016;43113;1,2;532
01/03/2016;43242;1,2;527
01/04/2016;43414;1,2;510
01/05/2016;43541;1,2;523
01/06/2016;43607;1,2;529
01/07/2016;43590;1,1;472
01/08/2016;43668;1,2;518
01/09/2016;43947;1,3;546
01/10/2016;44074;1,2;535
01/11/2016;44128;1,2;544
01/12/2016;44015;1,3;572
01/01/2017;43616;1,4;593
01/02/2017;43693;1,3;580
01/03/2017;43819;1,3;577
01/04/2017;43992;1,3;578
01/05/2017;44108;1,3;567
01/06/2017;44181;1,3;574
01/07/2017;44209;1,4;619
01/08/2017;44255;1,3;587
01/09/2017;44510;1,3;563
01/10/2017;44620;1,2;546
01/11/2017;44686;1,3;558
01/12/2017;44585;1,3;570
01/01/2018;44269;1,5;653
01/02/2018;44326;1,4;633
01/03/2018;44406;1,3;587
01/04/2018;44587;1,4;595
01/05/2018;44713;1,4;605
01/06/2018;44739;1,3;558
01/07/2018;44761;1,2;552
01/08/2018;44816;1,3;561
01/09/2018;45023;1,2;513
01/10/2018;45146;1,2;526
01/11/2018;45209;1,2;523
01/12/2018;45089;1,1;504
01/01/2019;44767;1,1;498
01/02/2019;44787;1,0;461
01/03/2019;44862;1,0;456
01/04/2019;45022;1,0;435
01/05/2019;45130;0,9;417
01/06/2019;45158;0,9;419
01/07/2019;45166;0,9;405
01/08/2019;45157;0,8;341
01/09/2019;45364;0,8;341
01/10/2019;45509;0,8;363
01/11/2019;45541;0,7;332
01/12/2019;45415;0,7;326
01/01/2020;45115;0,8;348
01/02/2020;45110;0,7;323
01/03/2020;45015;0,3;153
01/04/2020;44759;-0,6;-263
01/05/2020;44612;-1,1;-518
01/06/2020;44608;-1,2;-550
01/07/2020;44613;-1,2;-553
01/08/2020;44645;-1,1;-512
01/09/2020;44883;-1,1;-481
01/10/2020;45019;-1,1;-490
01/11/2020;44982;-1,2;-559
01/12/2020;44856;-1,2;-559
01/01/2021;44483;-1,4;-632
