Exporte
Datum;Insgesamt, Mill. EUR;Ernährungswirtschaft zusammen, Mill. EUR;Gewerbliche Wirtschaft zusammen, Mill. EUR;Rohstoffe, Mill. EUR;Halbwaren, Mill. EUR;Fertigwaren, Mill. EUR
01/03/2000;52165;2288;49118;548;2184;46386
01/04/2000;45262;2111;42386;578;1992;39816
01/05/2000;52192;2351;48994;472;2034;46488
01/06/2000;49606;2605;46133;591;2065;43477
01/07/2000;49797;2366;46707;571;2048;44088
01/08/2000;47222;2263;44214;473;2103;41638
01/09/2000;48989;2288;45912;478;2056;43378
01/10/2000;56818;2689;52952;567;2476;49909
01/11/2000;56857;2556;53330;681;2444;50205
01/12/2000;50046;2381;46963;561;2188;44213
01/01/2001;51878;2298;48643;567;2100;45976
01/02/2001;52085;2552;48834;590;2125;46118
01/03/2001;56125;2422;52669;815;2310;49544
01/04/2001;52861;2391;49553;657;2335;46561
01/05/2001;54663;2395;51469;663;2097;48709
01/06/2001;53687;2575;50331;651;2145;47535
01/07/2001;55366;2719;51598;570;2111;48918
01/08/2001;51630;2798;48012;616;2045;45351
01/09/2001;49638;2393;46379;440;1730;44209
01/10/2001;57246;2684;53592;643;2203;50746
01/11/2001;54872;2624;51060;625;2101;48333
01/12/2001;48218;2524;44642;591;1646;42405
01/01/2002;50335;2434;47327;634;1925;44768
01/02/2002;51822;2494;48609;785;1914;45910
01/03/2002;54560;2453;51448;599;2136;48712
01/04/2002;56029;2651;52532;639;2115;49777
01/05/2002;50476;2549;47314;550;2021;44744
01/06/2002;56664;2646;53323;643;2197;50483
01/07/2002;55854;2616;52534;538;2005;49992
01/08/2002;51750;2443;48660;475;2054;46131
01/09/2002;55190;2631;51769;562;2138;49069
01/10/2002;58902;2850;55298;585;2431;52283
01/11/2002;58893;2767;55422;558;2241;52623
01/12/2002;50847;2571;47632;794;2040;44799
01/01/2003;53558;2461;50226;667;2183;47376
01/02/2003;53977;2527;50596;664;2160;47772
01/03/2003;55977;2622;52558;658;2316;49584
01/04/2003;53880;2652;50433;691;2077;47665
01/05/2003;54486;2695;50969;816;2163;47990
01/06/2003;54276;2640;50853;593;2046;48214
01/07/2003;57977;2578;54052;753;2056;51244
01/08/2003;49874;2845;46290;572;1884;43834
01/09/2003;58468;2854;54204;539;2241;51424
01/10/2003;58414;2664;54446;725;2119;51602
01/11/2003;58860;2856;54748;638;2190;51920
01/12/2003;54706;2639;50779;710;2271;47798
01/01/2004;55479;2719;51969;660;2298;49012
01/02/2004;56528;2653;53078;797;2320;49960
01/03/2004;64803;2797;61050;827;2583;57640
01/04/2004;61595;2618;57868;699;2463;54705
01/05/2004;60507;2869;56638;844;2700;53094
01/06/2004;62675;2818;58894;734;2688;55472
01/07/2004;62198;2858;58082;593;2628;54861
01/08/2004;55947;2705;52026;639;2637;48750
01/09/2004;61570;2852;57280;601;2678;54001
01/10/2004;64053;2996;59734;627;3088;56018
01/11/2004;66473;3187;61684;800;2919;57965
01/12/2004;59716;2741;56032;937;2735;52359
01/01/2005;60552;2920;56615;823;2731;53060
01/02/2005;59759;2795;55928;801;2784;52344
01/03/2005;65222;2923;61083;808;3067;57208
01/04/2005;64537;2880;60460;527;3089;56844
01/05/2005;63595;3294;59045;764;3056;55225
01/06/2005;68719;3023;64492;580;3362;60549
01/07/2005;64508;3031;60344;637;3083;56623
01/08/2005;63263;3116;59133;567;3127;55439
01/09/2005;69401;3256;64844;599;3392;60853
01/10/2005;68592;3365;63632;613;3398;59622
01/11/2005;71519;3226;66331;808;3568;61955
01/12/2005;66598;3236;61718;907;3123;57689
01/01/2006;68268;3198;63857;893;3771;59193
01/02/2006;69973;3185;65447;769;3971;60707
01/03/2006;76666;3265;71770;799;3986;66985
01/04/2006;69574;3114;65241;874;4087;60280
01/05/2006;72298;3390;67629;812;4089;62728
01/06/2006;73131;3287;68284;613;4364;63307
01/07/2006;72729;3259;67941;704;4355;62883
01/08/2006;69086;3439;64052;617;4043;59393
01/09/2006;79174;3555;73576;639;4139;68798
01/10/2006;83665;3893;77713;829;4448;72436
01/11/2006;85061;3533;79334;734;4607;73993
01/12/2006;73416;3496;67936;733;4126;63077
01/01/2007;77077;3388;72091;906;4422;66764
01/02/2007;77302;3592;72000;865;4279;66856
01/03/2007;83509;3575;77918;889;4564;72465
01/04/2007;78450;3835;73213;762;4612;67840
01/05/2007;78567;3554;73556;629;4581;68346
01/06/2007;81495;3835;76141;752;4848;70541
01/07/2007;81091;3749;75723;726;4639;70358
01/08/2007;77402;4004;71805;646;4018;67142
01/09/2007;81479;3993;75702;753;4508;70441
01/10/2007;88483;4145;82152;757;4680;76715
01/11/2007;87384;4338;80791;807;4798;75187
01/12/2007;72997;3980;67106;765;4466;61875
01/01/2008;83324;4167;77947;905;5010;72031
01/02/2008;83516;4045;78201;883;4647;72671
01/03/2008;82755;4012;77297;868;5290;71139
01/04/2008;88751;4357;83099;845;5298;76955
01/05/2008;79733;4407;74081;773;5121;68187
01/06/2008;87364;4498;81487;937;5622;74928
01/07/2008;86067;4354;80353;678;5637;74038
01/08/2008;74859;4281;69478;645;4714;64118
01/09/2008;86270;4578;80314;767;4927;74620
01/10/2008;88702;4910;82037;927;4914;76196
01/11/2008;76085;4183;70446;776;4099;65571
01/12/2008;66713;4094;61321;731;3386;57205
01/01/2009;63559;4068;58369;874;2984;54512
01/02/2009;63789;3909;58770;687;3096;54987
01/03/2009;70164;4172;64747;646;3492;60609
01/04/2009;64401;4043;59222;622;3415;55185
01/05/2009;60653;4013;55623;568;3209;51845
01/06/2009;66899;4085;61652;526;3666;57461
01/07/2009;70577;4335;64970;591;3642;60737
01/08/2009;60088;4049;54886;481;3377;51029
01/09/2009;70914;4138;65325;622;3519;61184
01/10/2009;72460;4249;66750;575;3771;62404
01/11/2009;72295;4080;66694;636;3504;62554
01/12/2009;67513;4107;61884;710;3364;57810
01/01/2010;63358;3792;58418;792;3389;54237
01/02/2010;69985;3952;64770;816;3898;60056
01/03/2010;85579;4667;79407;917;4600;73890
01/04/2010;75185;4169;69735;790;4364;64581
01/05/2010;76191;4294;70586;840;4486;65260
01/06/2010;85311;4520;79348;824;4812;73711
01/07/2010;81350;4444;75540;817;4372;70350
01/08/2010;74394;4460;68695;726;4226;63743
01/09/2010;85972;4682;79854;894;4559;74401
01/10/2010;86001;4907;79619;978;4724;73918
01/11/2010;87624;4795;81342;1063;4928;75351
01/12/2010;81009;4642;74996;1088;4856;69052
01/01/2011;79315;4502;73462;1266;4989;67206
01/02/2011;84537;4645;78493;1218;5007;72268
01/03/2011;98671;5310;91731;1372;5965;84395
01/04/2011;84510;4942;78126;1097;4809;72220
01/05/2011;92352;4960;85838;1154;5454;79229
01/06/2011;88084;5076;81519;1154;5109;75255
01/07/2011;85572;4626;79542;1116;5165;73261
01/08/2011;85256;4982;78850;998;5446;72406
01/09/2011;94964;5381;87939;1174;6257;80508
01/10/2011;89055;5151;82446;1382;5294;75770
01/11/2011;94104;5247;87306;1440;5260;80606
01/12/2011;84805;4924;78527;1420;5187;71921
01/01/2012;85924;4790;79767;1215;5525;73027
01/02/2012;91009;5085;84593;1324;5865;77404
01/03/2012;98471;5348;91649;1307;6359;83982
01/04/2012;87009;4770;80910;1047;5751;74112
01/05/2012;92445;5355;85689;1044;5804;78840
01/06/2012;94038;5266;87405;1031;5818;80556
01/07/2012;93098;5254;86495;962;5586;79946
01/08/2012;89896;5435;83092;1004;6128;75960
01/09/2012;91091;5280;84422;948;5988;77486
01/10/2012;98083;6158;90408;1079;6254;83075
01/11/2012;93345;5692;86234;1047;5521;79666
01/12/2012;78217;5030;72011;1004;5548;65460
01/01/2013;88120;5567;81317;1226;5708;74383
01/02/2013;87863;5151;81161;1164;5567;74430
01/03/2013;93886;5687;86775;1333;5841;79601
01/04/2013;93524;5389;86866;1074;5486;80306
01/05/2013;87780;5589;80804;1039;5279;74487
01/06/2013;91888;5423;84775;968;5373;78434
01/07/2013;92625;5592;85483;841;5462;79180
01/08/2013;84437;5434;77389;911;5119;71359
01/09/2013;94021;5607;86732;935;5300;80497
01/10/2013;98526;5995;90792;1114;5583;84094
01/11/2013;93978;5449;86655;1081;4923;80650
01/12/2013;81378;5165;74398;1013;5051;68334
01/01/2014;89689;5593;82810;1188;5318;76305
01/02/2014;91299;5415;84574;1018;5283;78273
01/03/2014;94841;5559;87980;1053;5368;81559
01/04/2014;92852;5631;85627;983;5231;79413
01/05/2014;91064;5427;83651;898;5098;77655
01/06/2014;92640;5442;85203;913;5162;79129
01/07/2014;99974;5687;91835;883;5417;85535
01/08/2014;83109;5354;75923;826;4992;70106
01/09/2014;101451;5781;93483;1011;5648;86824
01/10/2014;102863;6009;94703;1182;5276;88245
01/11/2014;94903;5439;87110;1146;4976;80988
01/12/2014;89060;5351;81620;1127;4466;76026
01/01/2015;89701;5307;82210;1142;4661;76407
01/02/2015;95368;5463;88324;1221;4799;82304
01/03/2015;107649;6181;99678;1320;5261;93097
01/04/2015;100133;5596;92501;1313;4927;86262
01/05/2015;95390;5665;87426;1330;4755;81341
01/06/2015;105269;5868;96727;1259;5195;90273
01/07/2015;106732;5902;98322;1333;4988;92000
01/08/2015;87734;5325;80144;1247;4266;74631
01/09/2015;105446;5774;96748;1403;4521;90825
01/10/2015;105828;5925;97168;1295;4401;91472
01/11/2015;102684;5842;94054;1168;4333;88553
01/12/2015;91621;5519;83735;1166;3873;78696
01/01/2016;88744;5403;81506;992;3987;76528
01/02/2016;98568;5516;90606;1048;4038;85520
01/03/2016;106463;5930;98382;974;4460;92949
01/04/2016;103942;5867;95830;916;4336;90578
01/05/2016;96762;5698;88652;843;4347;83462
01/06/2016;106138;6068;97434;882;4444;92108
01/07/2016;95832;5701;87609;930;4483;82196
01/08/2016;95980;5901;87896;900;4283;82713
01/09/2016;105604;6214;96870;938;4690;91242
01/10/2016;101051;5862;92891;1005;4313;87573
01/11/2016;107636;6227;99093;1007;4432;93653
01/12/2016;97116;5742;89334;1121;4359;83855
01/01/2017;98768;5922;91459;1226;4606;85627
01/02/2017;102398;5780;95135;1222;4759;89154
01/03/2017;118098;6359;110047;1326;5352;103368
01/04/2017;100757;6049;92882;996;4958;86929
01/05/2017;110453;6339;102302;1052;4938;96312
01/06/2017;107191;6166;98993;944;4664;93385
01/07/2017;103122;5960;95365;989;4451;89925
01/08/2017;102953;6144;95074;955;4512;89607
01/09/2017;110345;6278;101965;1027;4680;96257
01/10/2017;107978;6232;99703;1128;5123;93452
01/11/2017;116278;6334;107721;1100;5119;101502
01/12/2017;100535;5786;93225;1410;4621;87193
01/01/2018;107092;5851;99733;1510;5250;92973
01/02/2018;104721;5829;97113;1430;4906;90777
01/03/2018;116088;6178;108291;1667;5128;101496
01/04/2018;110343;5857;102778;1041;5127;96609
01/05/2018;109064;6020;101212;1048;5290;94874
01/06/2018;115320;5957;107422;1121;5430;100871
01/07/2018;110959;6097;102892;1236;5417;96239
01/08/2018;105383;6123;97251;1208;5111;90932
01/09/2018;109143;5810;100925;1339;5096;94490
01/10/2018;117259;6330;108722;1483;5609;101629
01/11/2018;116261;6243;107949;1661;5070;101218
01/12/2018;95806;5330;88423;1392;4336;82695
01/01/2019;108900;6077;101317;1556;5130;94631
01/02/2019;108837;5810;100945;1713;4993;94238
01/03/2019;118219;6331;110382;1896;5749;102736
01/04/2019;109975;6142;102419;1518;5485;95416
01/05/2019;114249;6044;106032;1749;5355;98928
01/06/2019;106164;5921;98182;1394;4939;91850
01/07/2019;114974;6278;106952;1548;5567;99838
01/08/2019;101617;6149;93463;1543;5263;86657
01/09/2019;114148;6259;105381;1725;5863;97794
01/10/2019;119763;6688;110505;1387;5476;103642
01/11/2019;113244;6458;104185;1395;5191;97598
01/12/2019;98063;5798;90142;1220;4685;84236
01/01/2020;106611;6343;98666;1358;5596;91712
01/02/2020;109137;6396;100941;1545;5678;93719
01/03/2020;109271;6852;100931;1478;5350;94102
01/04/2020;75920;5925;68951;965;4161;63824
01/05/2020;80578;5664;73755;901;3940;68914
01/06/2020;95965;5808;88696;935;4357;83404
01/07/2020;102777;6030;95285;973;4769;89543
01/08/2020;91243;6008;83412;1040;4783;77589
01/09/2020;109942;6158;101836;1264;5412;95160
01/10/2020;112193;6314;103815;1202;5219;97394
