Exporte von Waren, preisbereinigt
Datum;Originalwert, Kettenindex 2015=100;Originalwert, Veränderung gegenüber Vorjahresquartal in %;Trend-Konjunktur-Komponente (BV 4.1), Kettenindex 2015=100;Trend-Konjunktur-Komponente (BV 4.1), Veränderung gegenüber Vorquartal in %;Kalender- und saisonbereinigte Werte (BV 4.1), Kettenindex 2015=100;Kalender- und saisonbereinigte Werte (BV 4.1), Veränderung gegenüber Vorquartal in %;Restkomponente (BV 4.1)
01/07/1995;32,08;.;33,89;1,4;33,95;0,7;0,1
01/10/1995;35,16;.;34,18;0,8;34,08;0,4;-0,1
01/01/1996;34,34;4,5;34,46;0,8;34,34;0,8;-0,1
01/04/1996;34,56;3,4;35,00;1,6;35,08;2,1;0,1
01/07/1996;34,50;7,5;35,79;2,2;35,56;1,4;-0,2
01/10/1996;37,94;7,9;36,80;2,8;36,90;3,8;0,1
01/01/1997;36,16;5,3;37,97;3,2;38,26;3,7;0,3
01/04/1997;39,43;14,1;39,08;2,9;38,47;0,6;-0,6
01/07/1997;39,70;15,1;40,40;3,4;40,61;5,6;0,2
01/10/1997;42,49;12,0;41,58;2,9;41,79;2,9;0,2
01/01/1998;41,48;14,7;42,38;1,9;42,31;1,2;-0,1
01/04/1998;43,16;9,5;42,62;0,6;43,08;1,8;0,5
01/07/1998;41,45;4,4;42,39;-0,5;42,23;-2,0;-0,2
01/10/1998;43,85;3,2;42,45;0,1;42,18;-0,1;-0,3
01/01/1999;41,80;0,8;42,91;1,1;42,76;1,4;-0,2
01/04/1999;45,04;4,4;43,80;2,1;43,85;2,6;0,0
01/07/1999;44,53;7,4;45,09;2,9;45,42;3,6;0,3
01/10/1999;48,54;10,7;46,45;3,0;45,98;1,2;-0,5
01/01/2000;48,88;16,9;48,21;3,8;48,27;5,0;0,1
01/04/2000;50,45;12,0;50,23;4,2;50,29;4,2;0,1
01/07/2000;49,89;12,0;52,17;3,9;51,77;2,9;-0,4
01/10/2000;55,34;14,0;53,76;3,1;54,48;5,2;0,7
01/01/2001;54,44;11,4;54,49;1,4;54,62;0,3;0,1
01/04/2001;54,42;7,9;54,70;0,4;54,60;-0,0;-0,1
01/07/2001;53,00;6,2;54,64;-0,1;54,71;0,2;0,1
01/10/2001;55,18;-0,3;54,61;-0,0;54,14;-1,1;-0,5
01/01/2002;53,16;-2,4;55,11;0,9;54,94;1,5;-0,2
01/04/2002;56,34;3,5;55,89;1,4;56,09;2,1;0,2
01/07/2002;55,96;5,6;56,49;1,1;56,60;0,9;0,1
01/10/2002;58,25;5,6;56,80;0,6;57,36;1,3;0,6
01/01/2003;55,81;5,0;56,79;-0,0;56,72;-1,1;-0,1
01/04/2003;55,83;-0,9;56,97;0,3;56,20;-0,9;-0,8
01/07/2003;57,43;2,6;58,04;1,9;58,09;3,4;0,1
01/10/2003;59,86;2,8;59,72;2,9;59,59;2,6;-0,1
