Exporte von Waren, preisbereinigt
Datum;Originalwert, Kettenindex 2020=100;Originalwert, Veränderung gegenüber Vorjahresquartal in %;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, Kettenindex 2020=100;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, Veränderung gegenüber Vorquartal in %
01/07/1997;43,03;.;44,16;5,4
01/10/1997;46,06;.;44,82;1,5
01/01/1998;44,85;14,4;45,57;1,7
01/04/1998;46,72;9,3;46,69;2,5
01/07/1998;44,86;4,3;45,82;-1,9
01/10/1998;47,45;3,0;45,33;-1,1
01/01/1999;45,14;0,6;45,78;1,0
01/04/1999;48,69;4,2;48,18;5,2
01/07/1999;48,08;7,2;49,05;1,8
01/10/1999;52,38;10,4;50,08;2,1
01/01/2000;52,64;16,6;52,33;4,5
01/04/2000;54,35;11,6;54,35;3,9
01/07/2000;53,74;11,8;55,37;1,9
01/10/2000;59,57;13,7;58,28;5,3
01/01/2001;58,52;11,2;58,50;0,4
01/04/2001;58,49;7,6;58,62;0,2
01/07/2001;56,98;6,0;58,49;-0,2
01/10/2001;59,28;-0,5;58,65;0,3
01/01/2002;56,98;-2,6;58,09;-1,0
01/04/2002;60,42;3,3;60,01;3,3
01/07/2002;59,98;5,3;60,84;1,4
01/10/2002;62,41;5,3;61,92;1,8
01/01/2003;59,68;4,7;60,29;-2,6
01/04/2003;59,68;-1,2;60,03;-0,4
01/07/2003;61,37;2,3;62,10;3,4
01/10/2003;63,93;2,4;63,13;1,7
01/01/2004;65,72;10,1;65,42;3,6
01/04/2004;68,74;15,2;68,60;4,9
01/07/2004;66,37;8,1;67,04;-2,3
01/10/2004;69,53;8,8;67,19;0,2
01/01/2005;67,90;3,3;68,88;2,5
01/04/2005;72,00;4,7;70,57;2,5
01/07/2005;72,53;9,3;73,33;3,9
01/10/2005;75,96;9,2;74,33;1,4
01/01/2006;78,13;15,1;76,69;3,2
01/04/2006;77,92;8,2;78,81;2,8
01/07/2006;79,57;9,7;81,25;3,1
01/10/2006;86,90;14,4;86,02;5,9
01/01/2007;86,77;11,1;85,54;-0,6
01/04/2007;86,69;11,3;87,67;2,5
01/07/2007;87,62;10,1;89,39;2,0
01/10/2007;90,50;4,1;90,48;1,2
01/01/2008;90,40;4,2;90,88;0,4
01/04/2008;92,14;6,3;90,37;-0,6
01/07/2008;88,58;1,1;89,18;-1,3
01/10/2008;83,32;-7,9;82,97;-7,0
01/01/2009;71,92;-20,4;71,73;-13,5
01/04/2009;70,01;-24,0;70,79;-1,3
01/07/2009;73,57;-16,9;73,87;4,4
01/10/2009;78,13;-6,2;76,41;3,4
01/01/2010;79,08;10,0;78,57;2,8
01/04/2010;84,72;21,0;84,71;7,8
01/07/2010;85,74;16,5;86,09;1,6
01/10/2010;90,02;15,2;87,99;2,2
01/01/2011;91,68;15,9;90,40;2,7
01/04/2011;91,99;8,6;91,91;1,7
01/07/2011;91,98;7,3;92,48;0,6
01/10/2011;92,37;2,6;91,53;-1,0
01/01/2012;95,89;4,6;93,78;2,5
01/04/2012;93,77;1,9;94,43;0,7
01/07/2012;93,66;1,8;95,09;0,7
01/10/2012;92,18;-0,2;93,05;-2,1
01/01/2013;92,44;-3,6;92,92;-0,1
01/04/2013;93,41;-0,4;92,95;0,0
01/07/2013;93,75;0,1;94,15;1,3
01/10/2013;94,89;2,9;96,16;2,1
01/01/2014;95,75;3,6;95,63;-0,6
01/04/2014;95,92;2,7;96,32;0,7
01/07/2014;97,88;4,4;98,05;1,8
01/10/2014;98,72;4,0;99,55;1,5
01/01/2015;99,94;4,4;99,69;0,1
01/04/2015;101,09;5,4;101,35;1,7
01/07/2015;101,18;3,4;101,17;-0,2
01/10/2015;100,57;1,9;99,48;-1,7
01/01/2016;99,85;-0,1;100,61;1,1
